name,total_count,score,age,comment,summary
Peggy Patel,59.0,89.1,,"""(Mother today) , Cell dinner and Just type door""","""Design time light cup; Impact impact , East source study coach"""
Steven Oconnor,72.0,17.1,80.2,"""Baby meet during, I Billion his forget""","""Note: White organization miss price any west, then Condition local eat loss very since"""
Brian Owen,29.0,85.1,94.2,"""Wear know news decade hear: Time someone impact Democrat, Figure certainly herself knowledge crime""","""(Long nearly make) , Former notice walk and Today"""
e,61.0,23.1,72.2,"""Note: Management stage our science visit, then Choose""","""Affect he bag, Reality bit Fire image"""
Patricia Jenkins,93.0,42.1,17.2,"""Ready coach step, Final impact law Real than""","""(Bring remain attention) , Personal and Box"""
Stephen Hernandez,1.0,84.1,60.2,"""Sit teacher; Nothing into social , Center""","""Consider so wonder area: Agent use student, Respond myself"""
Jamie Calhoun,70.0,46.1,48.2,"""(Notice arrive dog) , Writer team and Address under walk""","""Note: Finally voice, then Wish small impact"""
Susan Flores,84.0,62.1,69.2,"""True over: Can leg learn analysis he, Letter""","""Our old half; Government during practice , Lawyer boy professional"""
Erik Maxwell,70.0,40.1,45.2,"""Law quite: Bill pattern then, Dog throughout former tend process point""","""Baby fund, Into ever course training part Cup head likely by interest"""
Lisa Anthony,68.0,25.1,70.2,"""(Ask) , Remember occur and Trade employee""","""Note: Interview, then Determine production guy"""
Alexander Allen,48.0,35.1,81.2,"""(Admit plan history social) , Author agree and And vote scene strong west""","""Guess just Congress, Exactly see happen fund President enter culture there"""
Laura Ballard,25.0,67.1,100.2,"""(Ago wrong) , Social and Everything reason forget fight""","""Measure or window: A short, Result safe job player"""
Shari Collins,,65.1,19.2,"""(If cold) , Task listen forward himself peace up and Past good""","""Probably assume: Toward, Number"""
Elizabeth Swanson,31.0,35.1,67.2,"""Song chair: Kitchen traditional, President school guess""","""Throw able own between: If, Conference bit sometimes"""
Gregory Adams,89.0,51.1,54.2,"""Resource I interesting toward; Goal college above , Media skill safe whose those""","""Town race your, Their alone Weight sea"""
Michele Thompson,98.0,80.1,98.2,"""Art international, Several and Minute much than treat apply cut""","""Treatment stop candidate Democrat cup: This fast size, Own own site should"""
Nichole Morgan,3.0,53.1,79.2,"""(Possible ago foot suddenly cut despite) , Reveal and Available call green good""","""Cause benefit today; Since purpose use , Despite ok source air manager"""
Derrick Barrett,55.0,97.1,83.2,"""Note: Machine, then Finish treat both""","""Town decision program must: Number him doctor character language, Sing become knowledge"""
Daniel Boyer,78.0,76.1,13.2,"""Material: Traditional whole their, Social environmental""","""(Other around on) , Week practice window and Them"""
Amanda Boyd,95.0,82.1,32.2,"""(Including general) , Cut serious and What""","""Black sure to method term free, Entire shake trouble City four"""
Angela Nolan,19.0,7.1,69.2,"""Note: Doctor sell for interest low, then When media both call environmental source""","""Note: Air, then Same message determine also international"""
Tamara Morales,72.0,18.1,72.2,"""To according wrong: Still indeed make father, Letter PM college""","""Particular official structure rock south: Father baby about, System dinner program"""
James Ward,83.0,22.1,75.2,"""It sell, Cost trial or Trouble culture""","""Skill; If keep , Support modern five"""
Thomas Carr,71.0,,45.2,"""Artist ability speak, Increase including threat Speech morning writer""","""Note: Trouble before nearly article floor century, then Father speak give door"""
Joshua Rivera,62.0,50.1,41.2,"""Note: Soldier check five, then Actually color""","""Report song: Property employee blood, Sea realize water"""
Jason Patel DVM,98.0,89.1,61.2,"""Note: What maybe, then Edge""","""(Quickly book) , Various cup and Pretty thought really"""
Abigail Scott,25.0,57.1,64.2,"""Note: Ability ever series question, then Face leave middle job""","""Democratic; Notice space total wife leg store , Sport western call yourself remain great"""
Richard Skinner,28.0,18.1,89.2,"""Note: Join fly, then Find dark never society""","""(Name task instead home) , Step likely vote food clear and Eye college"""
Cody Cruz,52.0,23.1,19.2,"""Senior population third, Leave check threat physical Let identify police in""","""(Citizen plan) , Decade big blue and Enough hotel pressure"""
Lisa Coleman,64.0,51.1,41.2,"""Trouble plant always: Onto body man, Billion Mr""","""Note: Medical staff business, then Force"""
Rebecca Smith MD,41.0,76.1,54.2,"""Note: Call, then Develop weight""","""(Itself address use nation) , Majority daughter necessary hour and Avoid teach mention detail need space"""
