name;price;total_count;rating;review
Kevin Gonzales;73.0;90.1;22.2;"""Individual despite personal; Compare ; Will heavy"""
Kimberly Nolan;27.0;25.1;42.2;"""(Letter body Mrs despite meeting) ; Exist near usually and Have individual"""
Ryan Adams;7.0;85.1;41.2;"""Participant short; Reflect Audience enter federal"""
Angela Whitaker;68.0;29.1;34.2;"""(Politics) ; Writer rise and Gas big pay difficult"""
Keith Hamilton;33.0;28.1;25.2;"""(Time herself color read) ; Street any and Line sing eight detail too"""
Benjamin Hodges;24.0;51.1;75.2;"""(Factor civil modern) ; The pretty and Score company"""
Stacie Mcmillan;91.0;74.1;62.2;"""Other vote into; Like whether Program center able"""
Amber Johnson;63.0;73.1;68.2;"""Occur he executive let late when; Ten range ; Protect language against college"""
Karen Garcia;53.0;74.1;51.2;"""Note: Hold between; then Player yeah"""
Shari Juarez;38.0;72.1;41.2;"""Note: Conference eat decade; then Movement exist"""
Julia Moore;77.0;16.1;80.2;"""Meeting partner: Book dark five perform town must; Artist instead upon couple wait dark"""
Brianna Vasquez;86.0;10.1;55.2;"""Second share: Help behind; Certainly environment whatever raise"""
Christopher Smith;98.0;53.1;81.2;"""Ever interest mouth; That factor ; Rather letter stuff top"""
William Carlson;75.0;57.1;32.2;"""Note: Occur; then Matter task edge"""
Jasmine Mccoy;3.0;79.1;59.2;"""Appear contain arrive right; Lot ; Better choice sometimes sell"""
Robert Williamson;36.0;74.1;75.2;"""(Blue institution miss) ; Determine couple during and Develop much"""
l;98.0;6.1;;"""Newspaper front: Reason company rather; Wait fall"""
Tony Oconnor;92.0;58.1;58.2;"""(Rule) ; Factor full and Outside room it"""
Jessica Murray MD;64.0;33.1;77.2;"""Foot stay conference; Since ; By nice"""
Carlos Grant;13.0;79.1;88.2;"""Wind dinner group reach letter: Hit major unit possible in; Present author direction per national"""
Catherine Wilson;73.0;85.1;27.2;"""(News knowledge plan subject whether pick) ; Claim list high example surface lot and Teach per almost would involve"""
Nathan Gonzalez;85.0;23.1;9.2;"""Woman mind fast; Practice Smile stand move out"""
Nathan Harris;24.0;;66.2;"""Note: Somebody ability value yes; then Subject return myself"""
Glen Simmons;85.0;49.1;81.2;"""Including stay edge: Example recent kitchen; Value trouble lead"""
Laura Frye;4.0;97.1;38.2;"""Test recent top capital; Yard employee ; Indeed"""
Katie Lucero;19.0;41.1;5.2;"""(Return score region) ; Sea shake answer wind and Community sea magazine"""
Christopher Meyer;14.0;16.1;4.2;"""Inside describe put benefit woman collection: Want too; Mission agency hospital offer civil"""
Amy Mclaughlin;1.0;96.1;29.2;"""Recent travel call again treatment end process; Range foreign ; Positive read instead explain together along"""
Trevor Thompson;;21.1;47.2;"""Note: Answer water wide education everything; then Pick decide rest exactly compare office"""
Sharon Harris;21.0;96.1;91.2;"""Military several member great employee day; Each carry growth gun Final plant fight"""
Monica Young;63.0;23.1;22.2;"""Join simply cultural me matter either: Fire various; Under network"""
Alexis Trujillo;92.0;24.1;37.2;"""Who education: Kid half doctor full; Something hand"""
Craig Collins;50.0;23.1;65.2;"""Actually firm card; Amount class very can actually Clear statement member summer social thank"""
