username	name	rating	note	remark
kimberley_white_1175	Kimberley White	1.0	'''Note: Provident	 then Molestiae doloremque dolore iusto'''	'''(Sunt id) 	 Aperiam unde commodi esse and Ipsam temporibus'''
miss_dawson_5334	Miss Shannon Dawson	49.0	'''Note: Provident saepe dolore	 then Doloremque labore quidem fugiat ut'''	'''Voluptatibus provident	 Eum molestias Asperiores nihil tenetur sit'''
eileen_farrell_4004	Eileen Farrell	39.0	'''Similique illo unde rem	 Occaecati Possimus quidem'''	'''Rerum consectetur magni	 Odio dicta aliquam Quisquam rem'''
rachel_poole_7695	Rachel Poole	85.0	'''Note: Est possimus accusamus	 then Nisi occaecati deserunt'''	'''Quae est temporibus nisi laudantium	 Eveniet quia Cupiditate facere'''
miss_singh_5924	Miss Linda Singh	78.0	'''(Ab recusandae veniam earum at) 	 Nemo quo minima commodi eos and Ipsam esse hic'''	'''Note: Amet commodi eius ea delectus	 then Similique accusamus quibusdam'''
mr_kaur_5136	Mr Kenneth Kaur	36.0	'''Qui doloribus perspiciatis in voluptates: Quasi deleniti	 Accusamus'''	'''Note: Non est tempore	 then Iusto'''
stanley_andrews_7729	Stanley Andrews	62.0	'''Note: Dignissimos cupiditate	 then Cumque expedita ad'''	'''Delectus aut; Vel nam dicta laborum fugit omnis 	 Natus aspernatur natus'''
steven_watts_2822	Steven Watts	12.0	'''(Amet modi expedita eius) 	 Corrupti sit doloribus excepturi exercitationem and Labore nulla'''	'''Note: Consectetur quibusdam omnis in doloribus	 then Accusamus vel'''
dr_thomas_8387	Dr Declan Thomas	91.0	'''Vitae: Dolore cumque dicta repellendus	 Unde necessitatibus'''	'''Molestiae porro dolorem; Quibusdam 	 Consequuntur quam eos'''
graeme_gibbons_5214	Graeme Long-Gibbons	7.0	'''(Sunt) 	 Praesentium amet numquam and Tempore ad rem illo adipisci error'''	'''Reprehenderit	 Expedita architecto quis Eius aspernatur harum rem'''
daniel_stanley_1116	Daniel Taylor-Stanley	97.0	'''Aperiam non numquam laboriosam debitis; Suscipit molestias neque earum 	 Excepturi fugit nihil amet'''	'''Quod illo	 Reprehenderit minus aperiam possimus nihil dolores Sequi'''
ms_robinson_8030	Ms Francesca Robinson	85.0	'''(Impedit ut eum) 	 Doloribus dolor eligendi and Possimus odit'''	'''(Dolor) 	 Veniam tempore aliquam vitae officia natus and Reiciendis saepe'''
alan_marsh_0541	Alan Marsh	95.0	'''Corporis: Sint optio	 Doloremque quos fuga pariatur rerum'''	'''Qui sequi	 Sunt quas modi Velit sed'''
liam_pritchard_4519	Liam Anderson-Pritchard	98.0	'''Labore eum perferendis; Pariatur soluta corporis adipisci 	 Nulla impedit'''	'''Note: Iure aliquid repellat provident	 then Maiores quaerat enim impedit rem'''
miss_swift_1009	Miss Jean Swift	25.0	'''Tempore impedit commodi excepturi	 Consequatur dolorum illo Possimus eius porro vitae quos'''	'''Molestiae soluta fuga; Provident voluptatibus nesciunt incidunt repellendus 	 A illo'''
mr_smith_9127	o	84.0	'''Assumenda natus; Ad 	 Quasi'''	'''Note: Reprehenderit	 then Molestiae numquam'''
miss_morgan_0538	Miss Georgia Morgan	92.0	'''Note: Saepe quisquam repellat veniam ratione	 then Cum odio'''	'''Quam ut ea labore nam: Deleniti maxime iusto	 Ea nobis'''
mr_walker_9216	Mr Keith Walker	38.0	'''Molestiae dolorem	 In dolorem accusantium quod repellendus in Corrupti expedita quidem'''	'''Corrupti laborum cupiditate; Dolore enim 	 Dolor laboriosam tenetur vel laboriosam odit perspiciatis'''
dawn_davies_9370	Dawn Davies	35.0	'''Reprehenderit odit; Commodi vero 	 Eaque vel reiciendis'''	'''Note: Dicta ad	 then Unde sint'''
victoria_fisher_8501	Victoria Fisher	37.0	'''(Pariatur molestiae) 	 Quas and Repellendus temporibus'''	'''(Incidunt commodi) 	 Voluptatum dolores earum et and Unde recusandae'''
chloe_brown_6725	Chloe Brown	65.0	'''Note: Consequuntur similique	 then Debitis'''	'''Note: Perspiciatis architecto cum delectus labore	 then Accusamus dignissimos atque'''
mrs_moore_6301	Mrs Janet Moore	40.0	'''Assumenda doloribus enim; Dolorum provident assumenda voluptatibus facere 	 Asperiores necessitatibus fugit delectus mollitia ducimus'''	'''Ducimus asperiores quisquam dolorum; Debitis tenetur expedita aperiam 	 Numquam'''
callum_dodd_2605	Callum Dodd	30.0	'''Eius ut; Nobis quidem 	 Nulla nisi sapiente vero iusto'''	'''Sed quos sed qui esse; Accusamus ipsa 	 Molestias quod eos'''
brenda_burrows_2483	Brenda Burrows	59.0	'''Ipsam sed nulla	 Quisquam veritatis voluptas rerum Deleniti'''	'''Note: Quos consequatur odio odit	 then Excepturi deserunt delectus aut'''
naomi_ward_3241	Naomi Ward	62.0	'''Laborum suscipit nihil temporibus	 Quae eaque Reprehenderit natus nobis'''	'''Note: Maiores deleniti adipisci	 then Velit quaerat aspernatur suscipit harum pariatur'''
