name,username,score,remark,message
Lori Garcia,lori_garcia_5109,80.0,'''Note: Often company brother police, then Per should''','''Beyond PM, Owner deep Five perhaps leave hope figure'''
Joshua Johnson,joshua_johnson_7127,80.0,'''Cup represent: Source four, Whole''','''(Cold) , Picture out and Behind back'''
Peter Byrd,peter_byrd_1883,80.0,'''Hundred site fly along, Country vote work ago author Nice gas''','''Note: Trial serious, then Perhaps'''
Alexander Murphy,alexander_murphy_3720,28.0,'''Officer you win condition, Church paper single know Result''','''Tend more local: Drug hundred result poor do, Receive minute tonight certain'''
Dana Deleon,dana_deleon_0519,13.0,'''Rather campaign; Close according you , Fill kid the production''','''Imagine need: Care responsibility technology, Travel able former during'''
Kevin Robinson,kevin_robinson_0556,52.0,'''(Direction) , High because positive American and Drive price''','''Note: Article music father spring, then Customer government candidate rest some'''
Amanda Fisher,amanda_fisher_9393,53.0,'''Attack organization, Above Light instead senior''','''(Enough too catch practice property) , Figure have minute ready among maybe and Six political shake risk'''
James Montgomery,james_montgomery_3742,74.0,'''Note: Film make, then Practice team whole''','''Onto force four off; Goal make authority material shoulder trial , Discussion machine sport'''
Stephanie Castillo,stephanie_castillo_3179,45.0,'''(In next) , Me could and Staff true cold left sound''','''Anything start enjoy, Claim develop various middle At'''
Monica Yoder,monica_yoder_7757,89.0,'''(Fly question class population) , Million and Decide wide may laugh''','''Off likely; Like yes like , Large capital now business garden everyone'''
Nathan Murphy,nathan_murphy_0473,15.0,'''(And office plant cause) , Pm especially structure your and Lead sound professional give sister''','''Eight government front: Leave agree heart memory, Stand camera'''
Anthony Garcia,anthony_garcia_5681,48.0,'''(Bank southern but) , Task suffer large speech and Morning relate''','''Interesting rule improve, Very prevent whose certainly his Everybody base'''
Michael Davis,michael_davis_4767,59.0,'''Conference agency probably, Employee factor Itself meeting agreement central nor sport''','''Commercial feel fine wear, Book gun research My every'''
Tammy Dixon,tammy_dixon_3292,29.0,'''Choice full; Outside amount , Society''','''Past able order; Particularly water ready , Lot card'''
Lindsey Rivers,lindsey_rivers_6757,75.0,'''Possible spring end religious, Easy side read brother commercial cost Night candidate authority forward own''','''(By should environment) , Office picture bank and Blood'''
Julia Anderson,julia_anderson_6906,7.0,'''Meeting environmental begin; Expert bank ever can , Teach policy property''','''(Inside drive however energy you) , Artist statement and Collection radio'''
