name;username;age;price;salary;message;summary
Mark Robinson;mark_robinson_0138;72.0;61.1;24.2;'''Note: Beat economic prove way form; then Big glass''';'''True: Vote maintain despite wonder; Present'''
Stephanie Rowland;stephanie_rowland_5292;94.0;74.1;93.2;'''(Memory then market movie sit) ; Today entire wide and Own play room everybody''';'''Then why; Morning since ; Major'''
Robert Anderson;robert_anderson_6110;53.0;22.1;24.2;'''(Tonight) ; Baby discussion reality and Very''';'''With through down alone; Attack world take control must size how ; Term wish'''
Elizabeth Lawson;elizabeth_lawson_5103;37.0;7.1;58.2;'''(Rich hot side) ; Machine and Fund million difference''';'''Once; Condition huge form ; They'''
Dr. David Beck;dr_beck_9282;69.0;;99.2;'''Note: Despite work once; then Ahead staff''';'''Note: Continue; then Exactly either fire reach after foreign'''
Brittany Bell;brittany_bell_1676;96.0;60.1;76.2;'''Note: Ahead of; then Lot million forward task provide''';'''Late there decade majority benefit student free: Line environment who race record; Daughter take hotel'''
Jeremy Short;jeremy_short_2126;69.0;97.1;73.2;'''Note: Region community; then Political she above''';'''Ability your: These; Piece choose term something'''
e;christopher_wood_5825;22.0;59.1;79.2;'''Unit: Hair feeling close; Impact''';'''Work able heavy impact: Former relate Congress; So agent record'''
Justin Parker;justin_parker_7114;24.0;54.1;99.2;'''Yes technology; Business return rest eight middle check ; Provide with''';'''(Contain keep picture big) ; Could artist sport sure and Despite'''
Tammy Thornton;tammy_thornton_2419;82.0;11.1;11.2;'''Old: Time whom; Environment ahead''';'''(Ahead then their lot) ; Adult and Congress fire medical when through'''
Brandon Johnson;brandon_johnson_5552;18.0;79.1;5.2;'''Report tell; Size Statement rule success morning interview free''';'''Note: Record despite inside; then Edge'''
Daniel Parks;daniel_parks_8621;87.0;40.1;84.2;'''(Treatment state general continue physical) ; Significant do and Receive whether meet push''';'''Consider color family; Follow today position whom ; Receive authority current'''
James Scott;james_scott_7804;61.0;100.1;94.2;'''Each: Food wall; New degree''';'''These factor tree usually; Attorney ; Citizen condition information'''
Linda Davis;linda_davis_1437;71.0;12.1;81.2;'''Church clearly rock; Individual message truth Although section lot''';'''(Worry assume) ; Seat should and Everyone'''
Christopher Gordon;christopher_gordon_7067;40.0;68.1;47.2;'''(Or Republican) ; Home court and Record''';'''(Wife) ; Catch summer gas collection finish capital and Piece'''
Marissa Christian;marissa_christian_3356;58.0;33.1;65.2;'''Whose side: City magazine ten; Memory''';'''Develop beyond: Few not; Think style'''
Juan Rodriguez;juan_rodriguez_7084;54.0;88.1;35.2;'''Foreign beat husband room; Public family seem old ; Hundred happy capital outside''';'''Mission music: Part game who; Eight professor cost nice history response'''
Robert Gardner;robert_gardner_2949;;22.1;12.2;'''State develop want; Someone ; Pay policy even reveal''';'''Note: As until toward four; then War today cover'''
Paula Le;paula_le_0668;77.0;88.1;40.2;'''General foot interesting approach nothing; Team Three debate line''';'''Note: Serious two firm several world nation; then Billion then the'''
Lori Long;lori_long_6327;69.0;39.1;37.2;'''(Unit science) ; Design role total and Me college''';'''(Rich fast) ; Available and Feeling maybe'''
Kyle Brown;kyle_brown_2192;3.0;44.1;61.2;'''Note: Act; then Work few part''';'''Cause take; They individual across anything fly ; Administration group'''
Michael Reed;michael_reed_4409;47.0;90.1;91.2;'''Note: Hundred; then Watch husband consider''';'''Note: Kitchen; then What wonder'''
Jeffrey Rivera;jeffrey_rivera_3776;54.0;1.1;94.2;'''Learn collection; Enough direction million speech Public such''';'''Cell drive recent: Ability remember; Money range successful soldier'''
Michelle Scott;michelle_scott_5917;37.0;64.1;7.2;'''Note: Find yet worry by; then Manage oil head career''';'''(With take decision able southern) ; Science listen and Question'''
Nicholas Randolph;nicholas_randolph_4604;90.0;73.1;41.2;'''Difficult bit everything various response; Fast something generation ; Store play today wind''';'''Success number performance think measure; Claim plan music ; Interest candidate kid radio'''
Derrick Ellis;derrick_ellis_1006;71.0;64.1;33.2;'''His; Force Room''';'''Everyone big: Simply thought others operation increase; Yourself toward federal oil'''
Benjamin Gibson;benjamin_gibson_9532;34.0;30.1;;'''Week than national sport; Skill single public him Series''';'''(Nice voice start continue son past) ; Push cell gun attention and Quickly room house wind'''
Katelyn Chambers;katelyn_chambers_6888;45.0;71.1;27.2;'''(Computer notice than property) ; Accept she ball and Coach man impact author computer act''';'''Image perhaps; Idea into as say chance appear ; Real full'''
