username;salary;rating;price;note
melanie_patel_5539;26.0;32.1;51.2;"""Earum: Ut; Neque"""
miss_ali_0771;8.0;22.1;29.2;"""(Magni omnis commodi) ; Occaecati libero doloremque dignissimos delectus and Nesciunt voluptate earum sequi"""
dr_johnson_6793;100.0;100.1;86.2;"""(Nulla nostrum ut fugiat) ; Minima in reprehenderit and Consectetur voluptate ipsam"""
gerard_king_6029;17.0;77.1;65.2;"""(Minima facilis maxime dolores) ; Inventore nam and Cum voluptates ipsam maiores"""
valerie_hayward_7960;74.0;75.1;72.2;"""Corporis ipsa; Asperiores itaque fugit nesciunt molestias ; Quae exercitationem"""
ruth_harding_0669;61.0;57.1;99.2;"""Repellat; Temporibus laudantium ; Minus nihil"""
dr_baxter_5719;53.0;73.1;79.2;"""Et quia architecto; Ullam labore recusandae ; Doloribus reiciendis"""
olivia_robinson_6470;86.0;62.1;94.2;"""Quibusdam accusantium aut placeat; Nihil illum numquam velit Ratione"""
oliver_richardson_2727;7.0;93.1;59.2;"""A dolorum at: Sequi; Enim"""
shannon_knight_8275;9.0;9.1;76.2;"""(Quos enim) ; Deserunt eius dignissimos nesciunt and Veritatis"""
dr_davies_0154;24.0;61.1;58.2;"""Minima itaque optio; Porro occaecati ; Molestiae perspiciatis"""
philip_bennett_1181;82.0;100.1;15.2;"""Note: Maiores libero; then Quidem"""
brenda_hicks_6474;28.0;91.1;42.2;"""Nisi: Minima ullam qui; Esse expedita optio laboriosam veniam"""
clare_stone_0834;13.0;91.1;89.2;"""Molestiae velit; Odio aperiam Repudiandae"""
mr_bruce_4507;56.0;11.1;86.2;"""Libero neque; Doloribus adipisci pariatur ; Voluptatem quam laudantium placeat"""
abdul_bennett_0007;43.0;97.1;27.2;"""(Vero minima) ; Enim placeat impedit quasi quas officiis and Nesciunt in tenetur beatae"""
georgina_giles_5456;21.0;75.1;6.2;"""Note: Officia nostrum ad; then Optio minima"""
bernard_morgan_3227;46.0;9.1;70.2;"""Dolores aperiam aperiam autem; Facere dolor repellat ; Molestiae consequuntur quisquam"""
bruce_shah_9398;66.0;33.1;46.2;"""Nihil dolores cumque officia; Iusto aut Recusandae"""
rachel_greenwood_6462;5.0;90.1;47.2;"""Error labore; Doloribus nam eligendi ; Dolorum nobis"""
mrs_howells_3611;57.0;14.1;76.2;"""Note: Labore quia earum dolore; then Perspiciatis"""
david_allen_7291;29.0;73.1;27.2;"""Inventore maxime; Ab officia ; Odit maiores"""
antony_king_5123;34.0;88.1;70.2;"""Sapiente repellendus nostrum; Sed rem illo Ipsa ea itaque"""
marc_bradley_2532;66.0;;7.2;"""Autem nobis dolorem; Aliquid nulla ; Voluptates occaecati illo"""
mrs_hunt_1582;4.0;44.1;90.2;"""(Quo eveniet numquam nulla temporibus) ; Accusantium suscipit and Harum vitae"""
natasha_hall_3643;19.0;58.1;66.2;"""Suscipit saepe placeat ut distinctio omnis; Incidunt vitae In illum"""
henry_fitzgerald_6642;21.0;9.1;92.2;"""Molestias expedita maiores; Ea perspiciatis Tempora perspiciatis"""
dr_fisher_7446;21.0;6.1;61.2;"""Veniam; Delectus ipsa molestias tenetur ; Rem molestias"""
jean_phillips_0683;;30.1;71.2;"""Note: Harum impedit; then Delectus repellendus natus illo quos"""
miss_jackson_6194;32.0;61.1;63.2;"""(Facilis praesentium) ; Dicta and Odit"""
emily_edwards_4596;39.0;5.1;10.2;"""(Nam nostrum repellendus ea ipsam) ; Neque fuga nam nesciunt and Aspernatur voluptates"""
joanna_wyatt_4625;16.0;98.1;84.2;"""At iure omnis temporibus: Fugiat dolores iure; Molestias beatae debitis labore cupiditate"""
geraldine_potts_1057;60.0;4.1;9.2;"""Temporibus sit: Nihil vel magni distinctio; Aspernatur dignissimos rerum dolorum deserunt autem"""
andrew_hope_7894;65.0;9.1;60.2;"""Quidem illo eligendi magnam; Repudiandae impedit sit Accusantium"""
teresa_jones_8183;20.0;44.1;15.2;"""Reprehenderit occaecati nihil: Cumque sint; Occaecati vel"""
mr_blake_9427;74.0;57.1;60.2;"""(Sint suscipit illum assumenda beatae) ; Ducimus et and Nostrum et odit quaerat"""
jennifer_barton_4453;30.0;57.1;;"""(Harum fuga dolorum minima fugiat) ; Quisquam vel and Incidunt dolore"""
max_dean_9248;8.0;52.1;14.2;"""Molestias; Facere sequi suscipit Iusto quos perspiciatis soluta beatae"""
dr_taylor_9555;48.0;71.1;35.2;"""Cupiditate aperiam; Officia Quis dolor"""
miss_hunter_2180;25.0;95.1;26.2;"""Omnis aspernatur; Soluta ; Voluptates quis eligendi cupiditate maxime corporis"""
tracy_clarke_2187;90.0;64.1;55.2;"""(Error accusamus dolore repellendus doloremque) ; At velit maxime and Voluptas"""
stanley_gibson_5314;33.0;76.1;32.2;"""Note: Distinctio; then Distinctio"""
graham_chapman_1591;78.0;96.1;67.2;"""Iure eum velit distinctio eius eum; Sit dicta cum Beatae ad"""
dale_mason_9930;33.0;27.1;93.2;"""(Magnam magnam optio deserunt) ; Architecto neque soluta and Maxime corrupti"""
luke_williamson_1663;47.0;55.1;15.2;"""(Similique) ; Voluptatibus itaque sed and Consectetur aut doloremque in"""
ronald_hunter_8573;74.0;95.1;63.2;"""Explicabo quis; Officiis impedit explicabo ; Fugit"""
