name	username	total_count	remark
Iain Lewis	iain_lewis_9495	67.0	"""Provident	 Ipsam repellat fugit illum amet beatae Facere sequi blanditiis velit"""
Stuart Hamilton	stuart_hamilton_4868	97.0	"""Note: Tempore	 then Quae"""
Clifford Baker	clifford_baker_4008	48.0	"""Possimus quae: Quos quidem	 Cumque architecto sapiente ipsam"""
Gareth Donnelly	gareth_donnelly_7993	100.0	"""(Provident recusandae) 	 Deserunt similique placeat and Ex sapiente accusantium"""
Alison Miller	alison_miller_6109	74.0	"""Quaerat recusandae natus: Occaecati laudantium omnis	 Eveniet a repellendus"""
Frank Fuller	frank_fuller_2814	60.0	"""(Quibusdam deleniti cupiditate laborum) 	 Asperiores ea quam eos and Occaecati consectetur neque"""
Mr Damien Russell	mr_russell_8039	44.0	"""Ab vero debitis	 Aperiam est incidunt Vel atque quidem nobis"""
Denis Wilson-Fletcher	denis_fletcher_2605	41.0	"""Accusantium ullam; Omnis ipsa 	 Dolores ad"""
Mr Craig Bennett	mr_bennett_6906	95.0	"""Note: Harum ducimus dolorum	 then Voluptatibus accusamus nemo porro"""
Maria Jennings	maria_jennings_0378	9.0	"""(Beatae) 	 Adipisci eaque similique and Doloribus error eos alias"""
Mr Peter Hughes	mr_hughes_8408	82.0	"""Impedit	 Nemo et Error officia modi"""
Garry Lynch	garry_lynch_4163	77.0	"""Note: Excepturi laudantium adipisci	 then Atque dolorem mollitia"""
Mr Luke Smith	mr_smith_2707	72.0	"""At: Soluta reiciendis	 Nihil soluta quasi officia numquam"""
June Kennedy-Ahmed	june_ahmed_1257	35.0	"""Totam rem ullam ab beatae	 Ut inventore possimus Ullam cum eum"""
Dr Abbie Shepherd	dr_shepherd_5777	6.0	"""Facere voluptatum aliquid quod expedita autem; Sint 	 Qui"""
Natasha Smith	natasha_smith_2721	43.0	"""Magni mollitia nam dolore voluptatibus modi	 Inventore incidunt rem minus laboriosam Neque perspiciatis"""
Andrew Wallace	andrew_wallace_8000	67.0	"""Quisquam harum eligendi: Repellat	 At velit quibusdam"""
Katy Roberts	katy_roberts_7824	81.0	"""Necessitatibus aperiam assumenda; Natus 	 Dolores maiores"""
