username,name,age,rating,comment,description
michelle_james_5633,Michelle James,59.0,10.1,"""Around drop bag point: Record strong hand American debate, Show walk get daughter pull""","""Increase thus avoid; Show unit , Second top"""
pamela_aguilar_9348,Pamela Aguilar,15.0,69.1,"""Note: Foot air represent, then Available cup""","""Note: Sister responsibility, then Pick about improve unit agency"""
gary_davis_3439,Gary Davis,44.0,31.1,"""Street model anyone; Interest , Thought would force interesting popular pay""","""Note: Fund, then Executive speech management room"""
julie_reilly_0347,Julie Reilly,95.0,53.1,"""Heavy send: Later, Movement""","""(Must) , No door and Office"""
nathan_perkins_2661,Nathan Perkins,84.0,16.1,"""Interesting rule business: Interview check personal chance toward, Statement third boy while""","""Fact against, Full Yeah ever focus"""
brian_reyes_0681,Brian Reyes,11.0,42.1,"""Note: Seat, then Water agree ever practice""","""(Determine) , Sea and Man see"""
peter_gregory_8641,Peter Gregory,3.0,12.1,"""Difficult event yet; Drop , Society law""","""(Billion) , Trade the might and Generation add whom suggest"""
carlos_morris_6409,Carlos Morris,68.0,22.1,"""Civil program new deal movement effort: Special crime value heavy side, Assume""","""Color sound, North later Think rise everything occur"""
john_tanner_3384,John Tanner,95.0,49.1,"""Kitchen practice success kid size, Thank office Under simply degree""","""Soon future; Mr hour without statement international , Middle night"""
richard_green_7105,Richard Green,49.0,52.1,"""Note: Material high cell indicate, then Dark""","""Feel argue exist street trial those, Situation sound Tax effort"""
lisa_villegas_6884,Lisa Villegas,49.0,65.1,"""Sense long school: You meeting blue people popular include, Wait other""","""Return edge expect; Nothing , Involve"""
jimmy_bishop_7944,Jimmy Bishop,28.0,,"""(Cultural key certainly) , Nothing land become and Section""","""Note: Truth, then Available yes"""
samuel_ii_2030,Samuel Chung II,71.0,55.1,"""(Direction quickly nice nor energy) , Blue heavy such station whose and Sit""","""Note: Street them lay fast score impact, then Light father spend low"""
bryan_hernandez_6930,Bryan Hernandez,37.0,10.1,"""Region; Film , Gas campaign different charge""","""(President impact nice recognize true pay) , Oil clear and Break"""
anne_foley_7366,Anne Foley,71.0,38.1,"""Note: Another, then Great culture career clearly station seven Mr""","""Live institution senior from employee never: Assume just, Enjoy design"""
jon_williams_4960,Jon Williams,54.0,39.1,"""Crime, Unit car story also end thing Director should may because or test""","""Design; Go course cell , Several"""
marie_friedman_9025,Marie Friedman,39.0,96.1,"""Rest just meet, Have Parent see prepare husband""","""Pass sometimes return lay race win; Upon , Management current international"""
