username;name;score;age;price;description;summary
dennis_hill_3873;Dennis Hill;21.0;35.1;52.2;'''Ratione quo; Cupiditate ; Blanditiis error iste''';'''Note: Accusamus tenetur saepe porro; then Blanditiis non inventore eos'''
james_whittaker_6780;James Whittaker;42.0;63.1;32.2;'''Note: Rerum perferendis rerum; then Similique velit''';'''Vero eum: Eum; Accusantium ex'''
mr_savage_8882;Mr Alexander Savage;39.0;24.1;75.2;'''Soluta quod in; Consequatur ipsam quaerat inventore Consequatur accusamus cupiditate qui''';'''Ab dicta; Quasi ; Unde inventore'''
ms_hardy_5798;Ms June Hardy;78.0;60.1;32.2;'''Dolore atque veritatis illum; Nesciunt dolorum voluptatum sunt Iste sapiente rerum quas''';'''Note: Veritatis; then Blanditiis perspiciatis voluptas ratione rerum'''
mr_naylor_3527;Mr Mohamed Naylor;99.0;;38.2;'''Rem sunt placeat: Adipisci consequuntur commodi aliquam; Assumenda quasi''';'''(Praesentium accusamus) ; Similique and Sed fuga voluptatum voluptas maiores'''
lindsey_black_0378; ;;50.1;96.2;'''(Perspiciatis distinctio natus id) ; Voluptatibus officia rerum distinctio and Sequi officiis neque maxime''';'''Autem fugit eius; Mollitia deserunt earum tenetur ; Fugit suscipit'''
megan_winter_0827;Megan Winter;43.0;81.1;99.2;'''(Animi veniam cumque) ; Quo nihil sed and Quibusdam numquam doloribus rem labore''';'''Note: Provident aliquam; then Quam praesentium quis provident corporis'''
rebecca_shepherd_5672;Rebecca Shepherd;47.0;68.1;36.2;'''Quidem eius; Modi maiores ; Eos fugit id mollitia''';'''(Aspernatur aut iste) ; Fuga and Corrupti amet commodi'''
anthony_young_6747;Anthony Young;83.0;23.1;93.2;'''(Temporibus fugit ad) ; Quae and Eveniet''';'''(Atque vitae laboriosam earum) ; Aliquam similique est blanditiis and Excepturi sit est'''
dr_williams_4531;Dr Marc Williams;11.0;53.1;35.2;'''(Ratione ab) ; Eos sint ducimus and Error non culpa''';'''Neque accusamus architecto dignissimos voluptas; Error ea ratione ; Sint sint temporibus occaecati cupiditate temporibus'''
amy_hughes_0739;Amy Hughes;22.0;46.1;19.2;'''(Quasi rerum cum nihil) ; Quam architecto and Voluptatem veritatis vitae''';'''Note: Quod nisi nobis; then Accusamus hic'''
heather_hammond_0785;Heather Hammond;36.0;17.1;7.2;'''Libero quae explicabo officia; Aliquid minus ; Sunt at fuga''';'''Ipsa assumenda possimus fugiat maxime; Enim voluptates Porro fugit quo reprehenderit occaecati'''
ms_roberts_7378;Ms Kimberley Roberts;74.0;11.1;3.2;'''Eos harum; Dignissimos Recusandae necessitatibus ad eum''';'''(Ullam necessitatibus magnam et dolorem) ; Exercitationem ea and Rerum enim reiciendis impedit quia'''
beth_reeves_6467;Beth Reeves;66.0;68.1;76.2;'''Necessitatibus aut optio illo impedit: Consectetur; Modi cupiditate sed sit eaque''';'''Dolor consectetur id modi labore a: Reprehenderit veritatis odio; Deserunt quasi quod nulla nobis'''
dr_hayes_7875;Dr Billy Hayes;98.0;84.1;98.2;'''Excepturi voluptas: Voluptate; Perspiciatis praesentium magni''';'''Qui occaecati provident: Molestias voluptates quos illum; Nesciunt laborum voluptates'''
glenn_jones_5625;Glenn Jones;82.0;35.1;90.2;'''Vitae autem doloremque omnis doloribus: Officia quos facere nemo atque; Incidunt alias''';'''Inventore corrupti dignissimos provident totam: Aperiam; Cumque fugit amet iure'''
ms_cox_6422;Ms Susan Cox;83.0;87.1;20.2;'''Note: Sed eum corporis; then Ipsam voluptatibus aut''';'''Dolor laboriosam vero error: Dignissimos tempore; Eligendi non'''
aaron_walker_8668;Aaron Walker;37.0;46.1;1.2;'''(Reprehenderit corporis iure minima) ; Vitae and Nisi doloribus''';'''Note: Eius fugiat veniam; then Reprehenderit sequi illum delectus vitae'''
dr_price_8918;Dr Denise Price;3.0;19.1;96.2;'''Impedit quidem; Recusandae nostrum ; Est quidem''';'''Note: Nihil doloribus odit saepe; then Aliquam temporibus ipsam magnam delectus'''
annette_hutchinson_6415;Annette Hutchinson;80.0;94.1;81.2;'''Assumenda sunt atque vitae: Recusandae; Illum consequuntur''';'''Note: Dicta tempore; then Libero harum explicabo amet'''
miss_rogers_5615;Miss Katherine Rogers;32.0;8.1;75.2;'''(Temporibus dolorum) ; Accusantium porro voluptas and Eius''';'''Note: Aperiam eligendi sequi; then Tenetur aliquam non'''
mr_hutchinson_7010;Mr Max Hutchinson;9.0;32.1;;'''Ad adipisci voluptate; Saepe occaecati Sapiente expedita saepe''';'''Enim temporibus recusandae reiciendis libero; Impedit laborum fuga occaecati atque ; Incidunt'''
ms_martin_2809;Ms Margaret Martin;87.0;87.1;60.2;'''Consequuntur maxime eveniet: Beatae dolores a; Laudantium blanditiis at consectetur''';'''Note: Quidem suscipit animi quibusdam dolores; then Nulla labore natus'''
lynda_clark_1014;Lynda Baker-Clark;93.0;72.1;84.2;'''(A dolorum) ; Culpa debitis perferendis and Corrupti architecto''';'''Magni ad: Veritatis; Dicta quis'''
