username	name	salary	description
todd_klein_6796	Todd Klein	98.0	'''Note: Figure west	 then Half'''
sean_burgess_6634	Sean Burgess	25.0	'''(Soon senior anything) 	 Expert gas course simply and Start inside site common two'''
maria_odonnell_7858	Maria Odonnell	26.0	'''Agent worker	 Appear bag couple hold energy Management hot piece then'''
thomas_owens_2032	Thomas Owens	1.0	'''Recognize: Ability structure	 Capital four per assume air staff'''
jerome_kerr_8273	Jerome Kerr	69.0	'''After lot lose; Risk kind which 	 Adult'''
angela_anderson_4891	Angela Anderson	83.0	'''Cover type country foreign election	 Mean sing I Debate do wait local'''
william_james_0832	e	95.0	'''(Family job Democrat) 	 Purpose teacher and Way move skill yourself'''
robert_robles_3898	Robert Robles		'''(General country) 	 Both while along system and Question see hope onto charge amount'''
amber_smith_8718	Amber Smith	26.0	'''Purpose direction term: Record until outside level	 Analysis civil open measure sound'''
kathryn_yoder_4093	Kathryn Yoder	51.0	'''Feeling yes box hair: Particularly size	 Else kid part quality'''
scott_nunez_3585	Scott Nunez	100.0	'''Note: Arrive it accept	 then Arrive item best'''
thomas_smith_0991	Thomas Smith	3.0	'''Score military; Heart value kid 	 Popular good bank'''
april_dean_5480	April Dean	28.0	'''(Draw member work church campaign) 	 Mother and Community compare'''
erin_woodward_3857	Erin Woodward	92.0	'''Note: Contain	 then Watch will'''
mark_collins_0631	Mark Collins	13.0	'''(To space) 	 Later admit ask and Society human'''
javier_marshall_9910	Javier Marshall	9.0	'''Charge wonder; Money party 	 Practice foreign tough hold'''
kelly_norman_2572	Kelly Norman	81.0	'''Fall single	 Into Fill student commercial'''
richard_blake_6740	Richard Blake	19.0	'''(Kind rate decision) 	 A nice and Necessary leg loss cut watch'''
timothy_dds_5145	Timothy Newton DDS	82.0	'''Note: Represent cell respond second	 then Often dog do kid inside'''
lisa_wang_4921	Lisa Wang	37.0	'''Note: Suggest determine	 then Item his'''
lindsey_ellis_5103	Lindsey Ellis	44.0	'''Plan subject military stop: Thing glass	 Too hundred'''
kaitlin_kelley_6109	Kaitlin Kelley	8.0	'''Note: Check final bad wrong	 then Major similar later can degree'''
michael_carlson_0194	Michael Carlson	52.0	'''Language especially the before dark; Guy work high back 	 Dog street something among brother edge'''
jessica_dds_6546	Jessica Wyatt DDS	17.0	'''Note: Itself coach	 then Simple'''
james_chavez_4498	James Chavez	2.0	'''To actually city including	 Voice pretty Easy miss discussion'''
christina_hunt_1041	Christina Hunt	66.0	'''Note: View society fire	 then Finish control'''
rebecca_kerr_7048	Rebecca Kerr	52.0	'''Among in sea: Myself amount responsibility skin recent	 Attorney finally'''
jesse_peters_3278	Jesse Peters	30.0	'''Card bad: Want report	 Through nor exist'''
dennis_bowman_1118	Dennis Bowman	83.0	'''Different when: Successful most try	 Use Democrat about partner'''
daniel_kennedy_9883	Daniel Kennedy	15.0	'''Professor also other; Argue save 	 Put able'''
brian_cooper_9125	Brian Cooper	65.0	'''Once imagine: Read build what	 Air moment central few population interest'''
matthew_boyle_7680	Matthew Boyle	57.0	'''Second either forward; Western road 	 Peace food capital protect window'''
erik_thompson_5632	Erik Thompson	21.0	'''Wall seek	 Everything officer after Near her'''
