username;name;rating;price;review;summary
mr_evans_6506;Mr Oliver Evans;100.0;86.1;"""(Qui quas quo quaerat expedita harum) ; Odit fugiat eos ducimus and Qui iste""";"""Nulla corrupti odio et necessitatibus; Suscipit quasi molestiae Omnis autem magni"""
miss_smith_0647;Miss Margaret Smith;56.0;5.1;"""(Exercitationem) ; Commodi officia and Eveniet""";"""Earum quod odit; Quibusdam ; Consequuntur tempora veritatis cupiditate"""
paul_chambers_0274;Paul Chambers;38.0;47.1;"""(Consectetur illo vero) ; Provident corporis non fuga and Illo autem possimus enim eveniet""";"""Sit deserunt; Illum quam nobis Assumenda dicta mollitia"""
mr_barton_0698;Mr Donald Barton;64.0;28.1;"""Quidem accusamus; Sint suscipit Sequi accusamus maxime repellat incidunt""";"""Aut; Nam esse ; Nisi corporis"""
claire_kay_4218;Claire Kay;19.0;41.1;"""Note: Repellendus in quam; then Sit quidem ut""";"""Voluptatum aliquid iusto earum: Amet voluptate sequi; Corporis"""
grace_ellis_4260;Grace Ellis;63.0;;"""Note: Harum minus; then Modi officia ipsam dolores commodi quae""";"""(Repellat vero) ; Corrupti voluptas id and Expedita"""
tony_humphreys_4445;Tony Hunter-Humphreys;;87.1;"""Note: Deleniti esse nam dolorem voluptatem; then Eaque""";"""Iste pariatur; Debitis eligendi earum ; Non autem"""
charlotte_gray_6711;Charlotte Gray;11.0;56.1;"""Atque; Dignissimos aliquam tempora Quaerat ratione blanditiis quas""";"""Repudiandae; Dolor molestiae eligendi deleniti illo Eligendi esse repellat"""
jill_williams_0619;Jill Riley-Williams;30.0;71.1;"""Laborum vero necessitatibus expedita eius; Iure deleniti ipsam ; Facilis aliquid libero deserunt""";"""Note: Dicta cumque aliquid; then Ratione cupiditate a omnis veritatis"""
maureen_newton_0480;Maureen Newton;92.0;67.1;"""(Itaque ex facilis) ; Commodi fugiat libero suscipit and Libero adipisci dicta""";"""Pariatur nemo: Delectus ratione dicta aperiam; Aspernatur dolor iste"""
colin_cook_2906;Colin Cook;41.0;55.1;"""(Temporibus) ; Optio and Labore aliquid laudantium possimus incidunt""";"""Ipsam tenetur; Sequi ; Voluptates"""
angela_sharpe_8009;Angela Sharpe;95.0;37.1;"""Magnam aut; Corrupti iure consequatur Natus""";"""Odit ad vitae: Amet quibusdam dolorum; Maxime perferendis quod"""
ms_marshall_1869;Ms Grace Marshall;5.0;58.1;"""Ut quod voluptatem: Fugiat neque; Magnam sed officiis repellendus libero delectus""";"""Molestias iure; Deserunt ab ; Est impedit"""
anne_grant_5151;D;56.0;44.1;"""Libero: Voluptatum asperiores praesentium; Consequuntur facilis praesentium""";"""(Fugit eveniet quaerat) ; Et unde at accusantium and Quo maiores reprehenderit"""
sean_poole_0118;Sean Poole;51.0;72.1;"""(Incidunt officia) ; Dolorem voluptatibus and Unde exercitationem fugit delectus quam""";"""Animi nulla; Sint beatae A"""
dr_harrison_8998;Dr Alison Harrison;80.0;32.1;"""Neque porro delectus deleniti: Eos iste ducimus; Aperiam maiores ratione eaque""";"""(Enim ullam itaque dolorum) ; Ex quam and Consequatur placeat harum"""
christopher_thompson_3799;Christopher Thompson;6.0;58.1;"""Provident beatae est natus esse harum; Cum voluptas repudiandae temporibus itaque ; Explicabo""";"""Doloribus nesciunt perferendis; Neque ipsa ab quisquam reiciendis ; Voluptatem sed ipsum repellat"""
colin_mann_4971;Colin Mann;90.0;40.1;"""Molestias laudantium non id temporibus omnis; Praesentium deserunt tempore ; Iste odio asperiores ducimus""";"""Dolorem voluptatum quia nostrum; Dolorum est quam tenetur Iure est dignissimos vitae"""
marc_page_6915;Marc Page;57.0;74.1;"""Note: Veritatis aperiam eum accusantium excepturi perferendis; then Id eos""";"""Distinctio occaecati et autem ipsa; Deserunt quo doloremque ; Accusamus placeat maxime"""
alexandra_smith_3291;Alexandra Smith;62.0;76.1;"""Tempora deserunt iusto dolore exercitationem; Occaecati ; Eum unde""";"""(Pariatur iure) ; Illo necessitatibus eos quam laboriosam and Rem ipsa non"""
dr_collins_9750;Dr Kenneth Collins;52.0;67.1;"""Fuga inventore dolore: In; Assumenda""";"""Esse tempore: Corporis aspernatur nostrum; Maiores minima provident nisi"""
miss_thompson_7550;Miss Katy Thompson;42.0;16.1;"""Nesciunt officiis non in; Sapiente ; Harum eos animi""";"""(Nam eaque) ; Quas natus and Atque adipisci"""
dr_shaw_8780;Dr Mohammad Shaw;15.0;94.1;"""Note: Inventore; then Animi iusto tempora""";"""Quia; Rem ; Dolor veritatis"""
ms_mason_0880;Ms Lynda Mason;72.0;94.1;"""Minus; Nisi odio doloremque consequuntur minus Corporis nihil architecto""";"""(Ut exercitationem occaecati fuga) ; Error nulla perspiciatis nemo and Nostrum animi sapiente"""
iain_fleming_5963;Iain Fleming;65.0;43.1;"""Adipisci eos doloribus consectetur; Reiciendis corporis Quibusdam occaecati qui quia repudiandae similique""";"""(Sit) ; Explicabo delectus and Expedita eaque distinctio eos excepturi"""
nicole_fox_0863;Nicole Cooper-Fox;3.0;31.1;"""Possimus sint reprehenderit; Nesciunt animi voluptatem nam facilis Eius dicta""";"""Aliquam alias totam repellat; Enim quae vitae Dicta eaque"""
christine_robinson_1637;Christine Robinson;47.0;10.1;"""(Quaerat dicta iusto) ; Architecto autem and Quidem pariatur""";"""Porro: Quia dolores vero; Eaque modi"""
leigh_brien_5668;Leigh Thompson-O'Brien;63.0;74.1;"""(Nostrum dolores) ; Molestias quidem porro odio recusandae eligendi and Sunt""";"""In; Ad itaque nam at maiores ; Incidunt quo autem"""
craig_gallagher_0927;Craig Gallagher;13.0;1.1;"""Dicta; Molestias perspiciatis explicabo Ut""";"""Note: Tempore repellendus consequuntur ipsum facilis nulla; then Sint eaque cupiditate"""
mohammed_gordon_6202;Mohammed Gordon;61.0;82.1;"""(Cumque assumenda odit) ; Ea eligendi cum and Omnis qui quam""";"""(Quae debitis quia hic eveniet) ; Soluta praesentium sapiente and Nisi sunt"""
mrs_collins_9577;Mrs Julie Collins;24.0;21.1;"""Suscipit aliquid dolorum deleniti: Quae rerum; Consectetur illum""";"""(Numquam eveniet) ; Commodi dolorem dignissimos and Sint reprehenderit vitae"""
