username,name,price,age,salary,summary,review
molly_saunders_4633,Molly Saunders,31.0,68.1,52.2,'''Doloribus accusamus voluptas nam eligendi, Iusto corporis ut Harum iusto assumenda''','''Note: Quo, then Ipsum'''
mrs_lewis_1982,Mrs Naomi Lewis,57.0,52.1,27.2,'''Note: Delectus quisquam in illo, then Similique accusantium cumque facilis''','''Doloremque vero aliquid, Eligendi quae pariatur quas aperiam Consequatur tempora quos recusandae amet'''
lydia_day_9087,Lydia Chapman-Day,3.0,98.1,61.2,'''(Laboriosam labore accusantium consequuntur) , Distinctio and Commodi enim iure quo''','''Note: Aut beatae, then Dolor quo'''
pamela_edwards_7956,Pamela Edwards,75.0,88.1,2.2,'''Autem quibusdam dolore: Esse iusto perspiciatis, Asperiores nulla''','''Aspernatur rerum mollitia sapiente veritatis voluptate, Totam tenetur Assumenda reprehenderit nemo in repellendus excepturi'''
valerie_brien_6590,'Valerie O''Brien',34.0,68.1,81.2,'''Optio: Alias recusandae, Expedita iure''','''(Qui minima quibusdam voluptas) , Odit officiis recusandae vero and Incidunt dolores laborum'''
bryan_fletcher_9581,Bryan Fletcher,28.0,49.1,71.2,'''Recusandae assumenda illum: Enim tenetur, Eaque''','''(Cupiditate cupiditate) , Iusto explicabo architecto and At modi cum a quaerat'''
lydia_foster_7123,Lydia Foster,,93.1,12.2,'''Occaecati ad dolorum ullam sequi; Cum ut , Consectetur at excepturi''','''Molestiae fugiat mollitia nulla, Fuga voluptate cumque Consectetur voluptates'''
mrs_evans_9182,Mrs Holly Evans,49.0,40.1,17.2,'''Quidem corporis assumenda; Officia , Exercitationem vitae illum expedita''','''(Molestias esse) , Nemo and Consectetur laborum'''
mr_norman_8083,Mr Patrick Norman,51.0,5.1,57.2,'''Facilis, Quam aspernatur Vitae autem accusantium''','''Note: Dolorum inventore, then Fugit'''
rachael_kelly_8540,Rachael Bird-Kelly,50.0,4.1,75.2,'''Aliquid libero veniam recusandae: Necessitatibus numquam, Maxime ducimus atque''','''Est; Eaque dignissimos itaque , Modi deserunt quos amet'''
stanley_bennett_7477,Stanley Bennett,17.0,93.1,22.2,'''Note: Molestiae accusamus, then Laborum ipsam''','''Distinctio, Sapiente iure atque labore iste Facere magnam'''
jade_barrett_5428,Jade Stone-Barrett,91.0,47.1,69.2,'''Praesentium iusto: Hic quam magnam exercitationem, Consequatur vero''','''Ratione perferendis; Corporis eligendi ab , Necessitatibus rem'''
clifford_watson_2444,Clifford Watson,2.0,82.1,98.2,'''Omnis culpa expedita, Asperiores temporibus Eveniet fuga distinctio''','''Numquam, Esse voluptates occaecati debitis libero Ipsa maxime laudantium corporis assumenda ut'''
stephen_wood_8204,Stephen Wood,96.0,14.1,37.2,'''Est; Rem dolorem officia quia , Ut doloremque magnam ad''','''Deleniti saepe aliquam occaecati; Nam soluta , Molestiae'''
natasha_james_2783,Natasha James,65.0,60.1,94.2,'''(Voluptatem rem ex) , Eligendi earum and Voluptas voluptatum''','''Porro minima porro, Adipisci quam Laudantium laborum commodi at'''
hollie_gilbert_9493,Hollie Gilbert,65.0,51.1,92.2,'''Facilis deserunt unde ad, Aut provident voluptatibus Nobis soluta corporis''','''Doloribus deserunt: Beatae iure veritatis consequatur eum, Illum delectus'''
carol_woods_5438,Carol Woods,50.0,58.1,8.2,'''(Similique deleniti porro molestias hic nesciunt) , Praesentium voluptatum mollitia and Praesentium temporibus corrupti excepturi''','''(Dolorem sed necessitatibus) , Iure hic and Delectus'''
sally_wilson_6514,Sally Wilson,73.0,50.1,93.2,'''Aliquam ratione nesciunt corrupti commodi illo: Doloremque, Eum minus et''','''Quaerat, Beatae ut quia Dolorum soluta id necessitatibus'''
marilyn_duffy_7954,Marilyn Duffy,56.0,87.1,32.2,'''Commodi velit, Porro facere Natus quasi numquam soluta''','''Voluptas aspernatur: Occaecati consequatur hic, Rem exercitationem'''
kerry_taylor_4832,Kerry Smith-Taylor,79.0,96.1,13.2,'''Occaecati consequatur: Voluptatibus iusto doloremque, Temporibus qui''','''Eius dolorem, Eveniet atque eius commodi fugiat Autem quis sunt'''
elliot_richardson_0222,Elliot Richardson,24.0,21.1,29.2,'''Soluta explicabo; Omnis pariatur suscipit , Facere''','''Porro ex quas: Quaerat ullam, Odit'''
michelle_fletcher_1225,Michelle Fletcher,73.0,39.1,71.2,'''Facilis numquam blanditiis; Doloribus , Tempora assumenda''','''Note: Aliquid, then Molestiae praesentium'''
marcus_howard_2609,Marcus Howard,31.0,17.1,,'''(Praesentium temporibus) , Aut fugiat and Doloribus commodi ut explicabo occaecati''','''Note: Recusandae deserunt quas porro, then Odio voluptatum'''
gerard_james_5132,Gerard James,14.0,40.1,76.2,'''Enim aut reprehenderit necessitatibus eum ullam; Atque maiores possimus labore , Assumenda tempore doloribus numquam eius eum''','''Sit, Ratione quo vitae Veniam delectus modi recusandae'''
elliott_smith_1469,e,48.0,9.1,50.2,'''Optio nisi odit culpa natus; Explicabo iusto magni suscipit sit assumenda , Consequatur occaecati ratione cum''','''Nulla: Ducimus ea ratione fugiat at, Veniam culpa non'''
gary_hopkins_5858,Gary Hopkins,79.0,62.1,43.2,'''Vero ab quae veritatis officia suscipit; Esse , Corporis distinctio corrupti mollitia voluptatem quos''','''Facere corrupti ipsa excepturi mollitia, Corrupti delectus Repudiandae porro perspiciatis quaerat'''
miss_talbot_2973,Miss Carolyn Talbot,64.0,45.1,5.2,'''Repudiandae iure magni; Soluta aperiam earum laboriosam , Quisquam fugit debitis maxime''','''Nihil; Quia explicabo eaque , Veritatis possimus harum'''
charlotte_law_3534,Charlotte Law,27.0,61.1,93.2,'''Note: Maiores deleniti sapiente veniam aspernatur, then Sit id''','''Veritatis debitis praesentium nesciunt, Explicabo reiciendis provident Nulla quaerat suscipit laudantium'''
donna_bates_5989,Donna Bates,27.0,,86.2,'''Note: Accusantium, then Nemo nesciunt''','''Corporis amet laboriosam quae dolorem velit; Quam assumenda animi praesentium , Officiis exercitationem accusantium'''
norman_fraser_6299,Norman Fraser,17.0,82.1,88.2,'''(Aut eum mollitia ad nostrum) , Non and Corporis amet quam''','''Amet, Ducimus assumenda quod harum est Minus ullam accusantium'''
eric_woodward_4013,Eric Woodward,88.0,1.1,77.2,'''Ipsam, Laboriosam maiores numquam Nisi minus''','''Odit ex suscipit; Totam vel ad explicabo iure quisquam , Necessitatibus doloribus voluptate'''
michelle_wright_4490,Michelle Wright,81.0,45.1,47.2,'''(Sapiente assumenda) , Suscipit est and Consequatur inventore perspiciatis numquam''','''Beatae quidem nihil error; Recusandae magnam blanditiis ratione , Expedita illo enim molestias rerum'''
rosemary_wood_0252,Rosemary Wood,33.0,30.1,30.2,'''(Ab ducimus) , Tenetur ullam and Nostrum fugit''','''Note: Rerum sequi, then Et provident'''
