username;name;score;total_count;age;description;summary
joseph_lopez_9298;Joseph Lopez;93.0;27.1;98.2;"""Scene require center such box: Organization; Still week accept""";"""Note: Economy theory; then Benefit case"""
dawn_delgado_7941;Dawn Delgado;79.0;25.1;91.2;"""Out keep: Population morning certain most; Within dark""";"""Or sister take could beat; Past expert democratic do scientist Officer participant teacher consider trade meet"""
mark_wright_8593;Mark Wright;41.0;61.1;92.2;"""Use certainly degree; Fast surface away include your ; Between budget high""";"""Social marriage meeting every sound: Station; Nearly"""
daniel_davis_4830;Daniel Davis;29.0;72.1;69.2;"""Note: Great their; then Task air front""";"""Else; Others ; Picture reach all"""
mark_russell_9530;Mark Russell;86.0;3.1;78.2;"""Space west heavy country; Number campaign ; Expect food boy""";"""(Nice itself reduce president) ; Data race thus and Meet official whatever parent dream ten"""
anthony_santana_9488;Anthony Santana;66.0;6.1;96.2;"""Score scene Republican unit president: Natural represent rich design standard hit; Individual science enter""";"""(Standard in place pick play) ; Who factor and Business account improve"""
zachary_olson_0889;Zachary Olson;71.0;52.1;52.2;"""Note: Series development sort product; then Third help student""";"""Total parent; Position three Back"""
joseph_fisher_6546;Joseph Fisher;49.0;56.1;8.2;"""(Red mind way a) ; Pull state maybe data political and Morning employee character central above""";"""Note: South financial peace; then Sure summer job series"""
jon_andrews_1862;Jon Andrews;8.0;100.1;60.2;"""(Almost letter little in) ; Involve citizen strategy and Child economic like pull under""";"""(Store campaign that) ; Organization only develop activity final certainly and Effort"""
paula_mendoza_0022;Paula Mendoza;61.0;19.1;87.2;"""Watch discover; Individual security happen ; Significant job collection""";"""Adult financial: Task; Least morning"""
gina_thompson_1372;Gina Thompson;68.0;3.1;86.2;"""Note: Study until tell; then Stock decide follow""";"""Himself oil final new most: Me decide always indicate; Few concern whole"""
carlos_gonzalez_3230;Carlos Gonzalez;1.0;83.1;19.2;"""Decade world nice strategy near: Experience religious; Center best enjoy head""";"""Full series; Reflect trial your ; Center east"""
mrs_walker_7202;Mrs. Leah Walker;1.0;15.1;40.2;"""Drop opportunity his because because; Goal street Great expect""";"""Note: Go color; then Country should money marriage"""
julia_richardson_0120;Julia Richardson;54.0;65.1;56.2;"""Activity my many executive where deal; Girl government Cost vote daughter develop""";"""Offer feeling: Lawyer; Test ready cold"""
antonio_baker_4811;Antonio Baker;20.0;83.1;56.2;"""Note: Bed; then Would play great""";"""Country loss: Throughout; Card"""
michael_miller_5145;Michael Miller;41.0;52.1;81.2;"""Base kid visit always; Hundred natural take scientist consumer force ; Reason second""";"""Note: Attorney whole; then Back when talk recent"""
jennifer_little_1346;Jennifer Little;83.0;88.1;20.2;"""Movie spring another past glass available; Step board girl type ; Why hard debate""";"""Note: Total hair their both step; then Staff"""
kelsey_schaefer_2089;Kelsey Schaefer;94.0;29.1;78.2;"""Role exactly black important about; Future right one common better read ; Modern yourself positive""";"""(Defense magazine) ; Human seven and Money allow"""
