name	username	score	remark
e	andrea_mitchell_6980	5.0	"""Note: Soluta voluptas reiciendis quas	 then Officia libero"""
Mr Lawrence Johnson	mr_johnson_0352	24.0	"""Note: Explicabo fugit quisquam maiores impedit	 then Non animi libero placeat tempora"""
Mrs Tina Watson	mrs_watson_8857	92.0	"""Officia reprehenderit ab porro veritatis	 Dolore voluptatibus id Laudantium illo"""
Louis Patterson-Thorpe	louis_thorpe_5292	88.0	"""Iusto recusandae eligendi cupiditate	 Praesentium minus eum quo Veritatis modi ad"""
Joan Clark	joan_clark_0683	51.0	"""Note: Necessitatibus reprehenderit hic laboriosam autem	 then Esse quisquam quod magni quos molestiae"""
Kenneth Stanley-Hammond	kenneth_hammond_7643		"""Note: Aspernatur	 then Aliquam minima occaecati ipsa"""
Ms Bethany Lawson	ms_lawson_5560	41.0	"""Note: Eaque debitis	 then Error quisquam quisquam"""
Michael Dixon-Parry	michael_parry_1503	67.0	"""Cupiditate sint veritatis fuga repudiandae; Quos unde ullam eligendi suscipit 	 Architecto explicabo adipisci natus corporis"""
Dr Alison Lowe	dr_lowe_5048	24.0	"""Aspernatur itaque molestiae; Temporibus sequi velit dignissimos repellendus iure 	 Natus aut temporibus"""
Lewis Fleming	lewis_fleming_2242	70.0	"""Explicabo porro sint: Perspiciatis laboriosam possimus rem fuga magni	 Quidem officia"""
Trevor Brown	trevor_brown_2765	93.0	"""(Mollitia alias) 	 Quasi commodi and Sequi maxime aspernatur facere"""
Maria Thompson	maria_thompson_0251	7.0	"""Sed	 Corporis Quam delectus"""
Miss Sophie Dixon	miss_dixon_4187	72.0	"""Note: Sint	 then Odit soluta aut veniam laborum"""
Sally Archer	sally_archer_0879	39.0	"""Enim qui nemo; Repudiandae 	 Laudantium vero dolore"""
Marilyn Freeman-Goodwin	marilyn_goodwin_5278	50.0	"""Note: Amet earum	 then Voluptas dolorem doloribus laboriosam"""
Beth Taylor	beth_taylor_2311	47.0	"""Distinctio neque corporis; Sapiente a ex 	 Nam sunt"""
Julian Clark	julian_clark_4308	55.0	"""Note: Delectus molestias ex	 then Numquam soluta"""
Dr Samuel Cooper	dr_cooper_7134	72.0	"""Eaque accusantium quas; Minima non exercitationem quas ducimus sed 	 Perspiciatis saepe omnis"""
Sheila Forster	sheila_forster_6974	7.0	"""(Labore a) 	 A saepe sapiente and Asperiores laudantium"""
Jean Sharp	jean_sharp_2565	8.0	"""(Enim asperiores eaque magnam reiciendis officia) 	 Eveniet quod and Dolores"""
Eleanor Fisher-Lyons	eleanor_lyons_6237	62.0	"""Sapiente ex; Nobis possimus 	 Rem architecto repudiandae quae non"""
Sara Patel	sara_patel_0526	7.0	"""(Qui suscipit ipsam magni) 	 Qui esse aut and Ullam doloremque odio sed eius"""
Mr Adrian James	mr_james_3303	36.0	"""(Fugit eos) 	 Provident praesentium at error reiciendis laudantium and Recusandae fuga"""
Oliver Smith	oliver_smith_5479	33.0	"""(Consequatur esse voluptas) 	 Eligendi dignissimos amet tempora and Libero nam assumenda"""
Katherine Bibi	katherine_bibi_3946	42.0	"""Dolorem in odit dolores id placeat	 Alias ipsa deleniti autem Fugiat aut illum"""
Dr Ashleigh Roberts	dr_roberts_5143	100.0	"""Facilis; Animi commodi 	 Qui provident"""
Gregory Reynolds	gregory_reynolds_6863	59.0	"""Note: Aliquam rem neque dolorem illo	 then Odio"""
Margaret Noble	margaret_noble_2866	10.0	"""Note: Corrupti architecto cum dolore	 then Eius porro praesentium architecto"""
Marion Dale	marion_dale_4102	32.0	"""Neque ipsa	 Dolorum rem Incidunt commodi"""
Jeremy Green	jeremy_green_1299	31.0	"""Suscipit mollitia: Beatae soluta officiis	 Blanditiis saepe"""
Gillian Murphy	gillian_murphy_8750	86.0	"""Nostrum quaerat vitae: Laboriosam excepturi	 Facilis beatae"""
Jonathan Bird-Smith	jonathan_smith_4191	91.0	"""Expedita	 Architecto rerum Quae cupiditate doloribus"""
Damien Williams	damien_williams_6863	95.0	"""(Ipsa iste cumque dolorum quaerat architecto) 	 Aperiam amet and Deserunt molestias autem nesciunt omnis dolor"""
Mr Nigel Anderson	mr_anderson_0388	87.0	"""Voluptas	 Libero magni id Necessitatibus"""
Holly Fletcher	holly_fletcher_9310	3.0	"""Fuga	 Quod explicabo voluptates id praesentium Recusandae quod"""
Joseph Bennett	joseph_bennett_1213	39.0	"""Note: Dolor aperiam officiis	 then Distinctio cum quisquam"""
Ms Sandra Flynn	ms_flynn_0808	58.0	"""Eius tenetur; Ullam eligendi 	 Aliquam ad"""
Ellie Hughes	ellie_hughes_3748	34.0	"""Voluptatem cum: Assumenda	 Tempore dolorem"""
Carl Wilson	carl_wilson_9182	48.0	"""Note: Nam ratione	 then Laboriosam temporibus id molestiae"""
