# This is a comment line to skip
username;name;price;age;salary;review;note
joseph_hayden_3493;Joseph Hayden;60.0;65.1;7.2;"""On soldier sing stop art; Today left increase watch responsibility ; Moment summer art""";"""Kid: Upon mission cut power leg; Civil fish"""
martin_mcconnell_6337;Martin Mcconnell;93.0;32.1;37.2;"""Forget body; Wear almost base scientist visit ; Whole science book sell themselves success""";"""Drug; Than raise ago activity several Share ask wait others early"""
ashley_newman_4136;Ashley Newman;9.0;45.1;16.2;"""Many day more agency; Stuff remain type plant thousand us Area""";"""Everyone quickly day executive southern; Trial treat stay foot ; Cause person identify example"""
oscar_murillo_8706;Oscar Murillo;95.0;77.1;50.2;"""(Mind apply would whom program Republican degree) ; Type drive significant perhaps kitchen and Next""";"""Shake clearly wind decide; Front from ; Me opportunity"""
allison_todd_8469;Allison Todd;3.0;61.1;51.2;"""(Course officer work) ; Four participant book and Current hair most appear""";"""Note: Place language wait community; then Skin let movement their as"""
amanda_ryan_3750;Amanda Ryan;17.0;43.1;82.2;"""(Build produce budget during large) ; Trade them good and Until however kid project""";"""Skill; Different story along Center Mrs us film"""
kimberly_schultz_1241;Kimberly Schultz;12.0;87.1;7.2;"""(A new enter) ; Who and Series Mr or arrive compare""";"""Strong; Food main center Record sing few"""
steven_vazquez_4341;Steven Vazquez;8.0;12.1;52.2;"""Walk become; Face chance Just town listen item so""";"""May; Travel use ; Southern view magazine"""
jason_jones_1412;Jason Jones;30.0;86.1;;"""(Choose right want) ; Reduce until must perhaps staff determine and Husband two deal""";"""(Small his) ; Interesting herself and That challenge way result town reveal"""
samantha_paul_6667;Samantha Paul;58.0;31.1;59.2;"""Property floor tonight number success; Three relate Cultural""";"""Receive add spring; Agent bad point ; Onto above that experience"""
beth_ferguson_1550;Beth Ferguson;16.0;89.1;85.2;"""Subject entire; Let what argue song ; Knowledge government to""";"""(Become) ; Medical someone and Tax fast miss"""
alicia_mason_9735;Alicia Mason;92.0;71.1;87.2;"""(Arm term enough how save sure) ; Base deep and Attorney message movement""";"""(Establish minute material serious) ; Range when and Baby move another test own"""
alex_conley_4748;Alex Conley;64.0;98.1;28.2;"""(Left wear) ; Sound sea and Analysis involve""";"""Note: Current military chair; then Move suddenly"""
chris_cole_3107;Chris Cole;93.0;88.1;2.2;"""Benefit member: Garden often them society; Baby media our""";"""Note: Ground radio exist yard; then Necessary data"""
