name,price,rating,summary
Kirsty Lamb,28.0,86.1,'''Porro deserunt mollitia autem: Debitis nemo, Autem'''
Stephen Butler,25.0,97.1,'''Dolorem aspernatur expedita; In aliquid nisi alias , In accusamus'''
Ben Barton-Lawson,79.0,73.1,'''Aspernatur, Quod voluptate Odio rerum'''
Jonathan Bull,,69.1,'''Nesciunt ullam voluptatum iste, Cum Atque praesentium'''
Simon Taylor-Bartlett,5.0,36.1,'''Asperiores esse nemo; A ratione ad fugit , Enim ad'''
Emma Powell,90.0,80.1,'''Ducimus omnis similique aspernatur, Molestiae praesentium illum adipisci Odit accusamus nihil'''
Anne Holland-Begum,7.0,13.1,'''(Et itaque voluptate sint) , Fugit quaerat and Alias iusto maxime'''
Ms Josephine Adams,45.0,92.1,'''Consequuntur possimus, Placeat in Ab'''
Ms Nicola Hodgson,20.0,90.1,'''Cum sint veritatis eaque; Magni amet beatae tempora , Nesciunt quibusdam saepe'''
Mr Antony Matthews,1.0,27.1,'''Laudantium voluptatem; Quidem ut mollitia fuga perspiciatis , Eum commodi provident quibusdam'''
Irene Houghton-Barlow,28.0,76.1,'''Autem cum est; Mollitia id fugiat , Ad id aperiam'''
Dr Norman Elliott,21.0,31.1,'''Quisquam adipisci consectetur consectetur, Iure ab ut Quae sunt'''
Victor Read-Bennett,41.0,6.1,'''Minus possimus: Rerum debitis cum, Sint harum nisi impedit'''
e,71.0,31.1,'''(Accusantium laudantium) , Ratione sit and Repudiandae delectus ad quisquam'''
Dawn Edwards,15.0,69.1,'''Reprehenderit omnis, Cumque ipsa Dolor iusto nisi'''
Mark Watson-Pearson,81.0,67.1,'''Magnam ipsum; Nihil deserunt , Et repellat dolorem ab laboriosam est'''
Margaret Taylor,41.0,71.1,'''Nam dolorum, Dolorem aut in earum Assumenda voluptatem dolorum voluptatibus repellendus quidem'''
Callum Wilson,85.0,57.1,'''Note: Laboriosam, then Repudiandae'''
Dr Henry Cole,25.0,8.1,'''Note: Quidem ab provident incidunt ad, then Repellendus alias debitis'''
Marion Davies,6.0,8.1,'''Note: Natus quos, then Asperiores at'''
Damien Fuller,54.0,89.1,'''Ipsa error incidunt, Vitae ex doloribus ad Labore dolore corrupti'''
Beth Rowley-Nolan,68.0,,'''Commodi, Animi dolorum laborum eveniet illo Veniam sint ut'''
Lisa Williams,24.0,3.1,'''Ipsa placeat quisquam; Ab distinctio nihil , Culpa voluptatum'''
Alexander Walters,71.0,87.1,'''Note: Soluta recusandae voluptatum sequi vitae quam, then Reprehenderit magni non explicabo'''
Craig Booth,75.0,15.1,'''Nostrum ut; Nesciunt enim fugiat , Deleniti'''
Hazel Johnson,84.0,85.1,'''(Possimus asperiores) , Nisi repudiandae and Quod enim'''
Kimberley Mann,26.0,94.1,'''Note: Recusandae nihil veniam earum nesciunt minus, then Officia molestias quibusdam at'''
Mr Liam Vaughan,94.0,78.1,'''(Architecto dolores reiciendis) , Laboriosam quasi aperiam and Non distinctio veritatis'''
Diana Ferguson-Arnold,30.0,7.1,'''Note: Laboriosam iure odio odio, then Similique dolor'''
Kenneth Phillips,81.0,13.1,'''Omnis maxime: Totam cum, A reiciendis odio'''
Allan Wilkinson,1.0,97.1,'''Est; Voluptatibus consequatur nisi unde deleniti corrupti , Amet sint impedit'''
Mr Geoffrey Elliott,77.0,29.1,'''(Esse porro perferendis aut assumenda cupiditate) , Reprehenderit maxime and Quae'''
Victoria Sullivan-Robinson,37.0,80.1,'''Quaerat ab, Incidunt officiis eos Delectus deleniti'''
Miss Gail Townsend,70.0,18.1,'''Amet facere; Minus dignissimos , Debitis rerum id'''
Dr Toby Jarvis,18.0,8.1,'''(Ab magni tempore nihil) , Consequuntur blanditiis deserunt officia and Recusandae sit'''
Jessica Brown-Green,46.0,63.1,'''(Et) , Ab dicta and Molestiae incidunt'''
Mr Damian Long,62.0,54.1,'''(A perspiciatis sequi tenetur) , Facere laudantium delectus ex animi odio and Minus odit'''
Marilyn Bennett-Fleming,67.0,99.1,'''(Reiciendis mollitia aliquam consectetur) , Modi and Accusantium laboriosam minima'''
