name,username,salary,total_count,note,description
Leon Bruce,leon_bruce_7105,35.0,27.1,'''Tempora: Maxime suscipit, Ducimus tempora voluptate optio corrupti aliquam''','''Distinctio sit, Excepturi quis reprehenderit Quasi'''
'Sian O''Brien',sian_brien_5000,87.0,7.1,'''Note: Consequuntur delectus perferendis quam iste, then Animi''','''In; Officiis rem ad nostrum necessitatibus , Possimus'''
Jay Wood,jay_wood_6041,67.0,14.1,'''Eligendi assumenda consequatur ipsum: Sit consequuntur sapiente reprehenderit dicta quo, Accusantium ab pariatur''','''In ad placeat nam; Sequi , Deserunt perferendis'''
Irene Green,irene_green_0255,44.0,62.1,'''Qui consequuntur eius accusamus ullam, Tempora tenetur voluptatem quod odio Dolorum odit''','''(Ex quibusdam) , Voluptates sit aspernatur and Aliquid tempora dignissimos optio quidem'''
Ms Brenda Bell,ms_bell_0372,71.0,1.1,'''(Nihil quae praesentium) , Esse amet ducimus non aliquam quos and Eius molestiae dolorem''','''(Quibusdam) , Occaecati and Magnam explicabo est'''
Ronald Miles,ronald_miles_2251,76.0,8.1,'''Deserunt ratione quos, Temporibus natus rem aut Cumque nulla minima dolorem at minus''','''Quo natus excepturi; Occaecati magnam , Aliquam odio'''
Geoffrey Jones,geoffrey_jones_8806,73.0,82.1,'''Est expedita; Explicabo voluptate , Numquam aut labore vel''','''Earum fugiat: Dolorum doloremque harum, Neque dolorum vero molestiae voluptas totam'''
Claire Faulkner,claire_faulkner_7047,75.0,65.1,'''Dolore itaque, Ullam autem facere tempore corporis Natus impedit tempora laborum''','''Note: Voluptate blanditiis accusantium, then Ipsam enim repellendus'''
Ms Alexandra Webb,ms_webb_7239,91.0,9.1,'''Note: Aperiam maiores ipsum, then Ducimus voluptatem quisquam''','''Note: Aut possimus, then Aliquid cupiditate id quaerat'''
Mr Clive Patel,mr_patel_5009,93.0,12.1,'''Note: Voluptas, then Adipisci dolor eligendi quisquam ullam repellat''','''Occaecati accusamus explicabo: Deserunt maiores, Itaque'''
Susan Smith,susan_smith_4049,78.0,66.1,'''Officiis atque accusantium reprehenderit, Recusandae excepturi nisi Repellendus vitae ratione exercitationem''','''Note: Culpa maiores, then Quia'''
Miss Vanessa Robinson,miss_robinson_8761,96.0,64.1,'''Atque incidunt ut earum quia; Occaecati eum quas , Nobis''','''Aliquam magni sapiente, Dolorem laborum illum placeat ratione Eveniet et'''
Abdul Green,abdul_green_1802,90.0,11.1,'''(Accusamus omnis) , Consequatur totam provident and Sunt accusantium quisquam est facilis''','''Note: Fugiat nam, then Quas et eveniet'''
Martin Parkin,martin_parkin_6898,89.0,7.1,'''Vitae suscipit repudiandae: Sint ratione earum, Similique ratione''','''Quo maxime provident reprehenderit saepe earum: Dicta eligendi recusandae deleniti expedita veritatis, Maiores optio explicabo nesciunt'''
Dr Jeffrey Howell,dr_howell_8043,9.0,1.1,'''Harum reiciendis a, Ut ex Cumque laborum''','''Ipsam adipisci fugiat voluptatibus culpa: Unde cum atque, Aliquid voluptate'''
Karen Willis,karen_willis_1093,46.0,66.1,'''Aspernatur excepturi quidem molestiae, Est ipsa dolores veritatis Eius placeat ab dicta''','''Sequi quas repudiandae cupiditate pariatur, Reiciendis ducimus Soluta rem porro minus sequi'''
Aaron Hall-Khan,aaron_khan_2691,7.0,78.1,'''(Asperiores quaerat animi porro) , Veniam facilis and Ducimus saepe soluta accusamus''','''Note: Ex vitae, then Occaecati quo'''
Cheryl Thomas,cheryl_thomas_6797,90.0,69.1,'''Corporis officia, Dolores similique Officia labore explicabo''','''Adipisci, Asperiores deserunt Cupiditate'''
Oliver Parker-Kennedy,oliver_kennedy_4545,51.0,89.1,'''Dolorem ad dignissimos, Doloremque Rerum''','''(Quidem nihil) , Eaque accusantium and Ad dolor ut nulla'''
Harriet Kaur-Holloway,harriet_holloway_5056,64.0,28.1,'''Architecto reiciendis; Labore animi , Minus ratione laudantium necessitatibus''','''Quia; Reprehenderit dolore consequatur officia , Modi expedita ipsam'''
Helen Bibi-Collins,helen_collins_5237,83.0,13.1,'''Saepe quia voluptate voluptas, Occaecati officiis nisi quos possimus Possimus ullam''','''Quam animi, Voluptatum delectus Quasi fuga neque'''
Lynda Bennett-Harris,lynda_harris_5132,1.0,74.1,'''Aperiam totam quae cupiditate: Iste, Repellat inventore''','''Id recusandae: Quas repudiandae, Modi quis maiores'''
Dr Robert Davies,dr_davies_2860,91.0,91.1,'''Officiis reiciendis fuga, Possimus nulla Explicabo voluptatem ratione voluptatum''','''(Reiciendis culpa quasi quidem nemo) , Fuga corrupti dignissimos ipsa reprehenderit fugit and Autem sunt animi recusandae itaque et'''
Russell Williams,russell_williams_0963,53.0,15.1,'''Occaecati rem autem mollitia; Esse sed accusantium , Doloribus provident''','''Laudantium fugit perferendis, Cumque veritatis sunt Sed totam non vero'''
Kim Marshall-Brooks,kim_brooks_6406,6.0,28.1,'''Hic possimus, Amet ducimus recusandae praesentium Eligendi neque''','''Adipisci aperiam laborum tempore: Commodi nam autem at soluta, Quidem'''
Mr Lee Slater,mr_slater_8163,86.0,23.1,'''Note: Sequi praesentium tempore, then Debitis dolore''','''Eos ipsam tempora: Sit mollitia, Culpa ut'''
Barbara Wood,barbara_wood_0794,87.0,15.1,'''Praesentium modi accusantium molestiae, Excepturi dolore quisquam Fugiat''','''Qui suscipit minima: Impedit beatae ut id, Repellat laborum'''
Judith Campbell,judith_campbell_5129,77.0,59.1,'''Beatae cupiditate non debitis; Odio eaque nemo , Dolore consequatur''','''(Quam similique) , Tempora natus cumque and Tenetur'''
David Pearson,david_pearson_5965,91.0,21.1,'''Alias; Repellendus a , Cum neque vero est consectetur''','''(Ea laudantium) , Sint and Repudiandae odio perferendis'''
Ms Jemma Shaw,ms_shaw_4494,,59.1,'''(Eos facilis molestiae) , Minus est perferendis vero and Sit omnis laudantium aliquam architecto fugiat''','''Ex fugiat; Dolorem cupiditate , Corporis'''
Mr Gareth Nash,mr_nash_1885,30.0,26.1,'''Sequi; Eaque debitis , Dicta sunt neque praesentium sapiente''','''Iste aspernatur dolor nam: Sit fuga autem itaque nobis laborum, Quam dignissimos eius'''
Debra Cole,debra_cole_7460,98.0,55.1,'''Ratione ea repellat: Accusantium facilis ratione totam, Adipisci necessitatibus ut cumque''','''Deserunt eum numquam: Inventore quisquam, Magnam tempora reprehenderit rem'''
Allan Kennedy,allan_kennedy_0799,76.0,15.1,'''Sit est; Libero consequatur , Necessitatibus''','''Quod facere amet; Voluptatem alias fugit neque , Quia nesciunt possimus'''
Geoffrey Ahmed,geoffrey_ahmed_3882,94.0,54.1,'''Voluptates eligendi, Debitis molestiae suscipit Nihil ullam''','''Accusamus minus illum consequuntur est: Optio, Accusamus esse hic'''
Sarah Gibson-Todd,sarah_todd_8202,36.0,56.1,'''Optio aspernatur; Ab aut , At consectetur repellat laboriosam mollitia expedita''','''(Exercitationem ex molestiae) , Id maiores iste vel and Velit'''
Roger Patel,roger_patel_2867,13.0,60.1,'''Ut porro: Laudantium quaerat dignissimos, Commodi perspiciatis assumenda earum iste ullam''','''Note: Aliquam dicta, then Provident ipsam'''
Samantha Evans,samantha_evans_8549,2.0,52.1,'''Ab in: Occaecati consectetur, Recusandae quos fugiat''','''In sint dolores: Labore, Sunt perspiciatis'''
Dr Geoffrey Smith,dr_smith_0725,89.0,38.1,'''Note: Delectus, then Soluta soluta iusto corrupti libero magni''','''(Explicabo in) , Delectus deleniti and Facilis facere est eveniet'''
Sharon Scott,sharon_scott_2906,64.0,62.1,'''Minus facilis natus, Quisquam accusamus praesentium cum eaque laborum Pariatur illo''','''Ipsa perspiciatis perferendis dignissimos iusto: Placeat cum, Eius vel'''
Kerry King,kerry_king_9872,22.0,93.1,'''Laborum enim, Esse similique Maiores autem sit laudantium sit nulla''','''Quae a sapiente optio at, Consequuntur nisi minus occaecati excepturi Asperiores facere quod recusandae'''
Dr Albert Wood,dr_wood_3984,83.0,73.1,'''Animi repellat nesciunt, Officia possimus placeat rem iste recusandae Sit iure eligendi iure''','''(Possimus voluptatum) , Voluptas dolores eius and Voluptas odio accusantium sed'''
Clifford Khan,clifford_khan_9879,20.0,50.1,'''Dolorum; Magnam totam , Quaerat modi''','''Sed earum, Repudiandae Quasi magnam ea'''
Andrea Hall,andrea_hall_1938,66.0,,'''Repudiandae odio mollitia minima laboriosam, Asperiores Voluptatibus aliquam''','''Dolorum repellat labore praesentium id eum: Reprehenderit commodi voluptatibus, Mollitia natus'''
Ms Sandra Curtis,ms_curtis_3383,49.0,81.1,'''(Quas sapiente consequuntur) , Aut rerum deleniti nesciunt and Placeat eos provident rem''','''Temporibus praesentium sit: Quis quaerat, Perspiciatis'''
A,charlotte_norton_4916,87.0,26.1,'''Neque consequatur, Odio quod iure Quia ex quos''','''Nesciunt, Esse perferendis ut sunt eaque Odit omnis'''
Eleanor Ryan,eleanor_ryan_2761,7.0,49.1,'''(Amet excepturi) , Non suscipit nostrum alias fugit and Nisi cum''','''Eaque soluta sequi sequi atque: Quaerat in, Nisi quae asperiores'''
Abbie Jones,abbie_jones_0512,20.0,26.1,'''Note: In commodi, then Possimus optio reiciendis''','''Voluptate; Nostrum adipisci beatae voluptatum , Repudiandae excepturi'''
Barry Moss,barry_moss_2263,58.0,11.1,'''Ipsa laborum necessitatibus: Exercitationem architecto, Quidem ipsam facere''','''Note: Adipisci qui, then Voluptatum nobis nemo'''
Mr Graham Rose,mr_rose_2044,8.0,38.1,'''(Omnis) , Recusandae ullam quidem saepe aliquid and Facere sapiente''','''Sed incidunt; Sequi nam pariatur maiores architecto , Quaerat'''
Dominic Simpson,dominic_simpson_4178,67.0,42.1,'''Vel eum illo autem voluptates labore: Temporibus hic error, Maiores aliquid''','''Nulla, Deleniti Eaque repellat voluptatum tempora sapiente'''
