name,age,score,review,remark
Mr Elliot Barlow,57.0,26.1,'''Itaque molestias, Corporis rem molestias beatae Accusamus laborum''','''Impedit id magni autem aut: Voluptatum, Aut incidunt'''
Dr Rachael Jenkins,29.0,98.1,'''Quis quas, Officiis blanditiis eos nobis Illo eos''','''(Dolores) , Corporis sunt tenetur doloremque and Similique molestias'''
Francis Price,13.0,15.1,'''Officiis consequatur; Consequatur similique similique , Perferendis non''','''Maxime cumque molestiae rerum libero minus, Nemo similique Voluptatum earum alias'''
Georgina Roberts-Johnson,36.0,2.1,'''Maiores numquam, Ratione Veniam''','''Eaque minima, Ut nemo Impedit'''
Dr Victor Tyler,63.0,48.1,'''Note: Molestias non maiores, then Accusamus tenetur nulla perferendis doloremque''','''Exercitationem ab cum, Eum est sequi Placeat quae vitae'''
Melanie Matthews,55.0,73.1,'''Enim earum possimus: Nam odio, Et deleniti''','''Note: Deleniti, then Minima dolores ab placeat'''
D,62.0,57.1,'''Vitae eaque: Eaque beatae consectetur modi, Temporibus''','''(At quasi unde iste laboriosam) , Accusantium vel alias and Ducimus voluptatum a facilis accusamus'''
Katie Perry,20.0,56.1,'''Note: Itaque est labore voluptates tenetur, then Magnam optio doloremque error iure''','''Aperiam impedit eveniet soluta debitis, Ipsam Saepe eaque optio corporis'''
Gillian Evans,,38.1,'''Note: Sequi repellat, then Tempore veritatis''','''Possimus itaque laborum quisquam ullam: Ut deleniti, Commodi possimus'''
Ms Jacqueline Parker,18.0,97.1,'''(Consectetur quod consequatur) , Beatae adipisci tenetur and Consequuntur ducimus veritatis distinctio molestiae''','''(Veritatis veniam velit) , Fugiat dolore repudiandae dolorem iure and Vel vero debitis autem cum'''
Maurice Porter,59.0,10.1,'''In nemo, Molestiae Ratione quis temporibus dolor''','''Note: Dignissimos magni, then Harum consequatur accusamus'''
Louis Morgan-Evans,63.0,90.1,'''(Doloribus eligendi in consequatur inventore occaecati) , Vero dolore and Dolorum aspernatur possimus''','''(Natus placeat) , In repellendus tempora reiciendis cumque and Minima aliquam'''
Dominic Roberts,19.0,61.1,'''Necessitatibus perferendis, Voluptatibus rerum Architecto sint vel''','''Autem eius eaque praesentium; Corporis ratione , Provident laboriosam accusantium'''
Kimberley Ryan,89.0,11.1,'''Totam voluptates iusto tenetur, Commodi nesciunt nihil Molestiae eius labore''','''Dolorum magnam quas; Iusto quo esse placeat sunt , Earum officia'''
Sean Davies-Patel,54.0,91.1,'''Provident architecto, Cupiditate rerum doloremque Ipsam officiis officia eum deleniti et''','''(Distinctio laborum assumenda) , Ea and Exercitationem'''
Olivia Cooper-Clarke,84.0,78.1,'''Note: Fuga quas, then Animi exercitationem voluptatibus incidunt nihil cum''','''Dignissimos magnam: Reprehenderit officia fugit, Accusamus voluptate delectus'''
Jane Nolan-Bailey,84.0,58.1,'''Impedit ullam; Aliquam occaecati impedit eos , Blanditiis facere''','''Numquam voluptatibus esse iste: Praesentium quidem delectus quidem, Nulla ab beatae inventore'''
Lindsey Baker,60.0,16.1,'''Hic natus numquam; Animi harum eligendi , Necessitatibus repellendus occaecati''','''Cum dicta possimus: Labore vitae adipisci, Eveniet porro tempora'''
Philip Hopkins,99.0,91.1,'''Note: Quas corporis, then Minus ullam accusantium nulla non''','''Note: Vel earum debitis, then Ipsam'''
Mrs Beth Hutchinson,3.0,45.1,'''Dignissimos dolore saepe similique iste dignissimos; Sed aperiam quas corrupti , Cumque dicta id''','''Iure velit: Distinctio est nisi, Temporibus enim tempore'''
Mr Dylan Cross,90.0,57.1,'''(Laboriosam) , Omnis adipisci consectetur tenetur repudiandae and Magni''','''Illo dolore tenetur quaerat iure: Culpa repudiandae, Iusto voluptas perspiciatis cupiditate corporis'''
Mrs Jacqueline Phillips,13.0,21.1,'''Dolores; Occaecati deleniti , Quae delectus ea''','''Alias, Nesciunt illum Corporis reprehenderit recusandae'''
Stephanie Jenkins,5.0,16.1,'''Note: Magni accusantium soluta, then Dolore voluptatum nobis perspiciatis ad''','''Sed, Beatae culpa aliquid Odio nisi'''
Lindsey Bradshaw,8.0,82.1,'''Natus blanditiis, Dolore aliquam iusto Fuga alias''','''(Consequatur dolorum perspiciatis) , At and Repellat suscipit'''
Terry Wright-Morgan,92.0,,'''Note: Est eum veniam alias recusandae, then Maiores omnis''','''Nobis: In asperiores exercitationem harum, Laboriosam'''
