name	salary	age	comment	remark
Ashley Russell	21.0	3.1	'''Note: Smile provide	 then Machine agent mouth'''	'''Story evening: Require tough support	 Officer build agreement energy'''
Stephen Reyes	28.0	68.1	'''Campaign perform safe relate; Painting wrong expert college line 	 Scientist'''	'''Indicate serve knowledge social	 Fine across these among Figure loss'''
Alison Davis	98.0	42.1	'''(Project much catch) 	 Save situation interview admit amount series and Garden official effect'''	'''Get him remember all policy; Attack 	 Ago reach everything'''
Jessica Bell	2.0	20.1	'''Major analysis practice; Better loss 	 Health modern'''	'''Generation opportunity hour: Human pattern star	 Executive kid her west'''
Marcus Williams	65.0	19.1	'''Tv; Color fact 	 Cause market'''	'''Positive school: If no mission	 Air thing movie see'''
Nathan Hart	82.0	52.1	'''Sport family husband small thought dinner	 Very pressure First still available course'''	'''(Per prepare product travel) 	 Four program activity and Clear water'''
Elizabeth Oconnell	29.0	67.1	'''Save partner executive: Smile	 Here production'''	'''(Theory agency reveal) 	 Measure and Institution machine'''
Christopher Pham	38.0	68.1	'''Friend window; Question bag traditional build entire owner 	 Story response live something reveal'''	'''Box; Decision 	 Daughter finish control'''
Joshua Mitchell	5.0	30.1	'''Film: Feel off	 Community idea push my half'''	'''Occur probably grow; Adult month 	 Story'''
Michael Bowers	59.0	55.1	'''Note: Build parent fear world production	 then Not blood'''	'''(Series including person young pass) 	 Key surface best treat and Ask network special television'''
Rebecca Cross	86.0	4.1	'''Note: Deal	 then Week organization'''	'''Husband court: Mouth within term class determine	 Increase almost building full'''
Jacob Walters	15.0	22.1	'''Shoulder: Fast foot dark	 List realize stock at begin'''	'''Artist compare model	 Nice local job through quality Bar fast condition bring'''
James Wilson	20.0	11.1	'''Note: Himself majority theory	 then See require'''	'''Generation road; Consumer energy before wide assume nice 	 Skin media'''
Lori Castillo		37.1	'''(Level voice know) 	 Get over skin major language lot and Weight task entire'''	'''Worry impact present; Type end song 	 Magazine particular summer'''
Priscilla Williams	55.0	69.1	'''(Performance drive) 	 Strategy stuff and Join above six'''	'''Plan kitchen what sense	 Career type reality place half Let'''
Nicole Fuller	87.0	49.1	'''(Person trouble our) 	 Interest only and Dream about week'''	'''Note: Meeting themselves do use evidence	 then Look environment Mr alone wonder two from'''
Robert Levine	55.0	77.1	'''Laugh prove	 Area manage summer moment pay Law admit her similar seven'''	'''Note: True old	 then Significant in'''
Sheila Powell	37.0	77.1	'''(Crime grow) 	 Well pick ask relationship word and Toward memory development amount base'''	'''(Board) 	 Large work force and Dream focus opportunity mouth understand wait'''
Terry Hess	32.0	49.1	'''(Beat region) 	 Nearly later hold and Name management'''	'''Note: Character relationship red	 then Economy then wish'''
e	14.0	2.1	'''Authority cause account medical item question	 Consider Art base performance seat'''	'''Thousand small evidence deep; Never 	 Home surface'''
Tom Molina	49.0	50.1	'''(Western) 	 Someone contain age color budget television and Box message top side score'''	'''Note: Box music	 then Your'''
Robert Carter	100.0	87.1	'''Allow business	 Spend Suffer indicate'''	'''Thousand risk nation: Energy option	 Paper source'''
Christine Collins	46.0		'''Note: True fine	 then Lead painting'''	'''(Politics lose general) 	 Election suffer true carry defense and Human responsibility'''
Sarah Allen	58.0	92.1	'''Give may; Improve 	 Six recently'''	'''Stage claim night; Official too eight only agent 	 Do product join'''
Andrew Grant	42.0	97.1	'''Candidate enjoy story exist	 International environmental close ago Each hair each'''	'''Eight	 Approach Development'''
Dominique Robinson	80.0	97.1	'''Note: Late and	 then Group special bring'''	'''Keep discover woman	 Those business relationship among expert sit Southern compare thank'''
Sarah Ferguson	84.0	91.1	'''Range improve	 Tell during easy Page'''	'''Ball peace be bank east offer	 Remain front Different mean decision sell write could'''
Shane Wolfe	31.0	48.1	'''Also dream conference Congress: Practice position eat	 Event table full'''	'''(According amount) 	 Certain and About watch'''
Amanda Spencer	81.0	99.1	'''Performance Mr loss person; But thing morning we 	 Audience'''	'''(Structure art yourself up we) 	 Describe model and Have effort data cultural camera same'''
