username;name;total_count;rating;review;note
tina_hall_2408;Tina Hall;99.0;32.1;"""Quam doloremque qui possimus; Quibusdam eaque ; Cupiditate iure occaecati""";"""Note: Voluptas nulla vitae; then Officiis aspernatur"""
jordan_howells_5715;Jordan Howells;68.0;;"""Dignissimos iusto; Inventore provident ; Voluptatem iste""";"""Note: Eaque tempora cupiditate; then Nihil esse quas culpa ratione"""
albert_harris_1517;Albert Harris;8.0;62.1;"""(Libero corporis laborum corrupti) ; Fugit neque and Quibusdam""";"""(Odio sunt) ; Sequi a quis eius and Dolorum rem"""
mrs_thompson_3211;Mrs Lindsey Thompson;7.0;81.1;"""(Magnam odit assumenda delectus quasi) ; Natus hic and Est""";"""(Neque sit) ; Magni eveniet and Eos vero"""
dr_peters_5827;Dr Bethany Peters;37.0;56.1;"""Unde facere maiores: Quaerat; Omnis""";"""Quod soluta qui; Nemo natus similique quibusdam Ipsum"""
dr_cole_8258;Dr Christine Cole;34.0;3.1;"""(Repellat pariatur minima nobis) ; Ipsam and Odio id a""";"""Perferendis; Et itaque Nulla ea esse"""
louis_hall_4800;Louis Hall;66.0;93.1;"""(Ratione quo doloremque) ; Ipsam nostrum ex id and Beatae""";"""Note: Veritatis delectus; then Exercitationem dolore"""
denise_patel_2084;Denise Patel;7.0;4.1;"""Note: Error nostrum ipsam; then Consequuntur minima libero ea exercitationem""";"""Note: Beatae; then Excepturi nulla"""
mr_harris_7955;Mr Jeffrey Harris;62.0;59.1;"""Commodi; Nam Fugiat vitae totam""";"""Labore quae; Praesentium dolor necessitatibus dolorem Soluta enim"""
ms_potts_0472;Ms Danielle Potts;61.0;78.1;"""Totam nesciunt: Soluta voluptate veritatis; Ducimus vero""";"""Ut; Tempore Iure asperiores ea quae"""
keith_bibi_3398;Keith Bibi;57.0;25.1;"""(Aliquid consequatur pariatur consequatur dolores quas) ; Ea aliquid nesciunt labore aliquid and Necessitatibus""";"""Note: Minus; then Labore ab mollitia eveniet"""
lauren_carter_8227;Lauren Carter;1.0;17.1;"""Ad illo; Dolorum aut ; Eum explicabo in odit""";"""Magni molestias iste; Optio Minima dignissimos"""
dr_clayton_8349;Dr Denis Clayton;44.0;27.1;"""Atque a: Iure non libero vitae; Ex natus rerum cum""";"""Impedit incidunt omnis et eos; Magnam quas suscipit eligendi ; Enim voluptatem beatae ratione"""
reece_clements_4840;Reece Clements;3.0;8.1;"""(Accusantium sequi mollitia adipisci eius odit) ; Magni laborum temporibus sed and Eligendi""";"""Sint distinctio; Repellendus deserunt quis dolorem dignissimos facere In"""
joanna_vincent_3503;Joanna Vincent;26.0;36.1;"""Optio ipsum magnam iste sunt voluptas; Beatae voluptatem natus ; Assumenda distinctio voluptatum""";"""Illum officia: Provident magni consectetur doloribus sed ducimus; Architecto repellat labore dolores"""
miss_leach_5116;Miss Marilyn Leach;97.0;94.1;"""Note: Minima accusantium deleniti; then Dicta magni magni""";"""Enim; Dolor eligendi ; Maxime eum voluptatem"""
paula_stewart_3041;Paula Stewart;59.0;95.1;"""(Consequatur hic) ; Necessitatibus debitis quo perferendis and Natus aperiam""";"""Note: Omnis nihil facilis; then Asperiores tempore ut cum"""
craig_robinson_3420;Craig Robinson;3.0;67.1;"""Ipsum facere: Voluptas impedit; Qui sequi""";"""Note: Ducimus quam animi laboriosam voluptatem; then Quia adipisci cumque repellat"""
mr_davies_7686;Mr Paul Davies;43.0;27.1;"""Note: Quidem expedita quia; then Repudiandae architecto corporis""";"""Accusantium; Hic facilis occaecati ; Saepe veniam tempora"""
george_wong_6657;George Wong;100.0;30.1;"""(Officia necessitatibus omnis in) ; In consequatur dolor and Sapiente soluta""";"""Quibusdam odit sunt harum: Impedit doloribus libero; Magnam"""
bernard_khan_8105;Bernard Khan;1.0;23.1;"""Earum labore alias hic; Laudantium laudantium vel quod ; Eius eaque architecto libero quis mollitia""";"""(In ab quo) ; Pariatur facere and Praesentium"""
diane_cooper_0876;o;47.0;35.1;"""Mollitia sunt vitae; Soluta laudantium iste accusamus Repudiandae""";"""Note: Cupiditate quibusdam nihil; then Ratione"""
nicola_jones_4646;Nicola Patel-Jones;68.0;57.1;"""(Aperiam voluptatem dicta) ; Expedita earum soluta maxime aliquam and Harum repellendus perspiciatis""";"""(Distinctio itaque) ; Recusandae quibusdam and Fugit veniam"""
norman_bell_7096;Norman Bell;9.0;16.1;"""(Iusto) ; Dolorum sint and Maiores quod corporis""";"""(Officiis ea delectus) ; Officiis libero omnis and Repudiandae vel modi similique cumque"""
dr_williams_8979;Dr Mark Williams;;70.1;"""Deleniti enim; Voluptate ; Amet at recusandae autem""";"""Quaerat consequuntur veritatis; Ex dignissimos vero ; Iure"""
jill_marshall_8348;Jill Marshall;31.0;100.1;"""Magnam reprehenderit tempora; Consequatur ratione minus tenetur qui ; Deserunt eveniet aliquid""";"""Inventore; Voluptas dignissimos Deleniti officia"""
mr_bradley_8120;Mr Frank Bradley;13.0;5.1;"""Culpa aspernatur: Perferendis commodi modi excepturi; Minima""";"""Ullam suscipit tempora molestiae commodi; In ; Ullam similique ab"""
miss_baker_6423;Miss Susan Baker;69.0;9.1;"""(Voluptatem sed) ; Totam eaque and Ea fuga""";"""Note: Voluptatibus exercitationem; then Illo maxime sapiente deleniti"""
ms_vaughan_1264;Ms Samantha Vaughan;58.0;18.1;"""Alias nostrum dolorum; Modi fugiat Molestiae facilis minus voluptatem debitis""";"""(Pariatur molestias sunt) ; Voluptates quaerat minima and Quod veritatis labore voluptatum"""
dr_johnston_7546;Dr Hugh Johnston;62.0;28.1;"""Fugiat quod corrupti laborum: Consequuntur quas dolores nemo fuga; Facilis rerum soluta debitis""";"""Excepturi voluptates: Ipsa tempore inventore at recusandae; Earum possimus nulla temporibus"""
beth_willis_0461;Beth Willis;100.0;43.1;"""(Laboriosam adipisci impedit voluptatum repellendus asperiores) ; Numquam ullam and Vel""";"""(Voluptates aliquid sapiente) ; Voluptas porro nostrum sunt beatae and Ratione corporis eos nulla"""
miss_hamilton_4924;Miss Lorraine Hamilton;42.0;30.1;"""Atque architecto; Quas dolore id ; Natus excepturi incidunt""";"""Saepe accusantium nobis rem sed; Veniam inventore magnam voluptate nemo adipisci Molestias hic vitae"""
beth_hunter_9163;Beth Gibbs-Hunter;52.0;48.1;"""(Aspernatur commodi) ; At voluptatum officiis and Quidem nihil natus dolor aperiam""";"""Minima minus quisquam: Ut; Odio"""
jacqueline_storey_6781;Jacqueline Storey;37.0;62.1;"""Unde pariatur porro; Laborum Fuga numquam officiis""";"""Tenetur; Excepturi amet explicabo ; Sunt dolorem incidunt"""
julia_cole_6004;Julia Cole;75.0;93.1;"""(A modi velit) ; Accusamus magnam and Neque provident ipsum""";"""Note: Labore iure ex excepturi corrupti; then Nesciunt sint"""
ronald_jones_3766;Ronald Jones;98.0;1.1;"""Maxime maiores: Nesciunt autem ipsum hic; Quaerat fugiat minima necessitatibus""";"""Unde eum laudantium ea voluptatem; Molestias Velit laborum"""
vincent_whitehead_1093;Vincent Whitehead;62.0;90.1;"""(Maiores) ; Optio expedita molestiae quos and At impedit""";"""(Nihil repudiandae itaque vel pariatur) ; Atque sequi mollitia impedit and Error molestias"""
lucy_parker_6032;Lucy Fisher-Parker;97.0;72.1;"""Nisi omnis molestiae; Mollitia molestiae ; Quasi impedit""";"""Note: Neque similique at distinctio voluptates; then Dolores ipsa officia eum"""
gillian_walker_4041;Gillian Walker;41.0;3.1;"""Iure; Ut earum voluptate ullam saepe fugit ; Iste cum aut temporibus quas consequatur""";"""Rerum assumenda necessitatibus id; Nobis possimus amet fugiat ; Eaque eaque"""
lynda_kay_9602;Lynda Kay;65.0;33.1;"""(Vel quis reiciendis dolor hic) ; Suscipit nesciunt and Est dignissimos neque""";"""Quod assumenda quis laudantium; Magnam asperiores totam adipisci incidunt Eos doloribus"""
sian_bishop_1566;Sian Ward-Bishop;14.0;19.1;"""Nobis blanditiis totam; Nam ; Voluptate magni atque""";"""Cumque eligendi facere quo est; Est error ; Eligendi ea tenetur id"""
sam_davies_8155;Sam Davies;65.0;44.1;"""Tempore illo; Fuga accusamus natus ; Sint nobis provident""";"""Itaque numquam; Asperiores Modi expedita"""
louis_khan_3485;Louis Khan;65.0;78.1;"""Placeat perferendis illum accusamus earum; Sit veniam Quibusdam fugiat""";"""Note: Culpa; then Reiciendis"""
mr_davies_3546;Mr Roy Davies;73.0;84.1;"""Maiores repellat omnis iusto: Nam consequatur ipsam; Tempore""";"""Note: Accusantium; then Perspiciatis sequi inventore"""
dr_scott_0135;Dr Janice Scott;56.0;96.1;"""(Nesciunt quo nobis) ; Non accusantium and Maxime modi minus""";"""Omnis ipsam deleniti omnis aut: Quos quasi laborum labore; Laudantium earum nisi"""
stuart_humphreys_0269;Stuart Humphreys;90.0;80.1;"""Facere; Animi blanditiis rem est Necessitatibus tenetur""";"""Note: Dignissimos provident excepturi; then Libero doloribus labore"""
allan_marsh_2329;Allan Marsh;8.0;26.1;"""Corporis distinctio eveniet; Qui nisi Accusamus""";"""(Similique quo ab) ; Earum dignissimos beatae and Accusamus deleniti ut"""
