name,username,total_count,score,salary,comment,review
James Coleman,james_coleman_5639,46.0,48.1,25.2,'''(Can sit Democrat ready) , Sing two executive worry information from and After''','''Heart suddenly employee front; Attorney threat what since contain back , His its community particularly'''
Amanda Boyle MD,amanda_md_0412,89.0,49.1,89.2,'''Recent similar; Local which , When four''','''Shake candidate military could safe dog; Water hit camera health , Us listen that certain'''
Susan Cannon,susan_cannon_4497,87.0,55.1,61.2,'''(Town far unit yet) , Degree marriage its those sometimes something and Minute practice industry''','''Condition key power; Building me authority , View consumer be begin her'''
Stacy Hubbard,stacy_hubbard_8799,98.0,99.1,27.2,'''General manage, Customer arrive You join real''','''Note: Idea eight help, then Image step'''
Bradley Day,bradley_day_8613,35.0,32.1,33.2,'''Garden impact care: West next, Voice throughout right''','''Note: Hand pull, then Interview company tree heavy'''
Sandra Washington,sandra_washington_3318,22.0,83.1,21.2,'''Contain: Next service, Life modern candidate''','''Quality quality wind must, Already seven thought Food between'''
Michael Peters,michael_peters_9793,65.0,79.1,43.2,'''Much idea boy: Ago society, Again describe think number type''','''(Certainly rather there dog very) , Teacher actually begin and Economy defense new'''
Shawn Villegas,shawn_villegas_7710,40.0,69.1,22.2,'''Of business: Position past, Surface''','''Day region person, Near bad Product'''
Jon Lee,jon_lee_4148,53.0,53.1,72.2,'''Executive task thing alone rather important, Buy wait Director day store dinner attention''','''Note: Better, then Which power'''
Karen Webster,karen_webster_1779,58.0,94.1,99.2,'''Price believe; Bit send answer more type , But establish finish''','''Note: Religious unit several he foreign, then Goal sit we'''
Shannon Rowe,shannon_rowe_1227,33.0,39.1,73.2,'''Visit pattern than: Pick identify, Performance thing''','''Field enough; Member can , Concern budget line despite buy fire'''
Mark Evans,mark_evans_3363,81.0,34.1,,'''(Security your) , Rock minute question sort democratic and Level without within''','''Under son interesting: Begin question once vote second top, Wonder skill above you'''
Keith Ellis,keith_ellis_0949,32.0,31.1,47.2,'''(Table) , Matter time behind often week and Really''','''Special fly challenge rise reflect effect, Able break as plan Score gas'''
Christopher Chase,christopher_chase_3340,81.0,18.1,3.2,'''Note: Collection leader poor system continue, then Hot character''','''Too, Late lose thing part election Over hold street blood'''
