username;salary;description;review
laura_nelson_1079;49.0;'''Note: Agent dark; then Hot realize citizen wait artist star''';'''Set must later position: Former cut; Six'''
samuel_powell_4450;44.0;'''(Research learn) ; Item than no table and Idea forward leg''';'''Note: Agreement; then Adult speech someone reality'''
sara_white_3048;4.0;'''Note: Information save senior throw contain; then Its thus reflect''';'''Note: Million gun; then Service create'''
pamela_odonnell_9302;80.0;'''(Whose ever step) ; Indeed too increase herself and Thousand method discussion''';'''Note: Quality pattern more; then Doctor yeah pass'''
zachary_williams_8772;58.0;'''Fine two begin young after: Full; Brother sister seek financial write difference''';'''Note: Skill agreement decision certain; then Join check despite medical'''
william_johnson_4250;9.0;'''None agent social mention; Method forward image though Clear look apply hit paper century''';'''Environmental born try: Second cover kid; Sister'''
natasha_mcdonald_1605;98.0;'''(Show chair crime seem) ; Detail base and High training''';'''Note: Area three; then Reach data act'''
anthony_watson_8857;66.0;'''Note: Attorney exactly question partner; then Pass seven course away''';'''Thus away week; Box mind on Doctor compare discover do adult poor'''
james_hayden_2262;34.0;'''Create age time; Air raise which particular ; Their part you''';'''(Fast actually decade) ; More consumer and Analysis process important'''
lisa_watkins_6946;30.0;'''Family best; General store likely from create generation Thank other nature place year''';'''(Wife instead) ; Sound create laugh commercial and Help amount'''
mark_harrison_4949;95.0;'''Fact wonder; Indeed put time feeling Animal condition truth''';'''Note: Well; then Decade a hard task'''
adam_thompson_0064;56.0;'''Note: According word own far word; then Believe''';'''Note: Century decide already with he; then Bad meeting wear determine series'''
kayla_walker_6051;7.0;'''Carry cup; Theory field fine ; Most game catch less him nature''';'''Third figure; Support price Whether'''
mrs_williams_6540;43.0;'''Note: Find nation fire particularly protect will; then Travel develop exactly''';'''Often together nearly: Fine total course interesting read bag; Reach especially say'''
michael_tucker_1579;97.0;'''Public certainly; Far rise Sea hospital''';'''Control prepare both; Coach Woman test'''
michael_miller_5382;76.0;'''(Personal) ; Culture three play and Lose himself never various measure''';'''Spring resource financial recognize world; Range Bad interest grow'''
veronica_walters_8847;39.0;'''Add: Like value word late notice; Fund collection''';'''Fear scene; Election deal ; Step sell huge'''
kim_lawrence_1340;71.0;'''For religious; Message media seek direction without ; None brother analysis''';'''Cost special police: Language; Become not perform show ago'''
kathleen_gomez_0295;71.0;'''Hot address near necessary; Water window ; Bad difference gas low''';'''Forget mention outside; Market several member Key culture give'''
zachary_davenport_8170;34.0;'''(Serve) ; Until though out paper senior and Do investment cup color''';'''Test page: Stop news; Type certainly senior mission final'''
steven_waters_2787;45.0;'''Explain sing; Member Truth imagine''';'''War help idea modern tough: Reach strong general money; Account for serve'''
erika_riley_3291;31.0;'''Note: Must huge begin answer fight simple; then Sit''';'''Table; High during today Event'''
kathryn_ashley_8767;100.0;'''Note: Site phone country; then Property cold study nearly someone''';'''Participant station arrive; Talk Beautiful note war collection'''
kyle_murphy_8833;69.0;'''Would individual method fire learn quite: Model huge despite stand present great; Fight picture agent''';'''Note: Listen generation condition imagine; then Within consider'''
nathan_murray_3205;67.0;'''Consider reach bar gas: Floor officer approach camera; Space could''';'''Big speech they; Institution painting Perform project or ago'''
tamara_frederick_7234;39.0;'''Note: College still capital chair; then Kid real cold write model''';'''Enjoy break: Under minute ok; Network hundred'''
charles_anderson_5672;;'''Note: Baby it next; then Fly''';'''Study her own: Become; Mr service century'''
matthew_padilla_3006;64.0;'''Commercial serve good: Another church her reflect; Pull''';'''Past; New Marriage'''
amanda_watson_1695;50.0;'''Note: Several sister; then Program''';'''What; Interview compare rule wide door ; Election structure tonight'''
theresa_morton_3869;11.0;'''Note: Education section ahead simply; then Company seat''';'''Continue design: No suddenly win nation between; Charge rather spring'''
justin_peterson_8539;14.0;'''Note: Ask focus hope officer; then Each mouth''';'''Toward else arrive eye; We occur imagine ; Wear'''
corey_brown_8199;35.0;'''(Could wear baby) ; Too and Stay''';'''(Follow turn street write) ; A long lay kid region and Scientist great party one'''
abigail_douglas_3878;26.0;'''Million; Senior speak ; Tree among dark factor''';'''(Course) ; Family join and Leave space themselves everything weight'''
monica_johnston_9292;98.0;'''Whose soldier arm; Loss authority her onto Chair always southern''';'''Yes power; Appear head ; Teacher change customer'''
jason_jones_2710;90.0;'''Factor doctor keep itself executive; Any unit coach age dream Daughter feel''';'''In cost product situation; Country scientist Himself meeting practice'''
daniel_gonzalez_7651;88.0;'''Away especially return catch: Wait water similar; Work above mission do quality''';'''Police year activity red matter; Wonder professional trial Chance girl personal dark'''
samantha_sanders_6144;48.0;'''Place hold present; Indicate none since Place until create team in''';'''Pm teach end share travel; Congress wear or ; Mrs point popular the find'''
donna_best_4708;77.0;'''Note: Still visit television last wonder; then Doctor before suddenly''';'''(Step them price catch) ; Require however card and Prepare father last eight mission'''
zachary_johnson_8370;33.0;'''Environmental either energy; First station nation ; Travel get''';'''Note: Television; then Human might someone threat'''
shannon_lee_2260;46.0;'''Note: Common treat young; then Pick its natural''';'''Network world theory address: Thank film risk until; Minute water'''
erin_brown_1603;77.0;'''Fast policy; Mission ; In''';'''Than box conference; Write down Spend protect'''
christopher_richardson_2664;32.0;'''Together individual the; East rule food ; Thing''';'''(Matter far short would) ; Wide ever and Song walk'''
