name	username	price	salary	total_count	review	comment
Erin Perez	erin_perez_5406	63.0	93.1	60.2	'''Note: Within	 then Student'''	'''West than; Blue gas low however 	 Strong debate behavior product than'''
Christopher Jimenez	christopher_jimenez_4753	55.0	70.1	67.2	'''Within everything year prepare: Affect	 Gas soon strategy responsibility'''	'''Single check; West five 	 Yeah at'''
Kyle Castillo	kyle_castillo_6537	89.0	84.1	72.2	'''Education shoulder coach teach	 Alone star later similar take financial List act him sign cup'''	'''Note: Think	 then Friend me protect'''
Henry Gill	henry_gill_9887	28.0	14.1	58.2	'''Note: Away rather	 then Attorney soldier'''	'''Whether everybody: Majority same around maybe	 Population'''
Michael Hutchinson	michael_hutchinson_5707	30.0	71.1	76.2	'''Note: Piece	 then Despite year court center'''	'''Plant large talk notice; Perform quickly force 	 Mrs allow'''
Richard Murray	richard_murray_7716	19.0		89.2	'''Various this cell animal tell: Level head	 Than lose treatment worry heavy'''	'''(Their fly bill read) 	 Different development teacher and Believe life natural'''
Jackson Rodriguez	jackson_rodriguez_4654	12.0	82.1	89.2	'''Note: Seat class	 then Force product own'''	'''(Civil wall) 	 Cost evening and Whether rock'''
Olivia Lutz	olivia_lutz_5468	87.0	50.1		'''(Range dinner) 	 Senior wind leg glass and Cover bit'''	'''Plan protect	 Cold ability if Idea country air'''
William Conner	william_conner_0435	24.0	9.1	31.2	'''Note: Concern team ok industry	 then Return where'''	'''Industry lawyer there continue once	 Development two Certainly major maybe church'''
Marc Burke	marc_burke_8122	45.0	6.1	31.2	'''Note: Foot power	 then Behavior issue respond'''	'''Note: Method standard	 then Lead itself'''
Sandra Lawson	sandra_lawson_2894	40.0	90.1	59.2	'''Change alone live; Nature 	 These knowledge Democrat energy continue'''	'''Store carry: Should sometimes	 Attack fly'''
Ashley Johnson	ashley_johnson_8816	69.0	61.1	36.2	'''Note: Pay	 then Somebody'''	'''Well	 Party offer Language situation'''
Melissa Ruiz	melissa_ruiz_2443	58.0	90.1	6.2	'''(Beyond scene almost) 	 Good so product design and Billion ten agency'''	'''Training now; Air money top 	 Pressure night score result'''
Shannon Moore	shannon_moore_0749	5.0	12.1	90.2	'''According expert a picture; Nature race here in 	 Make Mr'''	'''Marriage traditional hour husband occur morning; Lay father investment finish purpose necessary 	 Move small'''
Sharon Ward	sharon_ward_5122	62.0	52.1	47.2	'''Rate: Establish	 Trade professor involve send meet'''	'''Line none	 Staff prepare Method treatment sign'''
Kara Harrison	kara_harrison_6649	46.0	82.1	23.2	'''Weight difference: Walk down factor	 She character'''	'''Note: Production standard great both enjoy	 then Manage'''
Sarah Gilbert	sarah_gilbert_9856	26.0	42.1	88.2	'''Weight protect stock conference: Consider evidence wait drug	 This consumer avoid offer'''	'''Staff difficult: Speech all	 He growth'''
Jamie Howell	jamie_howell_0687	99.0	45.1	42.2	'''Cost language speak enjoy	 Official Plant product wrong'''	'''Note: Building best until memory take	 then Herself serve food government agreement'''
David Cooper	david_cooper_8284	74.0	3.1	20.2	'''(Republican fall western south whose main) 	 Your knowledge and Any ever machine material according'''	'''Himself enough allow accept: Who energy	 Turn eye'''
Karen Clark	karen_clark_8472	78.0	11.1	46.2	'''Likely; Establish fear matter 	 Social meeting'''	'''(Success arrive) 	 Reason such move everything and Manager scientist'''
Michael Harris	michael_harris_4574	56.0	11.1	78.2	'''Wall speech: Coach	 Rich machine mother occur leader idea'''	'''Note: Pressure red foreign	 then Box you true interview subject'''
Robert Scott	robert_scott_7514	76.0	50.1	72.2	'''Near	 Player something Every several cell summer black'''	'''Authority five; Attorney improve woman 	 Fact'''
Brandon Rivera	brandon_rivera_1758	35.0	62.1	67.2	'''Need time popular	 Always town Modern class region as which size'''	'''From run condition conference the something: Reduce subject indicate sound	 Store man'''
Bruce Floyd	bruce_floyd_1661	29.0	100.1	38.2	'''Involve measure force another final	 Too win Prove health'''	'''List relationship rise: Option simply pay	 Speak listen'''
Larry Taylor	larry_taylor_3373	18.0	87.1	57.2	'''(Special why question someone reality admit) 	 Big senior enter before and Certainly single'''	'''(Bit financial) 	 Key white smile and Chair camera'''
Mark Fleming	mark_fleming_8372	3.0	11.1	83.2	'''Happen strategy cause agreement office	 Pull camera create common Father modern appear record water whose'''	'''Month draw table; Explain great work my 	 Teach series'''
Carrie Garner	carrie_garner_9154	39.0	46.1	72.2	'''Note: Just stuff wrong	 then Activity'''	'''Base fall number military	 Performance season Yes court Mr purpose'''
Gabriel Santiago	gabriel_santiago_4862	95.0	51.1	47.2	'''Note: Writer step rest learn	 then Recent here rather'''	'''Admit up; Bill evidence sort 	 Foot else development'''
Thomas Long	thomas_long_1589		12.1	1.2	'''Once speech consumer involve popular; Process picture son away 	 Operation movie'''	'''Prevent toward; Story make decade responsibility 	 Chance yeah'''
Michelle Steele	michelle_steele_2322	22.0	56.1	66.2	'''Much: Source hour bring evidence behavior reach	 Agree camera fine environment industry all'''	'''Benefit evening strong discover; Next out somebody 	 Run more Mrs'''
Michelle Hardy	michelle_hardy_3082	65.0	69.1	58.2	'''(Follow box yeah state season) 	 Police executive because and Serve parent score property police'''	'''(Baby option) 	 Rather similar cup and Use budget'''
A	tyrone_ballard_2642	66.0	12.1	55.2	'''Goal decision: Shoulder	 Responsibility service'''	'''(Strong it course model) 	 Whether far and Final send image a senior'''
Jesse Smith	jesse_smith_6207	6.0	93.1	37.2	'''Know various father	 Within doctor bank want Republican score Suffer girl news'''	'''(Quite near future) 	 Stop hospital drop word first and Security employee trip'''
Lisa Hughes	lisa_hughes_5311	86.0	95.1	62.2	'''Boy huge blood; Society standard deep 	 Charge government but movement drug military'''	'''Ahead conference break: Stand response	 Nice'''
Sandra Cox MD	sandra_md_6079	30.0	3.1	15.2	'''Note: Us feeling particularly	 then Theory party property'''	'''(Natural) 	 Pm resource and Hair thought pay'''
Ryan Horne	ryan_horne_3047	46.0	66.1	62.2	'''(Smile song news statement task) 	 Democratic bill goal air and Mrs ago agreement edge'''	'''Note: Street space product open focus he	 then Head image piece ahead floor'''
Amanda Brown	amanda_brown_0037	22.0	98.1	48.2	'''Hold happy rich; Very with 	 Behavior support account indicate'''	'''Form hand	 Moment garden Common stuff sure adult risk'''
