name,rating,total_count,review,message
Vincent Higgins,,59.1,"""Fuga laboriosam ipsa; Odit deleniti odit , Asperiores a perspiciatis similique""","""Note: Quasi minus qui totam, then Architecto distinctio"""
Dr Alan Oliver,82.0,98.1,"""(Eligendi facere ab ea) , Odio and Vero veniam""","""Temporibus ipsam magni enim debitis; Rem quasi eveniet , Aliquid magni neque eum"""
Elliot Little-Taylor,21.0,73.1,"""Vel dicta eos quod, Consequuntur aspernatur odit veritatis adipisci Commodi quaerat facilis""","""(Optio officiis unde perferendis asperiores) , Excepturi eligendi pariatur and Nostrum voluptatibus suscipit aspernatur sit atque"""
Dennis Hyde,7.0,40.1,"""Note: Nihil fugiat, then Maiores""","""(Harum cumque adipisci) , Veniam illum and Aperiam culpa corporis mollitia aperiam"""
Wayne White,92.0,67.1,"""Odit maiores qui, Voluptates adipisci Libero""","""Perferendis cum: Delectus tenetur ipsum nostrum, Fugit nemo"""
Ross Godfrey-Middleton,25.0,7.1,"""Cumque officia sunt in: Repellat voluptatibus, Inventore facilis debitis eveniet""","""Note: Et mollitia, then Veritatis quidem perferendis incidunt aut"""
Jane Frost,20.0,70.1,"""Laudantium ex sapiente tempore: Quaerat reprehenderit eius, Temporibus qui""","""Corrupti provident sit, Ipsum Dignissimos unde"""
Owen Roberts,9.0,91.1,"""Eligendi odit; Voluptatibus accusantium , Beatae ipsam occaecati sit dicta""","""Numquam molestias voluptatum; Nihil nemo maiores aperiam , Explicabo laudantium"""
Mr Alex Clark,11.0,96.1,"""Fuga debitis sequi excepturi, Tenetur esse ab Molestias omnis dolore""","""Molestias expedita, Quidem ipsam Atque"""
Karen Thomas,40.0,98.1,"""Sed est dicta; Nisi vitae dicta temporibus sunt veniam eum , Repellendus tempora nesciunt iure""","""Cum eaque ipsam: Ut doloremque rerum optio, Aliquid tenetur"""
e,35.0,41.1,"""(Aspernatur) , Non and Qui dolorum consequuntur""","""(Magnam voluptatem) , Temporibus velit nesciunt and Dolores consectetur"""
Anne Barrett-Jones,69.0,,"""Provident error distinctio nam praesentium: Quos quisquam voluptates, Veritatis est""","""(Autem fugit tempore) , Nostrum and Occaecati vero earum nostrum"""
Barry Evans-Elliott,22.0,37.1,"""Note: Aliquam perspiciatis perspiciatis dolorem exercitationem quibusdam, then Dolorem iure nulla nihil labore ex""","""Praesentium consectetur dolores animi: Perspiciatis asperiores, Quibusdam"""
Russell Kirk,77.0,81.1,"""Minima quae, Debitis nesciunt est totam dolore Facere enim""","""Quaerat, Culpa Amet quis laudantium quisquam"""
Craig Anderson,61.0,29.1,"""Libero libero nostrum; Quae , Dolorem illo quia aliquam""","""Quis tenetur rerum aspernatur aspernatur non; Inventore quam quo reprehenderit , Suscipit totam nobis"""
Bethan Clayton,30.0,95.1,"""(Fugit tempore) , Corrupti nobis iste and Excepturi perspiciatis corrupti placeat sint""","""Officiis nulla assumenda, Nesciunt non voluptate nihil Provident alias nam"""
Jamie Foster,8.0,70.1,"""Laborum; Dolore nobis , Odio quae quasi""","""Dicta, Sed Occaecati eveniet pariatur"""
Lynn Griffiths,83.0,85.1,"""Note: Nostrum maxime vero cumque, then Natus rem inventore""","""(At doloremque modi) , Ducimus and Harum vero"""
Mr Howard Hall,56.0,22.1,"""Fugit perspiciatis maxime, Fuga harum Nam ab assumenda enim""","""Voluptatem vel magni: Sunt sunt perferendis totam praesentium, Eum magnam"""
Kerry Pugh,10.0,94.1,"""Expedita quas, Quod nulla vel soluta Eos quam""","""Accusamus: Voluptatibus adipisci ducimus, Officia explicabo saepe"""
Robert Patel,78.0,85.1,"""Reiciendis sequi quisquam: Ducimus sed deserunt omnis quidem, Est""","""(Vero sed) , Iusto ullam culpa and Cumque"""
Gary Taylor,17.0,44.1,"""Delectus id; Facere , Omnis iure provident animi""","""Repudiandae adipisci; Aliquid unde , Sit"""
Oliver Webb,67.0,63.1,"""(Nemo sint a consequatur) , Delectus commodi and Reiciendis eveniet""","""Quae quo: Impedit incidunt veritatis itaque quis at, Esse magni amet"""
