username;name;score;age;salary;description
abbie_owen_2112;Abbie Owen;41.0;;4.2;'''Harum error distinctio; Doloribus suscipit labore iure Accusantium odio'''
jayne_williamson_5350;Jayne Williamson;74.0;63.1;39.2;'''Fugiat necessitatibus id voluptate debitis repellat: Nihil assumenda; Error voluptatem'''
dr_perkins_5422;Dr Sophie Perkins;58.0;88.1;57.2;'''Eum; Quia ex ; Doloremque veniam fugit'''
mary_miah_6076;Mary Miah;;30.1;18.2;'''Note: Perferendis; then Aliquam minima neque'''
dr_scott_4143;Dr David Scott;66.0;22.1;56.2;'''Saepe; Asperiores laudantium accusamus Neque rem illum aperiam vero ullam'''
denise_jones_4736;Denise Jones;16.0;88.1;38.2;'''Tempora maxime; Amet ; Id accusantium'''
iain_wood_4041;Iain Wood;78.0;15.1;8.2;'''(Repellendus expedita quibusdam voluptatibus) ; Sunt voluptate reiciendis voluptatem ullam and Modi assumenda dolorem neque'''
beth_thornton_6609;Beth Kirk-Thornton;62.0;85.1;80.2;'''Quisquam: Quae laboriosam tempore; Consectetur quae magnam'''
bradley_watson_7828;Bradley Watson;45.0;30.1;33.2;'''Reprehenderit corporis: Hic fuga repellat animi ad quidem; Aliquid nemo veritatis'''
aaron_cole_1145;Aaron Parker-Cole;71.0;90.1;3.2;'''Corporis vero sint: Vel; Dignissimos sapiente deleniti ut'''
georgia_harding_8667;Georgia Harding;71.0;5.1;57.2;'''Note: Officiis sint quasi molestiae exercitationem; then Quod ducimus aut'''
derek_finch_3062;Derek Finch;85.0;23.1;39.2;'''Quis ducimus: Dignissimos; Architecto quidem est perspiciatis'''
jacob_watson_7892;Jacob Watson;19.0;65.1;32.2;'''Dolorum; Tempore officia ; Repellendus reprehenderit error nulla'''
damian_newman_4525;Damian Newman;11.0;41.1;50.2;'''Note: Ipsam esse; then Cumque'''
jayne_baker_4978;Jayne Baker;50.0;58.1;94.2;'''Eaque sapiente consectetur; Tenetur totam Nihil nemo'''
geraldine_potts_1117;l;50.0;62.1;;'''Laboriosam assumenda excepturi dolor: Ipsa impedit; Autem minus'''
georgina_hutchinson_3666;Georgina Hutchinson;46.0;4.1;77.2;'''Rerum nisi aut tenetur non; Aut accusamus in ; Eveniet sed assumenda exercitationem autem'''
victor_scott_7821;Victor Scott;82.0;82.1;81.2;'''(Aperiam quibusdam reiciendis) ; Aliquid id consectetur saepe and Recusandae ratione'''
dr_jones_8937;Dr David Jones;71.0;32.1;7.2;'''Quasi dignissimos: Minus; Totam officia nihil'''
shirley_pritchard_7272;Shirley Pritchard;3.0;21.1;23.2;'''(Quos ad ipsum) ; Consequuntur and Numquam amet'''
miss_brooks_5423;Miss Shirley Brooks;65.0;88.1;78.2;'''Distinctio odio; Eligendi provident nesciunt Maxime velit totam nemo dignissimos'''
sian_davis_5423;Sian Jones-Davis;33.0;98.1;56.2;'''(Temporibus mollitia nisi) ; Aliquam explicabo perspiciatis hic and Error nemo veniam dolore architecto'''
miss_thompson_9972;Miss Abbie Thompson;79.0;40.1;63.2;'''Note: Voluptates illo possimus ipsa voluptatum; then Temporibus dolorem'''
mathew_williamson_7869;Mathew Williamson;65.0;12.1;62.2;'''(Cum) ; Libero tempora ex velit itaque and Debitis quibusdam sit cum'''
mohammad_byrne_5414;Mohammad Byrne;70.0;91.1;70.2;'''Nemo illo: Neque; Numquam fugiat assumenda'''
