# This is a comment line to skip
username,score,rating,total_count,remark
emily_crawford_0024,34.0,1.1,29.2,"""(Information board) , Direction and Send recently"""
ashley_owens_4806,48.0,63.1,71.2,"""(Then) , Meeting office because heavy and Become food"""
michael_galvan_3647,37.0,65.1,64.2,"""Whose specific answer despite, Bring table Writer add garden example cover"""
teresa_anderson_0468,59.0,78.1,82.2,"""(With) , I and Us"""
dr_hogan_4409,94.0,17.1,15.2,"""Note: Religious when contain station within, then Help"""
victor_rogers_8805,53.0,22.1,39.2,"""Career party: All maybe participant include good whether, Hundred"""
melissa_diaz_3074,42.0,49.1,93.2,"""(Enough why) , Head benefit issue town party and Mouth"""
jared_patrick_4591,72.0,51.1,56.2,"""Note: Film, then Education world world son size"""
kimberly_silva_3872,14.0,74.1,37.2,"""Risk old general, Carry very child system Month hospital reduce husband"""
diana_nash_5569,30.0,75.1,68.2,"""Wonder again media value situation, Important almost reality Himself oil somebody"""
stephen_johnson_7954,34.0,97.1,41.2,"""Note: Campaign item write interview, then Catch lose think"""
sandra_wright_2123,60.0,81.1,98.2,"""(Civil necessary provide) , Painting garden cost tree go and Camera store month finish"""
shaun_walker_5653,71.0,61.1,66.2,"""Response particular laugh support; Visit business among condition source surface , Stock"""
christopher_watson_3809,72.0,56.1,2.2,"""Power natural home certainly between: Many almost put executive, Imagine reflect see purpose happen"""
andrew_horton_5966,95.0,,26.2,"""Note: See, then Develop"""
nancy_lawrence_6478,71.0,6.1,1.2,"""Move evening church certain they; Way think , Drug stand"""
jerry_nguyen_8844,78.0,80.1,45.2,"""Management hotel, Size top Together big difference"""
emma_howell_8193,42.0,49.1,45.2,"""Those, Cause product choice Scene doctor very force"""
william_sullivan_4141,100.0,28.1,66.2,"""Note: Tough arm support, then Dark"""
dawn_nelson_5058,6.0,67.1,22.2,"""Single energy, Language think Action suffer lead either science"""
wayne_chang_8474,18.0,90.1,66.2,"""(Pull) , Those federal activity and Cold phone"""
madison_combs_8603,15.0,93.1,48.2,"""Remember involve; Speak everything his , Seek"""
donna_nguyen_2841,18.0,42.1,89.2,"""Partner remember movement, Street check west Forget third"""
shannon_manning_9674,56.0,73.1,55.2,"""Wide interest use office; Standard team may experience , Ball last into white"""
stephanie_wright_4613,19.0,52.1,16.2,"""Charge: Beyond discussion kitchen beat painting each, Success final"""
stephanie_burton_4690,14.0,56.1,23.2,"""Note: Worry two learn, then Friend"""
renee_key_4005,87.0,99.1,69.2,"""Not lawyer debate close; American green section behavior , Development begin themselves room leave"""
kelly_johnson_1104,69.0,5.1,83.2,"""Cold on rest speak: Would thought, Including fire require cost"""
nicole_miller_9307,,48.1,,"""Note: Believe reality thank, then Member long have true"""
allison_taylor_7445,95.0,23.1,35.2,"""Note: As, then Heavy"""
ann_ramirez_9842,15.0,26.1,49.2,"""Center little; Order program , Lead network"""
tina_hudson_1625,23.0,69.1,61.2,"""(One clear) , Product election I would avoid and Reflect almost"""
nathaniel_smith_9554,66.0,7.1,65.2,"""International attorney character; Say age , Trip television news"""
ryan_odonnell_3871,17.0,4.1,19.2,"""Treat, Base behavior May account maybe camera"""
amy_martinez_8015,54.0,30.1,76.2,"""(Matter approach pick under) , Evidence TV PM dream upon and Situation environmental"""
