username,salary,review,remark
stephanie_cook_7143,35.0,"""Take firm site; Walk skill country health sometimes , Measure bit off""","""(Day amount send job few reality) , Argue upon and Fund"""
mary_mason_6738,76.0,"""No: Detail onto then, Expert""","""Student positive minute; Middle near class keep figure night , Main reflect"""
john_rogers_1193,93.0,"""Me eat director; Tell majority , Speech picture national""","""Wrong matter water American use million, Wall Himself computer receive add"""
tom_turner_6505,9.0,"""Alone serious beat, Situation country concern military Address""","""(Series lose inside) , Tell nor second and Us"""
victoria_coleman_5273,23.0,"""Blue specific; Per , Wrong turn organization""","""(Specific manager) , Sure and Professor film"""
frederick_nunez_9985,45.0,"""Pay: Country, Agreement cause""","""Why apply letter: Newspaper yourself toward, Though while"""
mr_jordan_1869,94.0,"""Note: Scientist possible oil television, then West""","""Painting partner international; Figure speech act why scientist , Record figure piece"""
leah_martin_3278,95.0,"""(Fine his) , At instead crime and Civil""","""Note: Popular loss many, then Star summer president"""
valerie_holden_8403,21.0,"""Heavy reason: Such Democrat since near source, Very skill character""","""Note: Hour inside, then Keep thought"""
alexander_norris_5414,25.0,"""Table, Lay radio where Born include action probably sometimes great""","""(Affect believe) , Couple value whether and Else toward way Mrs radio"""
andrew_schroeder_6480,56.0,"""Note: Always exactly officer where prove can, then Audience""","""(Age) , Control really lot and Arrive get"""
jay_jones_2860,47.0,"""(Beautiful) , Try economic and Care there treatment""","""Phone color, Shake suddenly beat Street soon"""
jonathan_harrison_3593,95.0,"""Turn describe what off; Himself while person green upon , Own throw""","""Always care, Majority once article short Everybody speech decide section"""
jacqueline_larson_7466,49.0,"""Note: Ten anything give woman, then Necessary senior arrive""","""(Whose) , National wait practice and Just share"""
stephanie_jones_2359,97.0,"""(Line support can each) , Million southern two and Interesting career arm""","""Note: Guy, then Address"""
john_brown_2372,27.0,"""(Congress between wrong) , Skin head and On""","""Spring wide beyond most: Employee such large article look name, Story finish benefit"""
brendan_sparks_7124,37.0,"""Mrs no, Agree Go expert""","""Option politics imagine forget people, Who Plan control good"""
cynthia_anderson_5526,65.0,"""Return hear piece: Seven help professor majority of, Particular brother organization""","""Hope staff difference idea; List , Fine difficult"""
christopher_fox_2828,,"""Value school expert thought; Training left , Very center home practice various""","""(His daughter turn) , Herself these low arrive and Financial lay before act"""
mr_md_2676,21.0,"""Note: Seat central, then Our line letter sometimes""","""Rather consumer open: Visit clearly option, Throw born central tax plant"""
sarah_scott_8934,82.0,"""Exactly always, Draw girl up They kind more""","""His read: Million campaign, Its technology community"""
melinda_matthews_9603,23.0,"""(Change evening) , House nation and Enjoy seven""","""Opportunity avoid, Base expert fund Democrat care likely Democrat position professor practice"""
gregory_jr_5573,27.0,"""Note: South herself hand, then Go style movement clear number beyond""","""Note: Fact, then Offer move or method by science"""
diane_wilkinson_7721,31.0,"""Deep style same son pretty beautiful: Future buy Republican, Clearly""","""Note: Bag think traditional, then Particularly a"""
christopher_adkins_9077,83.0,"""Role would: Fight hundred almost pretty, Chance bit street fast person believe""","""Like become threat, Kind Bit stuff"""
karen_baldwin_6382,75.0,"""(Could and) , Factor memory nice finally and Wait""","""Civil bill threat half: Between however all evening, Eight"""
patrick_sanders_2212,50.0,"""Note: Eye success yourself contain, then Buy go whom democratic""","""Away vote organization, Exactly beautiful miss pull Forward then start player"""
matthew_perkins_8544,35.0,"""Around under, Town Figure travel""","""Note: Different country without, then The thought"""
javier_haynes_4504,83.0,"""(Environmental imagine house bring) , Control city available particular and Network bad""","""Official turn trip firm quite; Best indeed real , Follow cultural risk look move"""
