name	username	price	total_count	summary	comment
Holly Harris	holly_harris_2806	83.0	75.1	"""Note: Voluptates id asperiores	 then Atque quae a"""	"""Note: Exercitationem cum	 then Ducimus quasi ipsum doloribus"""
Kerry Stevens	kerry_stevens_6786	51.0	3.1	"""Modi consequatur nam molestias totam; Occaecati repellat repellendus nostrum quam nemo 	 Aliquam corrupti molestias"""	"""Asperiores odio debitis hic vel	 Aspernatur beatae rerum similique Laudantium veritatis harum hic"""
Joanna Ford	joanna_ford_7972	75.0	6.1	"""Aut: Quisquam mollitia expedita molestiae	 Aliquid provident et"""	"""(Dolor dolores beatae) 	 Voluptatum ducimus and Nihil suscipit corrupti"""
Mr Allan Wilson	mr_wilson_5385	97.0		"""A provident: Placeat quod necessitatibus perferendis provident	 Sint deleniti repudiandae"""	"""(Dolorem voluptate) 	 Rem tempore accusantium and Commodi dolor dicta in"""
Ms Olivia Bond	ms_bond_8976	93.0	51.1	"""Temporibus vitae; Adipisci et 	 Consequatur distinctio vero sed ratione"""	"""Note: Enim	 then Quibusdam ullam quas"""
Diana Butler	diana_butler_1956	73.0	14.1	"""Note: Perferendis quibusdam	 then Suscipit delectus facere"""	"""Aut in perspiciatis; At optio 	 Incidunt reprehenderit dicta animi"""
Yvonne Ali	yvonne_ali_1678	47.0	15.1	"""(Laboriosam) 	 Esse enim distinctio and Itaque a accusantium illo"""	"""Note: Quis nobis odit	 then Possimus placeat atque tempore ut labore"""
Daniel Reid	daniel_reid_9622	84.0	52.1	"""Cum repudiandae natus reprehenderit	 Enim illum Voluptates cumque"""	"""Suscipit suscipit assumenda: Dolore	 Possimus alias ut voluptatem dignissimos quidem"""
Lynda Watson	lynda_watson_5814	9.0	64.1	"""(Beatae similique) 	 Odit incidunt and Asperiores officiis"""	"""Quam architecto ut; Eum eveniet 	 Nostrum at autem fuga esse"""
Kimberley Brookes	kimberley_brookes_2952	77.0	81.1	"""Note: Fugiat ullam	 then Quas nihil"""	"""Note: Occaecati officia dolore soluta beatae quod	 then Rerum"""
Francis Collins	francis_collins_7402	46.0	29.1	"""Error pariatur repellendus assumenda dolore unde; Tempora ipsam voluptates nihil saepe 	 Iusto"""	"""Note: Sit commodi	 then A molestiae aliquid"""
Natasha Rogers	natasha_rogers_5643	91.0	30.1	"""Note: Doloremque ab nisi quos sed	 then Perferendis asperiores occaecati esse repellendus doloremque"""	"""Non ducimus explicabo illo; Dolorem minima temporibus animi id 	 Ex quod ex vel"""
Karen Gray	karen_gray_9014	47.0	71.1	"""Cumque sunt quos: Et minima in	 Earum"""	"""(Nulla vero) 	 Quisquam inventore aspernatur aut and Quisquam natus ducimus"""
Mr Michael Cunningham	mr_cunningham_1845	16.0	50.1	"""Sunt architecto; Iusto iste ab 	 Facere laborum cum"""	"""Est incidunt repellendus; Quam laboriosam placeat similique error 	 Quod corrupti cumque aperiam ducimus"""
Keith Byrne	keith_byrne_3655	17.0	39.1	"""Note: Culpa	 then Necessitatibus dolor"""	"""Facilis repudiandae libero temporibus autem; Dolores asperiores et asperiores nobis 	 Quasi inventore autem error"""
Andrea Vincent	andrea_vincent_0735		17.1	"""Note: Dolor sapiente molestias	 then Illo autem ad ratione sapiente repellendus"""	"""(Quidem repellendus) 	 Sequi and Sint laborum unde doloremque harum ut"""
Ms Joanna Thomas	ms_thomas_7372	65.0	80.1	"""Impedit recusandae commodi iusto: Unde odit	 Libero dolor quam"""	"""(Repudiandae commodi quae nostrum eligendi) 	 Odit tempore repellendus excepturi iste doloremque and Illum optio fugit"""
Maria Ryan	maria_ryan_1422	77.0	66.1	"""Note: Hic	 then Pariatur deserunt"""	"""Porro; Natus consectetur 	 Delectus"""
Louise Wells-Mitchell	louise_mitchell_3660	85.0	87.1	"""Voluptas eligendi: Amet	 Voluptates ab vitae aliquam"""	"""Cum id: Minima explicabo quisquam et perferendis	 A deserunt excepturi"""
Mr Joel O'Brien	mr_brien_2337	53.0	71.1	"""Sed nam fuga magnam nostrum	 Voluptates totam Tempora harum omnis"""	"""Note: Molestias temporibus consequatur	 then Dolores id voluptate eaque cumque"""
 	benjamin_hayward_1026	29.0	44.1	"""Architecto; Corporis expedita veritatis nam officia 	 Soluta"""	"""Facere pariatur ipsum quidem deserunt	 A architecto voluptas ab Ad"""
