name	username	total_count	comment	message
Erik Jenkins	erik_jenkins_9979	18.0	'''Note: Evening news	 then Drop wonder'''	'''Evidence point; Sense town 	 Carry middle heavy pressure safe'''
Timothy Davis	timothy_davis_0853	37.0	'''Explain vote: Pick Congress bar on edge camera	 Probably own'''	'''News: New then energy	 Decision population'''
Stephanie Brandt	stephanie_brandt_4283	14.0	'''Four low picture: Real inside	 Million trial along thought affect trouble'''	'''Simple certainly type discuss investment: Defense marriage lay	 Answer either carry first go tax'''
Scott Madden	scott_madden_4457	77.0	'''Eye believe; Total voice 	 Concern begin source chance popular'''	'''Line ago affect	 Ever Between east carry'''
Dr. Lisa Melendez	dr_melendez_4960	67.0	'''(Interest) 	 Staff and Popular sign'''	'''Note: Machine behind	 then Movie three'''
Jerry Williams	jerry_williams_5785	50.0	'''Certain number yard; Ten to 	 Gas so same skill grow by'''	'''Cover again	 Yard skill Important executive especially'''
Michael Johnson	michael_johnson_7207	17.0	'''Must fill thought matter central stuff; Put their 	 Mission officer best rich growth'''	'''Southern enjoy: Space other later per	 Money remain pressure everybody'''
Dawn Nunez	dawn_nunez_9571	79.0	'''(Actually author) 	 Century ahead and Development month fly man'''	'''(Sea today dinner) 	 Product and Ball author'''
Sean Foster	sean_foster_6790	80.0	'''Listen commercial: Night policy home key window	 Short happen will hard then'''	'''Note: Different	 then Fly'''
Andrea Bradshaw	andrea_bradshaw_5610	49.0	'''(Be yes) 	 Car word should newspaper guy and Few'''	'''Resource worry	 The eye cost big bring Medical work'''
Jason Gamble	jason_gamble_2704	95.0	'''Baby I service; Article 	 Reflect eat student that'''	'''Whether action yes: Personal system behind	 Language ability'''
Heather Ramirez	heather_ramirez_9315	80.0	'''Note: Well ok	 then Easy someone technology'''	'''Nature coach others; Behavior defense necessary rest 	 Bit positive'''
Taylor Valdez	taylor_valdez_7054		'''Note: Many there	 then Collection sing popular'''	'''Herself area speech: Begin field wish himself career	 Win sister own sister key throughout foreign'''
Jessica Williams	jessica_williams_3122	19.0	'''Skin include shoulder include avoid; Happen from color research capital 	 Mrs nature quality'''	'''Success federal; Tend TV cell nearly 	 Manager green certain think almost professional'''
Janet Ware	janet_ware_4569	64.0	'''Price scene girl TV half: Learn bad	 Tree any'''	'''Hard region until	 Far beyond Watch toward answer'''
Cindy May	cindy_may_5449	36.0	'''Difference help	 Season Agency hit assume challenge condition'''	'''Center	 Tough recently compare Be public nearly'''
Stephen Jacobson	stephen_jacobson_7641	25.0	'''Miss least increase	 Once population fear son big Foot'''	'''Public son score economy: Space forward office ask attention	 Institution dinner'''
Marc Hunt	marc_hunt_0209	44.0	'''Business	 Radio Game mother'''	'''Note: Hold clear turn	 then Guess piece usually'''
Anna Hess	anna_hess_8896	71.0	'''(News window ahead tend deal) 	 Natural share and Author since pay security'''	'''Note: Response great	 then Area'''
Randall Ashley	randall_ashley_8854	33.0	'''Note: Similar blood us	 then Explain add'''	'''Certain hour audience	 Seven may more plan Crime financial whether draw rise section'''
Peggy Smith	peggy_smith_8716	82.0	'''Reality oil me federal government say; North since own tough form 	 Ground impact'''	'''Site	 Main manage Cell nation'''
Robert Buchanan	robert_buchanan_7032	20.0	'''Young course great: Range probably ask two human career	 Shoulder some'''	'''(Kind development) 	 Address and Enjoy minute'''
David May	david_may_3340	30.0	'''According open; Admit watch public condition 	 Between tend level'''	'''(If experience tell peace) 	 Technology amount media like despite and President ground'''
Jacqueline Jordan	jacqueline_jordan_3259	98.0	'''(Involve cause most notice up most) 	 Structure and Consider born think relate'''	'''Country of body sing Mrs	 Inside health Thought describe'''
Alexandra Robinson	alexandra_robinson_6396	66.0	'''Note: Assume resource	 then Single buy however'''	'''Fire task a early build expect: Who south nothing	 Mr first conference'''
Ruth Morris	ruth_morris_5760	98.0	'''Idea play; Sea color gun data wish 	 Stage discover'''	'''Religious within off specific according	 Mind plan Avoid whether'''
Joel Rice	joel_rice_6558	35.0	'''Allow community; Debate nor pull 	 Energy'''	'''Stand point: Blue design miss	 Large'''
o	john_bryant_4529	65.0	'''Thank according least project; Before almost 	 Every see'''	'''(Public) 	 Up say and Similar however'''
Tracy Salas	tracy_salas_1683	99.0	'''Take why draw cultural: Plan require	 Support'''	'''Note: Late way sure trial view current	 then Get statement guy family kid'''
Eugene Goodman	eugene_goodman_5286	62.0	'''(Administration list here) 	 Believe and Trial these capital seem'''	'''Treat difficult five discuss	 Dream how Much coach beautiful'''
Vincent Black	vincent_black_1750	4.0	'''Note: Leave	 then Television sell'''	'''Data law wind none; Group question hospital 	 Sing'''
Christine Hamilton	christine_hamilton_2647	8.0	'''Note: Thousand college	 then Far'''	'''Note: Mother very now apply just	 then Budget born environmental'''
William Mueller	william_mueller_6165	57.0	'''Forward: Stop reason action	 If east development'''	'''Note: Process other under which	 then Year side tough person air order'''
Kara Sosa	kara_sosa_3608	88.0	'''He: Explain end be	 Police tough'''	'''Get full young sometimes send; Next Mr 	 Already sit'''
Brenda Castaneda	brenda_castaneda_3382	33.0	'''(Drop test) 	 Control age available contain white year and Seek final product'''	'''Teacher suggest; Official cultural player 	 Son'''
Amy Mcmahon	amy_mcmahon_4606	91.0	'''Fear: Event anyone	 Picture human design color you'''	'''Note: Themselves garden	 then Whose either late'''
Mark Jackson	mark_jackson_0281	2.0	'''Note: Idea option	 then Protect'''	'''(Investment ten itself change) 	 Degree many world and Use buy'''
Amy Madden	amy_madden_5390	46.0	'''Note: Themselves reduce continue	 then Open area three degree situation'''	'''Behavior just base	 Religious next network magazine pattern Believe agree'''
Dean Hicks DDS	dean_dds_2502	31.0	'''(None minute) 	 Probably gun institution hand and Ground'''	'''Note: Month summer	 then Large me region finally thought'''
Haley Nelson	haley_nelson_4728	5.0	'''(Score catch well tonight else social) 	 Trade summer and Drive treat save'''	'''Last why I both for; Better happy medical 	 Field'''
Alicia Matthews	alicia_matthews_0947	62.0	'''Effect certainly bill; Practice again audience 	 Dark pass'''	'''Note: Sister lawyer evidence	 then Nice'''
Scott Lee	scott_lee_6065	77.0	'''Boy I per summer	 Bring design No name'''	'''(Meeting western role him research reality) 	 Her water and Impact list see effort energy'''
Sherri Crawford	sherri_crawford_6474	16.0	'''(Several) 	 Expect on move course and Mind push truth good change'''	'''Suddenly bag	 Go since consider Finish resource also'''
Kelly Carter MD	kelly_md_6640	85.0	'''Note: Number provide	 then Remain'''	'''Sometimes: Young make	 She yourself local chance'''
Mario Berry	mario_berry_1686	91.0	'''(Everything firm idea reveal) 	 Like find and Offer once'''	'''Drug: Cultural though	 Different whose create national'''
Andrew Taylor	andrew_taylor_3515	13.0	'''(Service edge middle seek) 	 Remain should turn bank and Foreign notice'''	'''(Voice exactly) 	 Trade and Hit fine full practice'''
