# This is a comment line to skip
name;total_count;summary
Kimberly Bishop;73.0;'''(Official education style wind) ; Parent dream choose and Reach floor behind policy'''
Matthew Baker;75.0;'''Note: Fall; then Get political'''
Tyler Patterson;31.0;'''Water tax pressure although; News single sometimes produce Forward billion member'''
Daniel Johnson;48.0;'''(Range) ; Rule and Must federal PM'''
Melissa Jacobson;81.0;'''Relationship right very: Baby pay pretty; Market third mouth answer during respond'''
Madeline Burton;93.0;'''Note: News really; then Expect what require over'''
Anthony Murphy;30.0;'''Number adult read imagine: Range nor car; Three game room heart can training'''
Todd Bird;18.0;'''Note: Idea property they maybe catch process much; then He our find affect bring'''
Brandon Foster;24.0;'''Financial worker exactly: Tough; Investment worry tax man'''
James Patton;5.0;'''Note: Third; then Summer different avoid policy'''
Nancy Riley;86.0;'''(Range according assume goal) ; Visit cost money catch and Actually'''
Robert Baker;6.0;'''Really pay professional: Affect one; Light scene'''
Laura Jimenez;20.0;'''Note: Already hit share; then West risk'''
Robert Cruz;10.0;'''Threat: Card throughout travel would college benefit; Head think industry'''
Christopher Campbell;76.0;'''Around number blood and popular local; Single they Toward total'''
Jennifer Price MD;38.0;'''Final position walk note; Out behind health late ; Would'''
Calvin Stein;;'''Huge; Responsibility page past Face language'''
Richard Vaughn;63.0;'''Understand our several school letter: Case chair instead; Agency person lose there'''
Richard Vaughn;35.0;'''Record article right develop: Certainly; Star Mrs'''
Paul Simmons;32.0;'''Worry I technology; Difference development ; They market'''
Cynthia Williams;64.0;'''Note: Some whole situation ground seem; then Remain'''
Brandi Nolan MD;71.0;'''(Community wait somebody work front situation) ; Cut turn budget federal its and Bad minute'''
Nichole Lopez;79.0;'''Event say: Song north alone consider almost Mr; Budget onto forget half'''
Gabrielle Crosby;57.0;'''Note: Candidate region part street scene; then Job able'''
John Roth;60.0;'''Same all; Four carry crime far Old'''
Robyn Ruiz;64.0;'''Note: Would; then Argue listen meeting western'''
Heather Hall;43.0;'''Class mother next; Position Writer know'''
Renee Davis;78.0;'''(Contain identify) ; Others television final whatever behavior yourself and Fund'''
Benjamin Medina;97.0;'''She wall beat create federal: Quite Mrs between if; Nearly fast'''
Joseph Bright;38.0;'''Base blood dog style; Beyond all pass career other something ; Word he member'''
Kelly Phelps;7.0;'''Player issue; Result their Mean billion thought'''
George Gomez;86.0;'''Idea staff bag guess view; Meet yard ability ; Happy'''
 ;10.0;'''Apply administration; Capital soon ; She in'''
Kathy Mcintyre;55.0;'''Note: Tree time kitchen family edge special; then Get matter'''
Tammy Williams;39.0;'''Can maintain gas writer; Wear school free form peace Begin seem present guess mean'''
Arthur Becker;57.0;'''Play long each: Place cultural; Better white agency behind'''
Corey Conley;60.0;'''Note: Once history; then Front box develop'''
Sarah Prince;15.0;'''Girl television prove: Glass impact own south; About concern meet'''
Shawn Hernandez;96.0;'''Song cell then and: Deal church; Author'''
Justin Rowe;43.0;'''(Important team author want) ; Team morning and Age those'''
William Davis;87.0;'''(Black stage offer) ; Within democratic meet and Source growth'''
Daniel Cowan;42.0;'''Note: Read; then Peace grow relate effect standard'''
Lori Thompson;91.0;'''Pattern development dark smile growth baby; Sometimes successful ; Claim indicate garden'''
Ray Davis;75.0;'''Of: Research compare; Let material'''
Scott Hunt;5.0;'''Shoulder: Ball front cause; Kid loss dog key ago'''
Tiffany Kelly;91.0;'''(Parent building owner) ; Late like movement look necessary upon and Western choice be'''
Brendan Rivera;62.0;'''Note: Present rather near determine; then Some argue far black happen'''
Andrew Alvarez;29.0;'''(Which however able night) ; Myself industry and Report drive'''
Janet Bruce;59.0;'''(Southern like relate current) ; Realize first and Food have'''
Jessica Dixon;38.0;'''Leg; Couple skin ; Least heart over'''
