name,username,score,note,remark
Mr Declan Graham,mr_graham_3510,71.0,"""Note: Doloribus minima quasi at optio, then Rerum sint modi""","""Consequatur inventore ipsum odio numquam, Sapiente Rerum rem velit eaque cupiditate"""
Gary Hughes-Johnson,gary_johnson_9305,19.0,"""Note: Eligendi distinctio itaque similique, then Assumenda ducimus""","""Quasi, Commodi maiores nostrum voluptas Itaque ullam perferendis tenetur itaque similique"""
Sophie Sharp,sophie_sharp_9431,,"""Quasi quia; Consectetur quos , Facilis esse voluptas""","""Note: Ex quibusdam quisquam enim sunt, then Iste totam"""
Gary Tyler,gary_tyler_3942,44.0,"""Porro iste, Eum accusamus Eum numquam quae sequi""","""Doloremque culpa, Unde Magnam"""
Ms Sophie Rhodes,ms_rhodes_2249,8.0,"""Note: Hic necessitatibus voluptates, then Exercitationem mollitia""","""(Perferendis aliquid) , Recusandae aut sit atque et alias and Vel tempore"""
Mr Philip Rees,mr_rees_0318,41.0,"""(Voluptate iusto) , Sed sint and Asperiores reprehenderit""","""Sed voluptate magnam dolorum nisi soluta: Ipsum ducimus dolore reprehenderit, Similique sapiente tenetur inventore"""
Linda Walker,linda_walker_9401,80.0,"""(Iusto) , Iure and Corporis at veritatis porro""","""Rerum at eius dolores sit; Placeat inventore ullam dolor , Officia assumenda"""
June Gregory,june_gregory_0192,13.0,"""(Minus quis natus) , Voluptas ea nulla and Totam aspernatur""","""Aut aliquid possimus, Eligendi Commodi numquam sapiente corporis inventore occaecati"""
Ruth Cross-Moss,ruth_moss_1036,73.0,"""Necessitatibus tempora maiores laborum dolor; Provident aspernatur , Consequuntur quia quasi""","""Cum itaque cum nobis eius molestiae, Sit asperiores fugit ex fugit Voluptatibus fuga sequi praesentium magnam"""
Dr Valerie Moore,dr_moore_4288,76.0,"""Quae tempore esse quas, Quis dolore recusandae dolore Dolor nemo nostrum nulla""","""Note: Quia accusamus nisi, then Distinctio dicta"""
Mrs Andrea Cox,mrs_cox_2544,42.0,"""Note: Eum excepturi laborum, then Neque eum""","""Dicta modi recusandae dolor, Fugiat Cum fugit molestiae"""
Frances Bailey,frances_bailey_2702,87.0,"""Placeat ab autem porro: Explicabo error, Earum neque""","""Sed cum nobis hic; Explicabo debitis vel , Impedit placeat enim"""
Arthur Giles,arthur_giles_3260,41.0,"""(Dolorum odit iure) , Odio perspiciatis and Harum hic""","""Placeat rem maxime corrupti: Adipisci provident dicta voluptas, Accusamus at aperiam"""
Vincent White,vincent_white_2148,76.0,"""Facere optio dicta: Rerum accusamus facere similique praesentium, Dignissimos eos""","""Fugit optio; Asperiores quaerat libero , Tempora minima quas"""
Marc Young,marc_young_6109,16.0,"""Ea doloremque voluptates adipisci; Similique , Voluptatum consequatur""","""Doloribus molestias labore quibusdam: Officia debitis animi, Consequuntur quasi incidunt"""
Catherine Lambert,catherine_lambert_8030,4.0,"""Minima eius dolore; Possimus harum , Veritatis""","""(Aspernatur tenetur) , Amet eaque and Praesentium amet delectus"""
Jack Gray,jack_gray_4451,26.0,"""Earum qui quos nulla ut, Quod tempora maiores Enim eligendi omnis corporis""","""Incidunt praesentium, Nihil quas Minima"""
Lorraine Smith,lorraine_smith_6533,29.0,"""Note: Deleniti voluptatibus ducimus placeat, then Optio eos aperiam""","""Expedita, In minus consequuntur assumenda voluptate Amet quas praesentium necessitatibus assumenda voluptas"""
Adam Burton-Jordan,adam_jordan_9518,21.0,"""A sint nisi; Ab eveniet illum , Cumque ipsum""","""Unde unde rerum; Accusantium earum ex inventore beatae , Architecto ea"""
Mrs Tina Harding,mrs_harding_2720,71.0,"""Unde tempora inventore architecto; Optio iste sed , Blanditiis suscipit""","""Nobis omnis ab, Quaerat At"""
Emily Sanders-White,emily_white_5985,55.0,"""(Explicabo consectetur) , Voluptatem corporis nostrum occaecati laborum and Dolorum excepturi est""","""Fugiat odit: Aspernatur nobis, Debitis"""
Rhys King,rhys_king_2380,12.0,"""Note: Nesciunt, then Hic eveniet sint""","""Magni dolorum inventore: Quibusdam perferendis, Similique accusantium natus labore"""
Dr Bryan Robinson,dr_robinson_5186,55.0,"""Omnis eos, Corporis magnam adipisci veniam ducimus Eos fuga""","""Quos; Occaecati esse ea , Repellendus fugiat exercitationem"""
Amy Freeman-Manning,amy_manning_8166,83.0,"""Accusantium enim: Dolores explicabo blanditiis facilis fuga omnis, Saepe hic veritatis impedit rerum""","""(Velit nam nulla) , Amet ut and Blanditiis voluptatum"""
Melissa Jones,melissa_jones_8490,61.0,"""(Illum molestiae) , Quaerat cupiditate and Maiores""","""Voluptas voluptatibus ipsa iure: Dolorum quia nihil, Occaecati id occaecati praesentium"""
Jodie Pollard,jodie_pollard_1374,56.0,"""Exercitationem earum; Eaque maxime totam soluta hic repellat , Sequi soluta non""","""Dicta atque repellendus est inventore porro; Similique cum , Non dolorem voluptatem exercitationem maxime atque"""
