# This is a comment line to skip
name;price;total_count;age;summary;message
Gail Ferguson;5.0;1.1;65.2;"""South: Majority all side prepare; Democratic""";"""(Natural pressure space) ; Goal investment performance time race enough participant and Receive series blood whether similar design"""
Angela Gray;31.0;80.1;64.2;"""For baby say decide; Personal major north Ahead window act""";"""Every address true benefit; Each ; Each not"""
Henry Clay;;6.1;15.2;"""However per; Project join compare second ; Toward actually cover yes""";"""Not: Drive reflect within; Take"""
Heather Mitchell;59.0;36.1;35.2;"""Yard glass necessary; North environmental week especially Mind""";"""(Yes join) ; Conference serve and Quite example possible financial"""
Brandon Rogers;46.0;74.1;37.2;"""Speak; On picture During stage""";"""(Administration education) ; Sea value structure image model and Over any ever"""
Steven Frazier;39.0;85.1;4.2;"""Note: Interest decade; then Give me free always""";"""Father government claim; I have ; Church past now"""
 ;60.0;78.1;67.2;"""Like claim suggest; Party relationship your So""";"""Note: Name system a; then Fish generation address control"""
Brittany Pena;90.0;83.1;96.2;"""Imagine so from weight exist body: May; You rest wear""";"""(Sure which finally town) ; Save theory but and Rest story glass next"""
Antonio Marsh;100.0;43.1;90.2;"""Can agency Congress color industry: Station animal; Trouble""";"""Note: Face development recent face others thing; then Hope reveal walk"""
Sabrina Shaw;39.0;26.1;36.2;"""These two watch; Son town almost bar nor Same company""";"""Note: North out; then Tv"""
Nancy Adams;23.0;;64.2;"""(Half item support policy east natural) ; Organization back and Beautiful""";"""Note: Adult authority reality cause threat; then Western into"""
Erik Williams;29.0;97.1;7.2;"""Note: Music remain road; then Color""";"""Area think these last yes: Very if single; Face"""
Mackenzie Lowery;36.0;6.1;47.2;"""Idea development; North cut ; Another production its glass admit look""";"""Billion yet size industry: Particular financial middle; Business"""
Erin Huerta;91.0;38.1;36.2;"""Resource: She; Move know series letter""";"""Phone material; Follow traditional good better film stay ; Heart season"""
Alison Rivera;45.0;85.1;4.2;"""(Require fast) ; Those poor and Above they respond""";"""Bag interesting message; Medical measure this Best start"""
Michael Mitchell;89.0;8.1;38.2;"""(Sort expect require democratic consumer) ; Evidence strong including crime and Her often""";"""Sound himself; Red raise maybe ; Go ever air"""
Anna Jones;86.0;99.1;32.2;"""(Oil cup partner) ; Federal house great and Three receive""";"""Bring; Clearly teacher ; Upon"""
Alex Mitchell;22.0;96.1;67.2;"""Might affect instead along property like: Authority among; Shoulder""";"""Note: Miss similar town resource; then Hotel such employee"""
Andrew Hughes;98.0;37.1;86.2;"""We serious such; Hand keep Conference continue finish huge""";"""(No themselves training) ; Good after decade health indicate she and Nothing"""
David Moss;62.0;54.1;51.2;"""(Then everyone movement) ; Pattern finally tax and Between according reduce five charge""";"""Night take fast: Market; His glass art carry"""
Roger Thomas;88.0;78.1;14.2;"""Rich senior: Each Mr technology buy suddenly; Father business participant purpose back prepare""";"""Field TV; Real religious Consider amount majority"""
Lee Mills;79.0;30.1;29.2;"""(Reveal investment its weight business) ; Idea air meeting firm many and Writer huge onto""";"""High start money manager training loss want; True peace state ; Stay week"""
Deborah Peterson;43.0;87.1;4.2;"""Worker list training; Beat their win join red ; Truth beautiful become trip these""";"""Prevent mouth: Image far discuss PM; Ok lose nor"""
Joseph Gallegos;27.0;95.1;65.2;"""Note: Result forget; then Picture put however""";"""Note: Rather interesting population herself; then Style"""
Abigail Carr;45.0;1.1;7.2;"""Foreign each inside; Power create card run charge Page everybody series""";"""Anything protect lead; Hope place challenge ; Far"""
Amy Morales;54.0;27.1;24.2;"""Say attack old hundred; Mouth again Vote determine color""";"""Home they expert meet step run; They turn who who culture money ; Agree road"""
Alexis Lopez;32.0;21.1;78.2;"""Note: Brother billion space; then Which economic happy begin traditional simple""";"""Hour: Behind however follow; Each but"""
Samuel Rodriguez;86.0;47.1;78.2;"""Note: These give; then Drug along then fight safe""";"""Note: Move receive pressure sort pay rise; then Not care like"""
Courtney Brock;74.0;51.1;66.2;"""Six something society; Successful floor ; Activity manage""";"""Shoulder itself approach: Often people clear; Decide one"""
Robert Reynolds;39.0;90.1;94.2;"""Appear may; Me minute some ; Water half""";"""Note: Themselves sell arrive; then Nor population close"""
Jennifer Taylor;74.0;10.1;79.2;"""(Form president now) ; Hospital get and Traditional heart western""";"""Whose rich suggest; Themselves beyond law Right a old"""
Michelle Medina;97.0;39.1;24.2;"""Late near: Thing even; Relate measure possible nor""";"""Note: Series miss single figure month; then Institution there"""
Michele Christensen;21.0;47.1;96.2;"""(Ever dog tree) ; Woman sign and He show others""";"""Stage civil: Suffer question; Institution reason record read either"""
Jennifer Powers;64.0;81.1;5.2;"""Arm pressure; Per Friend officer instead develop""";"""(Evening especially soon) ; Hair step eight professional group and Until meeting"""
Christina Smith;7.0;62.1;50.2;"""Cut forget; Personal director herself home remain Science low""";"""(If catch design) ; Shoulder interest and Pretty"""
Jose Schwartz;5.0;19.1;65.2;"""Heavy: Available community party west defense; Resource middle simply""";"""Note: Remember money; then Other lawyer hot"""
Thomas Flores;71.0;5.1;;"""(Truth difference national main could) ; Measure receive and Business yeah guy little""";"""General: Either sure why; Say dark theory"""
Sarah Leblanc;98.0;36.1;84.2;"""Everyone wish personal mean information produce: Crime wish mean above either; And account need""";"""Note: Forward family son out; then Former threat step four"""
Deanna Perez;39.0;80.1;84.2;"""(Idea special) ; Require place cell economy high card and Follow opportunity play draw""";"""Note: Challenge section goal common; then Meeting old thousand care"""
Dana Burgess;25.0;2.1;31.2;"""(Performance black program) ; Mr and Partner exist""";"""Single soldier suddenly: American front meet single; Protect fish"""
Hunter Price;23.0;9.1;41.2;"""Morning itself; Truth future strong ; Probably time carry""";"""(Laugh carry) ; Able wife and Crime within"""
Christopher Smith;4.0;55.1;42.2;"""(Employee stand) ; Again top will join and Set story item""";"""Note: Send; then Cause issue science"""
Manuel Jackson;58.0;29.1;48.2;"""Trouble chair more stay maybe bag; Long just Mr picture Sound member attention""";"""Yourself long talk: For buy politics even; Attack nearly"""
