name,rating,total_count,remark
Anna Hall,8.0,5.1,"""Month; Perhaps present , Man nearly production"""
Gail Long,79.0,93.1,"""(New offer born do) , Involve garden ten challenge and Pretty question hold"""
Connor Turner,94.0,43.1,"""Couple at American; Policy personal appear , Threat"""
Emily Anderson,84.0,32.1,"""Able even: Study campaign drug capital, Season wall accept money man"""
D,84.0,69.1,"""Note: Property whom always, then Time four exactly"""
Andrew Gonzalez,68.0,60.1,"""Floor; Artist board without never , Full star wish whom only"""
Patrick Adams,54.0,38.1,"""Will her; Detail government , Level majority force"""
Michael Adams,86.0,17.1,"""Note: Gun recently poor, then Type choice"""
Glen Reyes,29.0,86.1,"""Note: Participant white stop fine, then Daughter order"""
Karen Anderson MD,11.0,59.1,"""(While son) , Clearly body and Six face line positive"""
Adam Joseph,47.0,81.1,"""(Service part article act) , Tend bit and Nation speech new"""
Rebecca Wilkerson,69.0,23.1,"""(Eye top take) , Draw movie and Partner seven"""
Mary Ortiz,91.0,94.1,"""Because moment also, School some Position station clear"""
Bruce Henry,4.0,80.1,"""Next; Role , Make nor realize"""
Amber Bray,70.0,87.1,"""Country whose offer; Person good , Including your"""
Timothy Robinson,92.0,36.1,"""Rich big; Since , Experience resource"""
Michael Manning,76.0,86.1,"""Mr yard north never: Skin unit staff on, Evidence onto game health still"""
Jacob Clark,85.0,71.1,"""(Animal discussion) , Matter personal standard agency add while and Tend hospital green"""
Vanessa Carrillo,9.0,63.1,"""Education sister series side, Music last professor Color test every"""
Rachel Gutierrez,82.0,54.1,"""Hold; City respond , Official set begin something act"""
Angela Michael,29.0,35.1,"""(Himself human fast) , Expert leave enjoy open recognize never who and Plan better head"""
Morgan Mcdonald,74.0,2.1,"""Any check these dream, Perhaps Tonight street include either learn"""
Larry Cochran,,42.1,"""Note: Result send song central strong, then Each recent institution"""
Jim Ramirez,46.0,43.1,"""Seek admit statement sing mouth: Increase movement, Seven watch small"""
Frederick Davis,13.0,,"""(Organization management give control) , Bag growth and Cultural consider"""
Amy Williams,9.0,70.1,"""Machine brother include; Hope window woman , Pick"""
Michael Collins,63.0,62.1,"""(Significant turn hospital) , Share within think and As indeed current fire food"""
Tyler Howell,42.0,26.1,"""(Democratic interesting research someone) , Stay learn and Very environmental"""
Lori Ortiz,77.0,36.1,"""Approach we thus news, Challenge Plan test available international"""
Christina Stuart,12.0,65.1,"""Scene fire successful produce available; Travel think training any sister name , Physical million clear later performance tonight"""
Bonnie Dorsey,70.0,94.1,"""Very say finish tax least: Father place daughter exactly, Scene step professional know discover work"""
Christopher Bauer,9.0,15.1,"""Note: Nothing own, then Will"""
Kelly Taylor,56.0,59.1,"""(Test couple pattern strong) , Budget and Mr stuff design perform"""
Tiffany Cox,68.0,12.1,"""Note: Range light, then Experience tend edge"""
Karen Spencer MD,57.0,86.1,"""Sell; With , Suffer"""
Ryan Gutierrez,19.0,1.1,"""Rather another manager teach ask, Will certain over language Up hold thank power"""
Mark Campbell,83.0,93.1,"""Note: Pass expert camera today, then Collection back cold together establish heavy"""
Andrea Alvarez,12.0,59.1,"""Ago despite improve man option; Mission they body , Week"""
Rachael Lewis,41.0,72.1,"""(Need loss) , Score better and Book toward single"""
Matthew Crawford,89.0,34.1,"""Less perform land different single: Husband, Single sit month"""
