# This is a comment line to skip
username;name;age;price;salary;remark
jason_price_1939;Jason Price;65.0;25.1;3.2;'''Quidem quaerat: Rem provident; Aliquid'''
mrs_jones_6875;Mrs Jill Jones;3.0;30.1;75.2;'''(Adipisci iste maxime optio laborum) ; Ea placeat and Eligendi at voluptatibus unde excepturi'''
mr_morley_1744;Mr Kyle Morley;45.0;4.1;12.2;'''Perferendis tempore qui debitis; Perferendis ; Mollitia corporis temporibus'''
aaron_hewitt_9899;Aaron Hewitt;94.0;88.1;47.2;'''Provident quidem at: Saepe consectetur necessitatibus; Aliquam optio'''
nigel_cooper_0207;Nigel Cooper;5.0;;26.2;'''(Harum dolorum eligendi) ; Beatae and Repellendus reiciendis dignissimos delectus'''
eric_kelly_4986;l;49.0;50.1;4.2;'''(Suscipit hic dolores soluta ipsa) ; Veniam and Officia ad expedita voluptates'''
justin_green_8402;Justin Green;97.0;42.1;58.2;'''Sunt itaque iure minus praesentium id: Quibusdam harum; Voluptatum nemo'''
lydia_mahmood_9359;Lydia Mahmood;98.0;29.1;21.2;'''(Exercitationem natus) ; Incidunt quae and In ab voluptatem quia iure cumque'''
leigh_lord_0185;Leigh Lord;57.0;83.1;1.2;'''Note: Repellendus pariatur; then Modi ipsam'''
fiona_cox_1402;Fiona Miles-Cox;;74.1;88.2;'''Note: Quis voluptas autem error corrupti iure; then Alias saepe nam et quae'''
joseph_fuller_3269;Joseph Fuller;47.0;49.1;94.2;'''Ipsum atque quisquam occaecati: Eum reprehenderit nesciunt reprehenderit nulla tempora; Ipsum officia consequatur repellendus'''
dr_reynolds_3091;Dr Garry Reynolds;21.0;59.1;7.2;'''Culpa; Quaerat minima voluptatum ; Aperiam illo omnis quasi ducimus'''
anne_pearson_9984;Anne Pearson;32.0;29.1;20.2;'''(Voluptate sit non sapiente aperiam laborum voluptas) ; Quam excepturi dolor dolores sunt expedita and Maxime quae accusantium dolorum'''
kerry_robinson_3779;Kerry Robinson;55.0;25.1;11.2;'''Exercitationem ratione cumque: Corporis; Sapiente quos'''
cameron_barlow_3832;Cameron Barlow;17.0;31.1;13.2;'''Voluptatum veritatis inventore saepe totam; Amet voluptatem numquam veritatis ; Libero facilis minus'''
mr_ryan_8165;Mr Nathan Ryan;83.0;25.1;48.2;'''Nihil; Consequatur ad ; Ipsam'''
rebecca_barrett_4060;Rebecca Barrett;64.0;99.1;38.2;'''(Illo veniam perspiciatis) ; Fugiat similique dolorem atque debitis and Iste beatae aliquid'''
mr_cox_2788;Mr Kyle Cox;63.0;2.1;54.2;'''Note: Veritatis; then Deleniti reprehenderit qui'''
martyn_chapman_0922;Martyn Chapman;76.0;95.1;74.2;'''Iure voluptates nostrum iusto hic; Corporis ; Doloribus'''
philip_chamberlain_1316;Philip Chamberlain;2.0;62.1;60.2;'''Quasi: Quae porro possimus eveniet nulla; Est voluptatum'''
melissa_carr_8255;Melissa Carr;42.0;82.1;16.2;'''Note: Natus temporibus asperiores dolores esse praesentium; then Nobis dolore'''
helen_mccarthy_4688;Helen Thompson-McCarthy;11.0;2.1;;'''(Exercitationem voluptates libero) ; Sequi a and Laboriosam'''
justin_parsons_2122;Justin Parsons;92.0;70.1;99.2;'''Note: Aspernatur nobis eos quaerat; then Cum impedit ullam molestiae dignissimos'''
lydia_hughes_6825;Lydia Hughes;12.0;21.1;38.2;'''(Vero) ; Vel officia numquam facilis and Exercitationem eos'''
patrick_green_1194;Patrick Green;51.0;18.1;47.2;'''Quia mollitia: Veritatis odio aspernatur occaecati; Eaque quas reiciendis'''
mr_evans_8688;Mr Joshua Evans;4.0;99.1;50.2;'''Quidem distinctio; Natus ; Illo cum vero provident hic'''
