# This is a comment line to skip
name,username,rating,salary,score,summary
Nicholas Molina,nicholas_molina_8309,75.0,54.1,2.2,"""Give type whatever; Environment bad finally , Money heart"""
James Robinson,james_robinson_9819,33.0,88.1,22.2,"""Happy push if field important, Speech wife Off popular"""
Ronald Meyer,ronald_meyer_6655,18.0,37.1,11.2,"""(Drop against) , Return than and Rest but child poor year"""
Michael Munoz,michael_munoz_8816,40.0,79.1,63.2,"""Note: Require region sure human, then Ever seem production what environment live"""
Jacob Rice,jacob_rice_6929,100.0,,67.2,"""Guess under difficult participant stop: At upon edge, Consider general resource"""
Matthew Wagner,matthew_wagner_0207,69.0,87.1,62.2,"""Note: Career manage yourself, then Body"""
Madison Conway,madison_conway_1541,38.0,75.1,70.2,"""Add hear picture conference resource wear, Factor approach high Field single face"""
Jeffrey Holmes,jeffrey_holmes_4158,50.0,21.1,94.2,"""Though; Thus score sort drop court , Begin change"""
Donna Cochran,donna_cochran_2539,63.0,50.1,62.2,"""(Part case ready worry) , Over father and Seek parent"""
Tyler Davenport,tyler_davenport_9269,2.0,64.1,91.2,"""Race, Prove and same religious Should fact prevent bed"""
Veronica Hernandez,veronica_hernandez_8395,53.0,80.1,78.2,"""Note: Three meeting high, then Skin trouble matter"""
Jessica Jones,jessica_jones_7954,39.0,25.1,72.2,"""(Human up see) , Because type listen and Light"""
Stacey Bryant,stacey_bryant_6490,20.0,76.1,64.2,"""About anything book value: Really parent medical, Ten system have"""
Billy Turner,billy_turner_3856,94.0,63.1,62.2,"""Involve allow; Too rock else , Enough up top talk prevent"""
John Burns,john_burns_6239,72.0,22.1,11.2,"""Involve in, Fight discussion Whom owner teacher risk the"""
Caroline Nelson,caroline_nelson_6511,95.0,3.1,42.2,"""Note: Seven become, then Here foot"""
Brad Smith,brad_smith_6866,82.0,4.1,19.2,"""Note: Point image difficult woman meeting, then Glass stage air pressure"""
Jerry Mcguire,jerry_mcguire_4936,32.0,72.1,85.2,"""Note: Majority medical hundred, then Hair"""
Melissa Smith DDS,melissa_dds_5227,20.0,25.1,,"""Kind security; Bed give oil risk space program , Information clearly"""
Tiffany Edwards,tiffany_edwards_6373,95.0,93.1,45.2,"""Man public, More everyone increase Power student several"""
Gregory Davis,gregory_davis_8924,53.0,76.1,45.2,"""Note: Sit trip beyond, then Walk lawyer"""
Joshua Braun,joshua_braun_0803,28.0,88.1,45.2,"""Figure group face exactly next worry, Sell decision group affect Activity show computer"""
Bruce Johnson,bruce_johnson_3868,,36.1,37.2,"""Note: Provide likely how control, then Phone too"""
Gina Weaver,gina_weaver_8192,77.0,23.1,1.2,"""Position smile guy: Land baby minute campaign, Painting serious"""
Thomas Myers,thomas_myers_5749,41.0,51.1,83.2,"""Treat stuff add sing; Party various , Argue large later TV husband"""
Melissa Williams,melissa_williams_1181,49.0,19.1,96.2,"""Particular author: But structure, Remain"""
Annette Smith,annette_smith_7698,97.0,16.1,38.2,"""Medical world ready speech; Meeting onto school always , Window stock three"""
Denise Miller,denise_miller_8573,28.0,49.1,44.2,"""Note: Sport factor market listen, then Hospital"""
Tiffany Prince,tiffany_prince_6480,83.0,22.1,3.2,"""Note: Common cut, then Wife word"""
Christine Lawrence,christine_lawrence_4645,64.0,52.1,8.2,"""Travel; Sometimes toward worry hot health , Table western without budget"""
Nicole Rodriguez,nicole_rodriguez_9529,25.0,59.1,99.2,"""Community, Least art chair debate Order age nation race tonight"""
David Miller,david_miller_0873,75.0,47.1,71.2,"""Same control nothing section: Although remember unit point against, Apply industry manager"""
Allison Hudson,allison_hudson_4289,53.0,12.1,20.2,"""Note: There they, then Girl base short"""
Steven Murphy,steven_murphy_3950,64.0,84.1,40.2,"""(Expert entire) , Perform result candidate and Another camera"""
Joshua Floyd,joshua_floyd_9285,31.0,41.1,9.2,"""Note: Cover guy term, then Debate them push response shoulder treat"""
Angel Hebert,angel_hebert_6703,21.0,28.1,65.2,"""Note: Hand enough bit, then Sort buy happen"""
Yolanda Acevedo,yolanda_acevedo_8345,82.0,68.1,8.2,"""Or nor number; May different current subject state , Product would degree sing seven"""
Ryan Cooper MD,ryan_md_3848,43.0,64.1,15.2,"""Fear before: On every father, West evening wonder"""
Daniel Pope,daniel_pope_0893,59.0,3.1,77.2,"""A dark thank continue: Far drive, Resource hour family cost"""
e,melissa_foster_1348,29.0,67.1,82.2,"""Low him: Notice participant five push, Build"""
Tyler Carter,tyler_carter_9804,4.0,62.1,18.2,"""(Green issue) , Cut check human and Sort especially"""
