# This is a comment line to skip
name	score	age	salary	comment	message
Joanne Thomas	62.0	21.1	87.2	'''Note: According attention pressure chair suggest	 then Relate'''	'''Home generation create authority send our; Country remember office front always 	 Produce want similar'''
Mrs. Veronica Martinez	89.0	44.1	14.2	'''House most break; Product pressure 	 Environmental recognize those'''	'''(How rich) 	 Natural and Strong positive factor'''
James Barry DVM	91.0	89.1	97.2	'''Once outside step learn	 Available continue Guy poor former'''	'''Region wife: Tonight bill prevent however	 Radio challenge thought need development want'''
Jason Curry	32.0	58.1	96.2	'''Develop real: Race science four affect street	 Popular represent management behavior'''	'''Night standard various method than form: Paper none coach region thought	 Another'''
Rodney Ray	8.0	97.1	72.2	'''Which everyone owner; Quite 	 Political future way'''	'''Range me glass according; Final personal another important 	 Order situation'''
 	64.0	25.1	18.2	'''Concern including appear young likely: Event senior drop measure water soldier	 Box'''	'''(Air toward) 	 Manager support star throw and Newspaper suddenly suggest'''
Jason Waters	59.0	3.1	70.2	'''Note: Mouth	 then Minute attorney raise could'''	'''Often prevent beyond	 Seem act green second Free try no building'''
Maria Simmons	92.0	89.1	73.2	'''His; Meeting performance career force green shake 	 Behind blue approach east'''	'''(Start cell life) 	 Fill evidence and Financial ball sense wide'''
Christopher Abbott	88.0	26.1	63.2	'''Note: Energy organization space indicate relationship car	 then Alone create me'''	'''Note: Box already public talk	 then Article own affect'''
Sean Johnson Jr.	93.0	68.1	36.2	'''Right affect find number old fly: Politics them spend	 On black shoulder'''	'''Job	 Fire white Dog federal story'''
Maurice Stevens	81.0	33.1	19.2	'''Add forward quality	 Sense read near authority News nation share reality finish'''	'''Note: Who lose clearly sure nothing success	 then Everyone word operation'''
Meghan Summers	77.0	20.1	2.2	'''Note: Moment newspaper in boy	 then Participant commercial line'''	'''Author she kid cell because crime: Agent difference	 Hundred'''
Samantha Reed	32.0	26.1	54.2	'''(Different across) 	 Artist know research and Lot house agree'''	'''(Mission series piece small) 	 Back tree former and Happy note family'''
Terry Allison	41.0	93.1	97.2	'''Century sport; These single thought 	 Walk management most then wind relationship'''	'''Note: Dog save	 then Threat'''
Ashley Thomas		37.1	80.2	'''Indicate: Everyone though	 According young exist'''	'''Note: Can indicate family	 then Research art remain history'''
James Davidson	60.0	48.1	99.2	'''Involve prove better real situation: Tonight	 Weight'''	'''Structure education such gun treat; Morning 	 Entire fear success'''
Raymond Hunter	15.0	79.1	88.2	'''Top total growth; Something couple 	 Power day'''	'''Note: Always third year become	 then Reality'''
Mr. Benjamin Black MD	91.0	75.1	92.2	'''Agree stay yourself	 Or message off civil Environment simple'''	'''Note: Future conference unit	 then War law race put answer'''
Miguel Burke	95.0	25.1	96.2	'''Newspaper; Finish success call 	 Strategy'''	'''Yard respond defense; Another entire message 	 Street wear marriage skill'''
Jennifer Bowman	15.0	6.1	12.2	'''(Laugh major wonder relate) 	 Call when ball sort town product and National'''	'''(Event show) 	 Member only fear and Society serve'''
Robert Benjamin	2.0	5.1	79.2	'''Indeed set heavy; Necessary under American 	 Develop education'''	'''Mind produce attention far; Difference child my throw 	 Arm'''
Kenneth Joseph	69.0	19.1	85.2	'''Note: Source step report	 then Cup'''	'''Involve all: At throw learn art	 Buy first'''
Amanda Thomas	61.0	25.1	65.2	'''South like; Let item message 	 Else five'''	'''Alone hour gas at see: Dinner make series executive	 Less concern during'''
Matthew Freeman	1.0	11.1	95.2	'''Model those my; Grow area catch 	 Member my'''	'''Rule doctor; Serious town 	 Bar part director'''
Roy Moss	42.0	26.1	38.2	'''Special	 Cold simple Way force significant sing defense'''	'''Since	 Call development Cover music air instead less me'''
Brittany Chapman MD	53.0	75.1	72.2	'''Detail	 Food pressure Politics thought'''	'''Issue west week camera; Arrive stop impact stay 	 Upon white more require'''
Lori Gonzalez	27.0	40.1	70.2	'''Large simple near should: Local amount	 True eye wear join head institution'''	'''Into	 Respond scientist apply Response yard discussion'''
Ruben Ellis	95.0	95.1	8.2	'''Clearly summer education: Budget result continue	 Charge purpose control white thousand area'''	'''(Industry open nearly) 	 Finish contain and Field scene'''
Lisa Edwards	30.0	71.1	27.2	'''Note: History well since	 then Wear'''	'''(Add early along write onto area) 	 Better suffer sense and Power even special'''
