# This is a comment line to skip
name;username;total_count;summary;note
Jerry Gould;jerry_gould_3015;9.0;"""Save put speech; Service pull think benefit ; College spend""";"""Note: Might two place decade gun look; then Smile quality"""
Katie Williams;katie_williams_9231;11.0;"""Road couple: Support; Story""";"""Note: Factor risk; then By design feeling rate affect"""
Michael Burton;michael_burton_2594;15.0;"""Good require end huge wrong; Business protect answer some Expert hit late which nice""";"""Believe staff; Report Answer how"""
Samantha Floyd;samantha_floyd_5764;58.0;"""(Point sense him task) ; Morning network probably him friend and Where provide police ability""";"""Professional Democrat prove economy plant fall; Big crime hotel Notice send"""
Amy Brewer;amy_brewer_9873;61.0;"""Note: Design still; then Position tree""";"""(Music) ; Environmental bad away compare gun and Security direction west field"""
Shirley Owens DDS;shirley_dds_3284;3.0;"""(Else idea fall usually) ; Responsibility year moment yet night and Per shake serious""";"""Community morning up sea; Actually Mrs it too task Control"""
Vanessa Williamson;vanessa_williamson_1146;35.0;"""Alone fly thought: Which base forward box interest; Building behavior""";"""(Most add rest) ; Loss until after pull and Ever young"""
Dr. Regina Hill;dr_hill_2524;98.0;"""Note: Remain; then Floor eight tree""";"""(Church) ; Rate maybe law and Friend growth"""
Daniel Ayala;daniel_ayala_5805;15.0;"""(Later someone low) ; Nor sing road discussion ever and Remain finally high tree among treatment""";"""(Bring) ; Goal degree and Already pick bag"""
A;phillip_bennett_7326;41.0;"""Note: Peace position same; then American their building""";"""Note: Interest second; then Result leg evening"""
Michael Schultz;michael_schultz_0640;28.0;"""Alone single; Amount rise and increase minute others ; Bill cold""";"""Nothing wish see likely: Still sometimes page; Red factor"""
Amy Davis;amy_davis_8584;10.0;"""Low some: Become customer development; That leader human face when""";"""Note: Important or former fish various movement; then Remember onto should foreign"""
Timothy Greene;timothy_greene_7744;76.0;"""Room defense network part: Mention teach environmental after; Best try move simply""";"""(Nor all throw) ; Involve commercial someone no and Enjoy sing south"""
Whitney Jackson;whitney_jackson_3197;27.0;"""(Hair nothing) ; Activity race challenge and Reveal cut lead deep major""";"""(Civil cup society) ; Vote trial quite and Blue"""
Mrs. Cynthia Griffith;mrs_griffith_0232;6.0;"""Public; Today medical ; Herself case meeting name decision themselves""";"""While positive; Art positive sound term heavy Fly newspaper"""
Amy Marshall;amy_marshall_4106;22.0;"""Note: Service adult learn else; then Surface""";"""Cut they ball treatment finish natural: Control reach authority way around; Difficult could PM"""
Randall Smith;randall_smith_4361;41.0;"""Site if political: Firm child agency happen; Approach""";"""Stay though far; Huge firm Performance camera Mrs simple brother claim"""
Juan Mccormick;juan_mccormick_1665;46.0;"""Interest so throw green offer; Thing machine yes draw ; Whatever beyond""";"""(Ability yet fall everything agree) ; Case seem and College side"""
Amber Adams;amber_adams_1437;99.0;"""(Congress box) ; Station begin candidate and Free design best real""";"""Stuff civil; War above evidence poor ; Pick forward PM tax science"""
Neil Sanford;neil_sanford_9636;100.0;"""A point pressure field; Leader subject even card by Kitchen sign fish carry leave""";"""Behind; History professional table Even language"""
Brett Nichols;brett_nichols_0586;99.0;"""(Build first study) ; Though visit over and Through bill century final water serious""";"""(Safe decide good still whom writer) ; Science and Management include"""
Robert Stevenson;robert_stevenson_3651;88.0;"""Tough summer information: Arm tough court; A gas interesting""";"""Painting; Wide compare ahead Day Democrat"""
Alexander Leon;alexander_leon_2706;;"""Go pressure; Top serious nothing truth nation recently Rate speech""";"""Full magazine real focus option; Enter central new ; Administration could"""
Philip Watson;philip_watson_3492;17.0;"""Note: After benefit next; then Strategy represent""";"""Note: Hear which win manager; then Often offer"""
Janice Baker;janice_baker_0022;98.0;"""Treatment: Big practice; Leader fish""";"""Note: American opportunity close; then List scientist sort today minute how"""
Charles Rios;charles_rios_7837;83.0;"""Foreign modern have detail: Total such; Program process""";"""Response home tell: Maintain business and have drive; Policy"""
Jeff Thompson;jeff_thompson_3016;75.0;"""Note: Usually list admit arm; then Color and""";"""Data people sign entire fast between; Color number if Base"""
Rhonda Richards;rhonda_richards_6543;73.0;"""Owner; Green owner question room His decision mind because""";"""Note: My will; then Agree hope"""
Victoria Miller;victoria_miller_8389;8.0;"""Clearly class arrive answer; Get movement left fund ; Price""";"""High people prepare measure will per; Source sign available whom difficult Us adult draw"""
Laurie Evans;laurie_evans_7697;40.0;"""(Relate become ground day serious half) ; Energy police and Record hour""";"""Attorney crime: Officer car history; Necessary response raise"""
Tanya Mosley;tanya_mosley_2267;35.0;"""Player: Radio later many; Region personal provide""";"""Note: Necessary nor; then Special this"""
Amanda Robinson;amanda_robinson_8489;69.0;"""Look responsibility; Themselves green know now oil wish ; Economy expect visit example care organization""";"""(Pm girl stage responsibility close) ; Situation will generation quality per and Pay war difficult"""
Brian Carroll;brian_carroll_2816;91.0;"""Miss; Realize themselves attack PM behind product ; Home everything effect factor tend the""";"""Lawyer address: Alone issue meet; Left charge paper"""
Craig Lynch;craig_lynch_9263;60.0;"""(Soldier) ; Win debate rise and Stage action""";"""Story player side whole simple; Since Bar write tonight price"""
Jessica Montgomery;jessica_montgomery_5142;98.0;"""(Civil) ; Base paper understand daughter member walk and Decision of""";"""Thought offer draw me today: Summer kitchen brother back; Street board tree buy form return"""
Jessica Clark;jessica_clark_4095;47.0;"""Note: Amount public; then Instead trade game professional analysis wait""";"""Note: Amount security behavior; then Bank remember leg indeed"""
