name,username,price,score,age,note,description
Alexis Cross,alexis_cross_6698,85.0,64.1,47.2,"""(Rest might method) , Area and Machine message political memory""","""Yard age: Account decision Democrat, Whole officer none fear save"""
Krista Smith,krista_smith_3569,88.0,88.1,80.2,"""(Us store also) , Say because and Pull peace""","""(Wait) , West and Improve wind recent"""
David Dawson DVM,david_dvm_6621,27.0,83.1,36.2,"""Send imagine address, Feel now Church boy natural already daughter""","""Question dream east serious building ask; Campaign too tree , Fact seek remember"""
Lori Beltran,lori_beltran_3565,55.0,95.1,33.2,"""(Prepare give) , Girl and Risk marriage officer coach""","""Spring rule protect, Leave Conference"""
Allison Johnson,allison_johnson_8265,91.0,32.1,85.2,"""Note: Relationship throw matter recent quickly, then Likely""","""What area sing west factor, Way never Police indeed one"""
Troy Hardy,troy_hardy_3642,82.0,81.1,52.2,"""Computer religious; Yes , Simple""","""(Particular produce continue) , Total and Appear impact home news"""
Jennifer Austin,jennifer_austin_2421,98.0,44.1,96.2,"""Learn fast tend; Season unit eat baby , Build involve truth""","""Several or: Win each, While kid federal"""
Jesse Taylor,jesse_taylor_3074,30.0,60.1,6.2,"""(Behind child) , Ball speak and Law back""","""(Around their) , Appear number and Can and"""
Toni Hart,toni_hart_6658,73.0,78.1,17.2,"""Image tonight boy case: Experience strategy leave, All""","""Your hundred, Rise Upon carry"""
Ricky Rice,ricky_rice_8520,6.0,48.1,33.2,"""Cultural expert: Price off, Good college""","""Book hit ball yet stop whose; Fact whether , Long spend those end real"""
John Hobbs,john_hobbs_9825,31.0,38.1,42.2,"""Itself since buy economy with into: Fly, Left tend treatment""","""(Ahead) , Together whose and Read popular star next"""
Robert Williams,robert_williams_0053,84.0,89.1,95.2,"""Note: Military care, then Difficult step blood arm land""","""(Send machine detail) , Day and City win across option"""
Rebecca Sanchez,rebecca_sanchez_6555,73.0,80.1,73.2,"""Carry enter: Important those girl, Night color too choice""","""Resource deep bad late: Possible, Rock thus"""
Tyler Kerr,tyler_kerr_8557,86.0,90.1,,"""(Reflect must) , Surface himself be and Job role""","""Note: Difference, then City more condition act"""
Anna Potter,anna_potter_1632,12.0,70.1,84.2,"""(Check claim yet behavior) , Family population and Against author page""","""Situation in, Ago power street service Force country three account other"""
