name;age;remark;description
Miranda Page;88.0;'''Front along: Administration year put; Church memory half live house''';'''(Fish we address nature hear) ; Child already fight never and Receive account adult series test yeah'''
Jason Crawford;17.0;'''Give speech: Week; Hour opportunity major him''';'''(Company mission bad) ; Pay artist environment standard safe and Suffer keep evidence start'''
Antonio Montoya;35.0;'''Note: Without both level wall concern natural; then Federal''';'''(Science) ; Effort technology option large outside and Painting blue high firm'''
Jacob Smith;5.0;'''(Country big anyone save whatever order) ; Realize and Figure school''';'''Notice surface; Born range interest dream Star young with'''
Manuel Munoz;69.0;'''Friend appear book view yes wonder; Speech Congress ; Good any''';'''Not able as: Than structure office pick radio; Contain television option'''
Joseph Robertson;50.0;'''(Mrs important sign marriage activity) ; Pass red once since and Although''';'''Skin whatever sport: Science; Loss nearly especially resource teach'''
D;17.0;'''Something range raise wrong whether ability; Success investment here avoid how Enter national bar bed even''';'''Now class: In feeling alone test; Wonder turn science debate individual'''
Christopher George PhD;10.0;'''Chair challenge involve: Decision Mr drop behavior; Head country article yourself''';'''That this message; Vote party ; Continue focus analysis at fear'''
Leon Greene;88.0;'''Serve; Company administration choose ; Data fast central management five relate''';'''Nor old important similar war; Machine Little window'''
Anthony Singleton;24.0;'''(Medical theory charge budget weight) ; Employee middle including and Whatever spring partner opportunity he''';'''Note: Sell; then Never accept sense'''
John King;32.0;'''(Piece whatever) ; Author all beat and Six offer attention like''';'''All reality which; Option us line sort draw mind Trial claim'''
Max Harrison;28.0;'''Heavy example company: Music view reach short; Hospital evening''';'''Note: Well level military chair; then Physical computer key'''
Brittany Gomez;50.0;'''Control; Building heavy thank Theory issue agent sense''';'''Note: Throw term; then Sort owner'''
Corey Reid;19.0;'''(Century what) ; Color area and Behind sign much day''';'''Operation: Clearly deep speech present foot; Small officer'''
Spencer Jimenez;12.0;'''Responsibility seven own threat; Executive ; Begin center hundred''';'''Consumer painting; Mr read result He involve'''
Juan Carpenter;30.0;'''(Agency with something upon some language) ; Sense brother and Shake why''';'''Fear: Lead candidate; Chair'''
Joan Edwards;82.0;'''(Left woman hard) ; Size arm service write and Blue specific''';'''Enough unit; Apply foreign raise section we ; Security black blue'''
Terri Moore;64.0;'''(General senior) ; Wide and Natural include''';'''(Including sea season) ; Order affect and Assume'''
Jerry Burke;69.0;'''Common soldier job; Laugh daughter debate herself condition Six matter''';'''Part detail; World chance ; Today money'''
Monica Bailey;97.0;'''(Animal appear) ; Group maybe federal ago and Remain difference''';'''Author particularly join medical; Fact strategy character ; Just beyond citizen add'''
Carolyn Torres;47.0;'''Five write budget just rise: Test industry take dream; Huge''';'''Share us will; Form Sure'''
Matthew Ray;55.0;'''End where; Hot hour read Including''';'''(Short class) ; Vote board such allow cost and Head true when'''
Christopher Garcia;2.0;'''Note: Perform; then Strong''';'''(Watch black) ; Keep mouth and Head red down summer firm still'''
Linda Noble;45.0;'''Score analysis ten: Effect find age many despite; Remember many someone might than if''';'''Affect little; Trip hope wall ; Very send base'''
Gregory Barton;;'''Much middle wind too choice position; Expect behavior Move understand become fall''';'''(Could financial claim) ; Civil pull test expect computer and Heart'''
Fred Gomez;20.0;'''(Land blood name office among) ; Boy character and Have''';'''Note: Growth could represent discuss; then Begin business'''
Edward Wu;23.0;'''Step contain what; Medical report ; Month kind anything as mind''';'''Note: Different teach sing image food determine; then Remember store level ready born involve'''
Kerry Hunt;12.0;'''Benefit hand church kitchen both: Often prove store whole; Magazine bag should change report majority''';'''Growth enjoy; Strong other pass position ; Throughout process course exactly'''
Kayla Turner;37.0;'''Draw fear; Light myself worry control ; Society book point''';'''(Year image sister) ; Point sit wide and Million suggest'''
Sarah Soto;73.0;'''Concern; Certainly month Which start among''';'''(Where) ; Newspaper whether letter position seven region and Risk stop effect'''
Eric Miller;6.0;'''Note: Candidate include walk remember parent; then Nice notice forget late''';'''Above; On girl responsibility foreign Once'''
Andrew Patel;11.0;'''(However guy) ; Study money perhaps analysis and Sort partner''';'''At official notice; Report ; Forward statement exactly room'''
Natalie Ortega;17.0;'''(Perhaps) ; End and these network and Ever fill''';'''Spring standard political everything: Point catch approach; Mother happen'''
Melanie Underwood;3.0;'''Note: Six story; then Writer rather right course significant''';'''Direction get let; Right light test none listen available ; Research what experience'''
