name	username	salary	remark	message
Bradley Avery	bradley_avery_2346	15.0	'''Choose note north; Claim since 	 Us around'''	'''Financial off voice institution range	 Sign with Soldier thousand knowledge'''
Michael Gilbert	michael_gilbert_5550	43.0	'''Bank voice note	 Morning course Might environment special'''	'''Note: Bar mean public already ground store long	 then They drive help perform'''
Bobby Fischer	bobby_fischer_2730	42.0	'''Feel grow; Late resource end affect 	 Particular at soldier standard'''	'''Science white: Everyone	 Employee'''
James Brown	james_brown_5969	43.0	'''Note: Manager here	 then News spring resource'''	'''Firm even; Start send particularly back soon season 	 Suddenly'''
Rodney Lee	rodney_lee_7698	67.0	'''Note: Enough that	 then Dream dark board week'''	'''Note: Stop president	 then Player important me'''
Gregory Lee	gregory_lee_1175	44.0	'''Note: Dark budget administration recently	 then Pull difference'''	'''Note: Rock	 then Music'''
Richard Johnson	richard_johnson_2271	47.0	'''Stop effort stop out: Door little	 Until suddenly'''	'''Page measure say: Article perform each alone	 Need improve employee reflect'''
Troy Anderson	troy_anderson_5486	43.0	'''(Music people) 	 Front outside career TV and Keep century'''	'''(Citizen design fish personal against positive might) 	 Source almost common medical mean and Thus forward view responsibility only'''
Rebecca Stark	rebecca_stark_4867	28.0	'''(Yet feel he) 	 Agree and Other sound American stage begin'''	'''Issue trial	 Author method Agreement ago a'''
Teresa Maddox	teresa_maddox_8269	17.0	'''Note: Allow song own firm rock	 then Gun find may operation'''	'''Program manage those responsibility be	 Today between enter so Education third save'''
Michael Garcia	michael_garcia_5465	35.0	'''Reason couple	 Degree Who price'''	'''Note: Because away public	 then Daughter clear'''
Robert Thomas	robert_thomas_5486	86.0	'''Affect player case Democrat; Body 	 State shoulder new analysis'''	'''Customer issue sit: Hold oil Democrat	 Us four'''
Michelle Green	michelle_green_4976	26.0	'''Recognize before same activity man both; Radio account animal worry glass 	 Impact light brother'''	'''Note: Like radio report class	 then Exactly four coach dog'''
