username;name;rating;price;salary;summary
kelly_thompson_2151;Kelly Thompson;99.0;28.1;63.2;'''Bill stage: Energy sell air; Time small'''
donald_cook_9106;Donald Cook;97.0;72.1;46.2;'''Measure; Range attention onto Threat then why'''
natalie_thompson_7489;Natalie Thompson;59.0;95.1;34.2;'''Cup after: Sure save heavy; Early leave up add necessary'''
kelsey_bailey_1911;Kelsey Bailey;34.0;93.1;26.2;'''Note: Structure economic current; then Husband offer'''
tiffany_long_7456;Tiffany Long;29.0;9.1;63.2;'''(Tv best) ; Sit your and Subject coach identify'''
ivan_anderson_6398;Ivan Anderson;84.0;79.1;7.2;'''(Entire policy often eye according however) ; Note call foreign and Option throw Mr'''
andrew_harris_8917;Andrew Harris;100.0;23.1;37.2;'''Rather floor leg: Attack clearly; Within term truth us recently'''
shannon_cruz_9616;A;63.0;17.1;68.2;'''Test station must among: Author together fact source recognize president; Want interview health left economic'''
sheila_lee_6120;Sheila Lee;;11.1;71.2;'''Section bill trouble; Action since place Individual yard'''
miranda_wilson_4766;Miranda Wilson;35.0;18.1;94.2;'''Million suddenly local from; Must activity moment charge both Notice program'''
gregory_bennett_8652;Gregory Bennett;30.0;64.1;98.2;'''Campaign office hard; Nature ; Indeed town even'''
rachel_chan_8991;Rachel Chan;63.0;67.1;76.2;'''Note: Already feeling or result standard; then Practice business key'''
martin_scott_8179;Martin Scott;99.0;1.1;86.2;'''Night special: Coach choice stuff that; Conference us always'''
ana_brown_7537;Ana Brown;14.0;36.1;94.2;'''Audience family against myself ball; Us traditional Toward southern indicate else'''
zachary_ortiz_7281;Zachary Ortiz;91.0;61.1;16.2;'''Black buy; Item important Successful consumer'''
matthew_montoya_9084;Matthew Montoya;68.0;19.1;41.2;'''Soon especially follow little yeah; Window wind ; Step policy'''
christopher_reeves_0307;Christopher Reeves;57.0;58.1;27.2;'''Note: Natural through action technology; then Clear nature physical'''
zachary_ray_8105;Zachary Ray;54.0;100.1;15.2;'''Note: Hold color agreement; then Ahead yes'''
katie_morris_9268;Katie Morris;86.0;94.1;34.2;'''Note: Although democratic bar bit; then Campaign'''
brad_hernandez_5532;Brad Hernandez;53.0;21.1;99.2;'''Note: Type cup; then Election maybe'''
diana_nguyen_0371;Diana Nguyen;34.0;51.1;12.2;'''(Particularly effect lot) ; Happen way and Thing show'''
keith_phelps_1129;Keith Phelps;96.0;14.1;60.2;'''Coach develop artist control: Mind four science however whole; In'''
wesley_mclaughlin_8705;Wesley Mclaughlin;69.0;50.1;48.2;'''Note: Particularly fine; then Budget'''
james_larsen_7672;James Larsen;36.0;62.1;;'''Significant team line; Manage social event kind study Organization world teach control'''
john_gordon_1731;John Gordon;99.0;98.1;100.2;'''(Join book baby phone) ; National everything forward lawyer thus administration and Charge whose total hot'''
tonya_bautista_8879;Tonya Bautista;54.0;62.1;77.2;'''Responsibility; News national seven service bill Those space allow value hit other'''
ebony_jones_0922;Ebony Jones;37.0;77.1;23.2;'''(Hospital fall) ; House laugh travel method and Hospital'''
erica_smith_1819;Erica Smith;40.0;5.1;53.2;'''Government second middle value: Move performance involve; Position exactly'''
christian_santana_0352;Christian Santana;46.0;17.1;1.2;'''Itself market strategy; Keep perform head ; Pull writer voice plant'''
kristen_spence_0384;Kristen Spence;64.0;8.1;95.2;'''Summer eye adult seem will; Cut add ; Fact option'''
mrs_patton_1563;Mrs. Suzanne Patton;68.0;16.1;75.2;'''(Present easy) ; Carry even opportunity defense onto and Movie'''
carl_evans_3146;Carl Evans;13.0;61.1;30.2;'''Note: Charge too story; then Budget'''
megan_warren_2834;Megan Warren;98.0;51.1;82.2;'''Policy best; Summer thus Watch wait'''
tara_ferguson_6976;Tara Ferguson;2.0;71.1;87.2;'''(Television) ; Follow and Option enough image'''
robert_petersen_8288;Robert Petersen;97.0;27.1;100.2;'''Realize feel should; Lay security Same international hospital professor we knowledge'''
michael_norman_0606;Michael Norman;50.0;99.1;62.2;'''(Choice) ; Keep consider understand second purpose and Against including'''
gina_reed_5929;Gina Reed;100.0;5.1;19.2;'''Yet; Thank structure Onto treatment'''
dr_wolf_3877;Dr. Shaun Wolf;38.0;;98.2;'''(Word performance) ; In card and Success money'''
stephanie_frank_1285;Stephanie Frank;57.0;37.1;100.2;'''Especially early building understand low decide: Test treatment we; Green choice adult religious cup'''
robert_snyder_7202;Robert Snyder;30.0;66.1;87.2;'''(Hundred find world) ; Significant up trip work billion and Tv already'''
