name,total_count,remark
Christine Patel,19.0,'''Note: Esse ipsam, then Nisi dolore'''
Samantha Metcalfe,51.0,'''Quasi exercitationem tempora; Ab cupiditate , Molestiae voluptatum ea'''
Benjamin Matthews,51.0,'''Exercitationem alias: Voluptates inventore, Veritatis eos'''
Ellie Webb,43.0,'''Note: Doloremque architecto numquam ex, then Debitis nulla veniam'''
Stanley Patel,23.0,'''Nesciunt eligendi atque ad ea sapiente: Soluta, Minus vel'''
Dr Robert Leach,16.0,'''Note: Quam assumenda non, then Aut laudantium ad'''
Dean Jarvis,15.0,'''Note: Repellat, then Iusto ipsum exercitationem asperiores veniam vel'''
Dr Roger Singh,76.0,'''Porro magni rem ducimus fugiat; At voluptatem autem deserunt , Unde blanditiis saepe quos voluptate'''
Lauren Spencer,42.0,'''(Esse doloremque) , Voluptatum adipisci and Porro ad voluptatem sint aperiam'''
Dr Maurice Riley,4.0,'''Note: Quos ab nam laudantium, then Autem nostrum'''
Norman Stone-Brown,42.0,'''(Facere adipisci) , Ducimus and Repudiandae facilis officiis magni id'''
'Dr Jay O''Connor',44.0,'''Delectus: Nemo omnis, Consequatur'''
Paul Tyler,18.0,'''Omnis nemo: Numquam, Excepturi mollitia harum'''
Martin Field,,'''Sequi nisi fuga; Ab aliquam expedita magni , Ea dolore sapiente rem dolorum'''
Dr Kerry Wright,10.0,'''Note: Nihil maxime similique, then Quas aut ratione'''
Miss Rosie Sheppard,97.0,'''(Amet modi) , Iste commodi and Recusandae'''
Rebecca Chandler,56.0,'''(Debitis aspernatur reiciendis) , Ratione optio ipsam pariatur alias and Voluptate natus'''
Vanessa Barker,43.0,'''Tempore temporibus ratione et beatae cumque; Nulla ea magnam sunt , Quasi'''
Nathan Frost,100.0,'''Quos assumenda odio voluptas ipsam; Impedit aut itaque maiores ducimus quos , Illo odio'''
Elizabeth Ward,39.0,'''Distinctio, Deleniti deleniti quibusdam exercitationem nihil Voluptatum eaque in saepe libero'''
Mrs Sara Day,35.0,'''A odio dolorum, Libero quo ex quis Saepe sapiente eaque'''
Jonathan Cole,99.0,'''Blanditiis; Cum laudantium fugiat fugiat nisi , Alias inventore magnam maiores autem'''
Dr Douglas Smith,68.0,'''Note: Ex nostrum, then Ipsam doloremque veritatis occaecati'''
Christian Hawkins-Bray,89.0,'''Debitis blanditiis, Qui repellendus Ea est nulla voluptatum sed'''
A,19.0,'''Illum cum sint earum omnis sed; Placeat id illum at error , Veniam eligendi laudantium'''
Carolyn Brookes,12.0,'''Modi nulla beatae; Veritatis eius numquam magnam voluptates , Est maiores'''
Katie Hunt,80.0,'''Consequuntur sit corporis nemo; Accusantium iure cum porro , Impedit non'''
Jill Hughes,48.0,'''Note: Fuga cum delectus, then Cupiditate non ipsam pariatur alias'''
Terry Andrews,80.0,'''Inventore ullam nihil explicabo in rem; Autem laudantium minima dolorem repellat , Eaque aut'''
Hilary Atkinson-Stone,98.0,'''Temporibus dolor, Earum vero Recusandae'''
Dr Lauren Baker,67.0,'''Note: Nesciunt optio iure, then Labore vel'''
Alan Holt,57.0,'''(Voluptate vero) , Laborum maiores fugiat distinctio and Optio odio qui architecto doloribus'''
Dr Lauren Smith,69.0,'''Quas porro mollitia et; Vero , Unde soluta at'''
Dr Antony Hawkins,84.0,'''(Quisquam labore praesentium) , Veritatis and Natus et'''
Louis Gray,4.0,'''(Reprehenderit ullam ducimus omnis) , Consequatur and Quam dolorem laudantium iusto quia'''
Dr Jake Hall,52.0,'''(Rem repellendus) , Error autem quisquam and Cum'''
Sophie Baker,62.0,'''(Enim quae) , Blanditiis tempora and Dolorem dicta vel'''
Georgina Miller,44.0,'''Note: Doloribus, then Beatae voluptates quibusdam perferendis explicabo esse'''
Gail Barnes,5.0,'''Note: Repellat, then Repellat vero repudiandae quasi'''
Josephine Young-Swift,54.0,'''Maxime sit ipsum aperiam, Ipsum officiis Exercitationem fugit neque adipisci sit enim'''
Billy Howell-Jones,98.0,'''Similique sapiente culpa, Placeat totam officiis sed iusto cum Odio voluptatem nobis'''
Leslie Brennan,7.0,'''Cupiditate, Quia architecto similique Quasi dolore est sequi soluta'''
Holly Phillips,14.0,'''Doloremque, Beatae molestias Fuga animi'''
Alice Green,68.0,'''Note: Saepe, then Inventore quo quasi repudiandae'''
Kate Morris,64.0,'''(Impedit) , Est sunt and Facilis'''
Alison Thomas,50.0,'''Perspiciatis beatae architecto beatae, Libero Odio distinctio laudantium'''
Joan Lloyd,10.0,'''Quod iusto aut repellendus, Odit excepturi cum Soluta vitae illum'''
Angela Powell,35.0,'''Note: Error iusto, then Accusamus'''
