name,username,salary,price,rating,review
Mr Bryan Hartley,mr_hartley_7146,21.0,20.1,23.2,"""Placeat perspiciatis reprehenderit illo; Hic nesciunt , Adipisci"""
Zoe Thomson,zoe_thomson_1146,8.0,13.1,18.2,"""Note: Quam illum deserunt, then Vitae voluptatibus esse reprehenderit placeat"""
Jacqueline Jones-West,jacqueline_west_2496,90.0,47.1,9.2,"""At repellendus; Consectetur commodi , Magnam odio delectus iste deserunt"""
Mr Andrew Brown,mr_brown_8059,96.0,43.1,31.2,"""(Animi in nisi voluptatibus officia eos) , Dolor and Molestiae voluptatem"""
Dr Dennis Adams,dr_adams_7395,26.0,86.1,50.2,"""Officiis, Occaecati alias aut reiciendis Omnis laudantium nulla quaerat eos"""
Kenneth Mills,kenneth_mills_4615,8.0,87.1,1.2,"""(Facilis tenetur est) , Assumenda officia consectetur saepe and Officiis animi"""
Jade Briggs,jade_briggs_2947,31.0,81.1,64.2,"""Iste reiciendis doloremque iusto, Tenetur Veritatis temporibus est ut"""
Gavin Cooper,gavin_cooper_5112,8.0,22.1,63.2,"""(Est sit cum) , Eveniet cumque libero mollitia and Asperiores corrupti quidem provident"""
Dr Lewis Harvey,dr_harvey_2085,83.0,49.1,97.2,"""Note: Deserunt sint, then Voluptatem maiores"""
Ann Bailey-Jarvis,ann_jarvis_0186,76.0,7.1,77.2,"""Note: Odit quasi eos reiciendis autem, then Iusto optio totam"""
Billy Kerr,billy_kerr_6680,34.0,91.1,50.2,"""Libero, Harum ex Libero"""
Jean Bentley,jean_bentley_2401,21.0,32.1,94.2,"""(Sit) , Numquam hic neque placeat and Dolor totam laudantium iure blanditiis"""
Dr Jade Henry,dr_henry_7141,18.0,64.1,70.2,"""Repellat et veritatis dolores, Nam debitis iste fugit Animi nulla"""
Dr Elaine Lee,dr_lee_1562,41.0,56.1,90.2,"""Iure totam; Sunt occaecati , A"""
Holly Thornton,holly_thornton_8200,17.0,74.1,36.2,"""Note: Architecto eum consequatur, then Deleniti distinctio"""
Leah Walsh,leah_walsh_3389,40.0,55.1,47.2,"""In architecto recusandae; Corporis explicabo illo at optio , Exercitationem unde corrupti"""
Teresa Gough,teresa_gough_1868,99.0,84.1,39.2,"""Quidem corporis, Ad aliquam totam neque labore Quos optio neque"""
Helen Jones,helen_jones_3975,95.0,7.1,38.2,"""Quos nam consequuntur: Labore, Nisi esse ipsa"""
Peter Clarke,peter_clarke_1212,63.0,77.1,19.2,"""Minus praesentium incidunt adipisci: Ab quisquam pariatur, Consectetur ipsum voluptates nulla accusantium quasi"""
Harry Brown,harry_brown_1004,82.0,13.1,82.2,"""Expedita nostrum atque maxime molestiae: Saepe consequuntur, Magnam expedita cum"""
Neil Jackson-Douglas,neil_douglas_6372,8.0,80.1,73.2,"""Sapiente pariatur; Voluptatum velit ipsam atque , Eligendi ipsa quod"""
Katy Carter,katy_carter_5329,76.0,80.1,52.2,"""Note: Aperiam, then Minima minima nihil illo optio"""
D,dr_poole_1518,87.0,34.1,34.2,"""Odit dolor reprehenderit pariatur; Reiciendis , Magnam illo"""
Leah Noble-Macdonald,leah_macdonald_8364,95.0,,93.2,"""Iste dolore quo nihil debitis; Molestiae nemo sapiente , Ex similique"""
Molly Patterson,molly_patterson_3274,2.0,79.1,16.2,"""Note: Perspiciatis inventore explicabo, then Dolore placeat"""
Keith Lloyd,keith_lloyd_4686,29.0,22.1,23.2,"""Est fugit alias, Optio ut iusto nobis quam cum Id mollitia est"""
Hazel Parkinson,hazel_parkinson_0021,80.0,56.1,22.2,"""Laborum, Tempora omnis facilis Nulla odio alias delectus"""
Mr Derek Adams,mr_adams_8328,70.0,12.1,96.2,"""Note: Modi corporis possimus atque eaque ex nihil, then Esse minus veniam"""
Mr Bernard Webster,mr_webster_2392,18.0,71.1,35.2,"""Ipsam illum, Quia velit Quam voluptatibus vel"""
Chloe Carter,chloe_carter_8417,1.0,37.1,31.2,"""Note: Fugit molestiae reiciendis, then Aliquid fugit"""
Mr Raymond Miller,mr_miller_6754,47.0,27.1,51.2,"""(Saepe) , Quae and Sequi repellendus"""
Ellie Nixon,ellie_nixon_4313,58.0,91.1,55.2,"""Voluptatibus ullam illo, Sint autem ducimus facere Magnam id debitis"""
Mohammed Briggs,mohammed_briggs_0060,,17.1,29.2,"""Note: Officiis cumque autem voluptatem animi, then Architecto laboriosam ipsam minima aut"""
Glen Kelly-Mason,glen_mason_7683,87.0,56.1,62.2,"""Corporis nisi: Id repellendus provident, Nulla aliquid"""
Frank Henderson,frank_henderson_0770,48.0,99.1,,"""(Dignissimos exercitationem vel) , Excepturi and Nihil repellendus"""
Mr Craig Hartley,mr_hartley_4290,70.0,52.1,37.2,"""Note: Molestias culpa ipsam, then A assumenda eius porro"""
