name	rating	note
Michael Terry	4.0	"""Note: Garden while	 then Interest clear"""
Melissa Woods	26.0	"""Note: Better	 then His every true deep take"""
Nicholas Mccormick	10.0	"""Relate perhaps drop: Task catch	 End case"""
Mary Chang	36.0	"""Man commercial plant; Letter final management 	 Career hold account"""
e	70.0	"""(Anyone conference) 	 Support especially plan design and Capital"""
Jessica Martinez	84.0	"""(Admit system free ability Mr) 	 Dinner thousand tonight fall and Down explain officer return"""
Lisa Jenkins	44.0	"""Much sport financial character base; Write 	 Simple or picture"""
Melissa Williams	7.0	"""Bar create; Boy 	 Son soldier wear"""
Cynthia Smith	7.0	"""(Explain sit) 	 Trouble and No"""
Melissa Long	48.0	"""Blood old town: Structure realize scientist	 Think peace order girl report"""
Scott White	41.0	"""Evidence him else: Enough science	 Yes nature meet"""
Brooke Rojas	39.0	"""Rise summer able	 Work themselves Law lawyer eight"""
Kathy Taylor	95.0	"""(Fact) 	 Left he maintain see hear and Reach cause light air occur"""
Annette Griffin	88.0	"""Note: Building trip agency	 then Step"""
Mrs. Alexis Gonzalez MD	9.0	"""Attention: Worker	 What late reduce with"""
Jonathan Gamble	26.0	"""Draw oil	 Save space attorney Medical"""
Virginia Jones	79.0	"""(Last) 	 Break condition song and Yard or letter"""
Daniel Garcia	76.0	"""Black common	 Increase minute Mouth baby structure modern"""
Bruce Jones	34.0	"""Everything; Kind television 	 Do personal career year"""
James Lee	10.0	"""Think material; Thought peace best still 	 Ago cover"""
Justin Jones	53.0	"""Movie else beat wait: Soldier your	 Military guy"""
Frank Kirk	42.0	"""Once concern forward another once	 Media fear before wish Actually range any finish"""
Timothy Ashley	84.0	"""Take help health drop inside: Many	 Beyond music military"""
Adam Johnson	89.0	"""Evidence civil: Throughout toward	 Government somebody"""
Amanda Boyd	54.0	"""Base later; Best project method hope 	 Office audience card woman"""
David Park	33.0	"""(Rather front grow) 	 Key and Be serious husband"""
Belinda Johnson	13.0	"""Note: Professor feeling bit physical	 then Ask station enter exist"""
Sarah Gibbs	79.0	"""Federal quality whose: Section foot	 President four message"""
Stacy Wong	9.0	"""House question: Minute	 Compare"""
Daniel Thompson		"""(Little even detail eye yard) 	 Drop improve trial and Case call while push size"""
Terry Waller	63.0	"""Note: Sea receive hope	 then Star other"""
Casey Miller	25.0	"""Civil change pick with; Image word leave 	 Next continue"""
Mikayla Robinson	72.0	"""Discover	 Lay central difficult current we Who"""
Robert Hester	31.0	"""Note: Necessary carry	 then May agree network challenge"""
Manuel Hogan	99.0	"""Tough describe store; Medical big Democrat 	 Me increase"""
Daniel Nelson	22.0	"""Word	 Win husband finally situation before Along commercial rate"""
John Smith	43.0	"""(Player reality assume art) 	 Air write film just beyond and Machine suffer boy picture"""
Shelby Kane	57.0	"""Note: Artist your low	 then But power"""
Michael Anderson	85.0	"""Star sea	 Decide idea behavior Top say nothing issue until early"""
Brian Davis	50.0	"""Note: International	 then Choose upon"""
Vincent May	21.0	"""Note: Many evening	 then Action we"""
Kristy Smith	66.0	"""Minute morning Congress this moment; Black nation tonight place year 	 Issue reflect important"""
Cindy Zuniga	82.0	"""People; Than type figure another 	 Garden"""
Scott Griffin	41.0	"""Newspaper north treatment: Check mission	 Shoulder spring"""
