# This is a comment line to skip
name;age;price;score;summary
Mark Palmer;98.0;99.1;9.2;"""Veritatis laudantium deserunt; Eligendi assumenda molestias a ; Nihil natus"""
Miss Sally Baker;25.0;67.1;46.2;"""Fuga odit sit fuga debitis; Nihil neque minus Suscipit"""
Nicola Walker-Russell;50.0;80.1;97.2;"""(Hic nam tempore voluptates illum) ; Maiores doloribus minima and Aperiam eaque"""
Maria Parry-Stevenson;90.0;61.1;73.2;"""Note: Dolorem tempore odit est; then Odit"""
Olivia Duncan;68.0;41.1;18.2;"""(Molestiae blanditiis vel dolorem minus) ; Dolores aut and Quia totam"""
Dr Anthony Goodwin;44.0;85.1;59.2;"""(Numquam perferendis tenetur) ; Unde laudantium and Ratione"""
Dr Liam Elliott;49.0;42.1;100.2;"""Note: Repudiandae iure; then Quidem harum earum fugiat"""
Ms Diana Taylor;42.0;28.1;27.2;"""Odit et dolorem; Vitae magni occaecati Ad beatae"""
Margaret Gray;19.0;48.1;;"""Provident ipsa quia assumenda; Architecto Enim accusantium"""
Jeremy Moss;24.0;61.1;54.2;"""Nihil; Corrupti laboriosam molestiae Consectetur ea quaerat laudantium totam"""
Lindsey Jackson;37.0;82.1;12.2;"""Note: Consectetur libero; then Totam quisquam repudiandae ea"""
Dr Douglas Lewis;18.0;52.1;31.2;"""(Vero sequi quae) ; Fugit doloribus consequuntur and Accusantium dolores"""
Mandy Wood;84.0;66.1;75.2;"""Nisi quas reprehenderit veritatis; Libero pariatur animi ; Veniam distinctio"""
Alan Allen;18.0;34.1;37.2;"""Note: Natus ipsam; then Ex ipsa"""
Miss Mary Barber;31.0;28.1;90.2;"""Note: Corporis molestiae quod cupiditate vero; then Dolores expedita iusto facilis"""
Neil Davies;88.0;55.1;62.2;"""Note: Sit eaque earum; then Explicabo totam"""
Garry Phillips;20.0;19.1;14.2;"""Aliquid ut alias; Laborum aut dolorem blanditiis Iure quibusdam"""
Neil Hunt;50.0;60.1;22.2;"""Vitae fugit; Quo ; Eius"""
Joel Page-Dixon;13.0;64.1;91.2;"""Note: Pariatur tempore enim quia corrupti; then Aut ea aliquid vero minus"""
Louis Johnson;21.0;80.1;70.2;"""Mollitia: Rerum architecto distinctio; Odit illo"""
Adam Gill;71.0;46.1;86.2;"""Itaque voluptate; Inventore ; Repellat tempore alias"""
Dr Jacob Hussain;;70.1;88.2;"""Nemo cupiditate; Dolor ipsa Numquam quo aperiam dignissimos quia"""
Oliver Finch-Hughes;95.0;59.1;15.2;"""Dolore ipsam laborum adipisci: Illum molestias architecto; Incidunt fuga ipsa architecto a"""
Mr Henry Thomas;13.0;17.1;35.2;"""Consequuntur natus distinctio deserunt; Molestiae Perferendis"""
Hayley Jones;33.0;90.1;78.2;"""Note: Fugit aliquam; then Dignissimos"""
Norman Atkinson;58.0;52.1;24.2;"""Maxime accusantium inventore; Provident accusantium eum molestiae repellendus ; Possimus nihil aliquam sit"""
Elliot May;42.0;97.1;41.2;"""Ad rerum mollitia necessitatibus: Eaque non; Quas maxime"""
Brian Barton-Brown;88.0;55.1;19.2;"""Ad cumque; Saepe dolor perferendis ; Aperiam omnis provident tempora"""
Aaron Price;14.0;;79.2;"""Note: Sunt at eos; then Quod deserunt quas dolorem quae porro"""
Dr Ryan Robson;7.0;36.1;36.2;"""Maxime amet asperiores cupiditate ea; Consectetur ut iste ipsa Molestias eligendi eos"""
Duncan Goodwin;86.0;56.1;26.2;"""Note: Delectus autem; then Possimus soluta et corrupti"""
Dr Tracey Jarvis;98.0;26.1;53.2;"""Ut commodi facere ratione voluptates dolore; Quia quasi cum fugiat ; Nam deleniti libero sapiente recusandae voluptatibus"""
Colin Kelly;41.0;98.1;65.2;"""(Iure) ; Sit dolor modi maxime amet and Itaque quisquam"""
Natasha Sanders;99.0;72.1;77.2;"""(Optio mollitia quis) ; Vitae corrupti illum harum quisquam and Modi quidem"""
Billy Brown;25.0;62.1;32.2;"""Officia autem adipisci sequi; Aliquam repellendus similique aliquid ; Labore magni"""
o;33.0;27.1;6.2;"""Voluptate id voluptate voluptatem ex; Laboriosam magni quisquam tempore quos Cumque unde"""
Anthony Yates;22.0;83.1;4.2;"""(Doloremque voluptatem praesentium excepturi) ; Quidem eos and Vel sapiente"""
Carole Hamilton;67.0;57.1;32.2;"""Note: Porro; then Ducimus in"""
