username;name;salary;rating;summary
connor_haney_3147;Connor Haney;100.0;62.1;"""Note: Agreement whatever; then Many house hot production instead"""
zachary_cox_5867;Zachary Cox;16.0;82.1;"""Toward produce mission detail born; Just family Sense back"""
marco_wright_7708;Marco Wright;50.0;55.1;"""Thousand culture; Better close ; Star prove long north"""
alexandra_sanchez_2996;Alexandra Sanchez;71.0;12.1;"""Myself degree; Street southern local whatever across administration Generation capital interesting"""
joseph_villa_1637;Joseph Villa;66.0;69.1;"""Third Congress maintain respond; Pull gas Professional"""
michael_guerra_2309;Michael Guerra;12.0;27.1;"""Wear: Indeed rock name picture stand; See try society write sell"""
christopher_ortega_1182;Christopher Ortega;88.0;89.1;"""New tough change onto: Father born instead use; Time family mind"""
melinda_douglas_7190;Melinda Douglas;48.0;4.1;"""Approach million; Successful others require ; Administration shake billion new attorney"""
amanda_melton_9187;Amanda Melton;32.0;88.1;"""(Little person half) ; Glass success growth and Place ok"""
benjamin_williams_4283;Benjamin Williams;4.0;59.1;"""Base someone general; Defense summer ; Quite notice each"""
ariana_boyle_7724;Ariana Boyle;43.0;84.1;"""Note: Notice admit floor activity; then Above"""
peter_rodriguez_7063;Peter Rodriguez;;21.1;"""Note: Consider; then Focus example Mrs process"""
johnny_diaz_4081;Johnny Diaz;53.0;64.1;"""They attack significant; Effort door peace Top business read"""
geoffrey_sanders_4417;Geoffrey Sanders;39.0;51.1;"""Avoid voice morning; Girl camera ; Course project bad many"""
tiffany_howard_3245;Tiffany Howard;5.0;7.1;"""Design country: Test analysis; Gas trouble party"""
amy_harper_9547;Amy Harper;94.0;88.1;"""Training evening; First mother information let Bit major fine"""
michele_dorsey_8090;Michele Dorsey;79.0;69.1;"""Growth whatever or care; As local them ; Color west hear"""
evan_campbell_1535;Evan Campbell;46.0;26.1;"""(Up PM authority program) ; Thing and and Certainly top"""
christine_stewart_2427;Christine Stewart;84.0;35.1;"""Agency can security: Today others lay figure mention behind; Full president everyone note four"""
jonathan_knox_0741;Jonathan Knox;72.0;62.1;"""Similar break let; Surface professor ; Character provide"""
christine_woods_7603;Christine Woods;26.0;44.1;"""(Medical clearly book keep) ; Worry and Fight over large consider"""
rebecca_harvey_7340;Rebecca Harvey;25.0;65.1;"""Note: Product involve; then About own discuss"""
matthew_baker_5633;Matthew Baker;78.0;84.1;"""Actually since; Strong Picture news"""
steven_montgomery_1177;Steven Montgomery;71.0;68.1;"""Hold down media these conference action; Like than can surface ; Significant avoid necessary reduce"""
jeremy_miller_7076;Jeremy Miller;16.0;70.1;"""(Room official) ; Stay and Continue business blood"""
christopher_hayden_1979;Christopher Hayden;23.0;7.1;"""Majority until or; Tv miss course ; Language war expert"""
amber_cruz_6005;Amber Cruz;23.0;8.1;"""(Music them across television traditional) ; Camera and Move staff establish"""
karen_johnson_2747;Karen Johnson;10.0;63.1;"""(Man thought water left) ; Skin machine space case and His carry"""
ryan_simpson_5582;Ryan Simpson;6.0;81.1;"""Building fight night end; Trial kid Difficult dark teach"""
elaine_cook_3773;Elaine Cook;63.0;83.1;"""Final condition side; Other contain ; Gas"""
steven_brown_5853;Steven Brown;64.0;98.1;"""Still; Clearly Different head"""
jennifer_luna_9430;Jennifer Luna;73.0;4.1;"""Many; Main remember strong Window"""
robert_rodriguez_5665;o;87.0;28.1;"""Take character she cause important; Wind ; Material whether majority data"""
angela_castillo_9421;Angela Castillo;90.0;46.1;"""Perhaps purpose tax; Carry talk ; Ahead film there risk claim"""
christopher_rogers_0118;Christopher Rogers;21.0;9.1;"""Area stay discover develop writer key; War building hour bag ; Parent head"""
joseph_kelly_4867;Joseph Kelly;86.0;31.1;"""Note: Figure hit own operation support television; then Challenge hospital language"""
nancy_moore_7497;Nancy Moore;64.0;44.1;"""(Interview difficult) ; Coach indeed during situation and Best discover fill game certain doctor"""
courtney_cardenas_8274;Courtney Cardenas;29.0;54.1;"""Note: Challenge difference brother should floor; then Real speech too scene fund"""
dan_campbell_6900;Dan Campbell;16.0;97.1;"""Note: Stuff Mr; then Something also remain"""
jason_wallace_9667;Jason Wallace;47.0;30.1;"""Age loss moment: Social far whether trade clearly; Environment wide provide"""
michael_brown_7662;Michael Brown;75.0;44.1;"""With; Buy particularly Mother so"""
elizabeth_morris_6212;Elizabeth Morris;95.0;49.1;"""(Once down method play sure) ; Ability easy and Oil air"""
brett_knight_4932;Brett Knight;24.0;19.1;"""Author PM; Above necessary miss how commercial ; Help hospital wish marriage spring cut collection"""
samuel_jones_8195;Samuel Jones;98.0;;"""Draw social to; Plan east Never concern real"""
