name,age,summary
Anthony Garcia,79.0,'''Add, Surface Join loss wife'''
Brandon Clements,71.0,'''(Company both) , Side piece wife and Condition increase'''
Allen Mills,53.0,'''Word third material: Long office present anyone, Save'''
Andrew Waters,52.0,'''Beautiful next cultural child end share: Far live social these, Me form'''
 ,20.0,'''Coach fast not; Develop , Treat huge trip'''
Christopher Harris,55.0,'''(Star phone decade) , Whether food again film and Join agency market provide'''
Molly Olsen,46.0,'''Expect anyone: Process computer theory sometimes, Here'''
Jesus Edwards,84.0,'''Social: Individual type fear, Girl'''
Elizabeth Cox,87.0,'''Hospital under keep, Reduce Miss talk'''
Billy Jones,91.0,'''Whole could shoulder, Administration put grow Order important high'''
Ryan Bridges,51.0,'''Concern hundred send particularly; Born water , Product long'''
Elizabeth Hess,91.0,'''Seven defense they authority decade; Without address whom , Break'''
Shannon Henderson,42.0,'''(Nature green local can another) , Sport yeah floor and Foreign morning'''
Kathryn Frazier,,'''(Culture open during necessary security) , Clearly seek and Board service morning'''
Jonathan Knight,78.0,'''If pull; Democrat pay color community amount , Change word site'''
Antonio Newton,82.0,'''Newspaper oil go: His kitchen various, Baby'''
Tyler Crosby,35.0,'''Note: Can billion region history concern, then Include arrive place difficult'''
Michelle Cervantes,16.0,'''Scene: Television, Any sure face'''
Sean Wilson,17.0,'''Test dream, Hope live person Too run'''
Jeffrey Johnson,11.0,'''Around then; Question have determine brother , His mission off film'''
