name,username,salary,summary
Ross Austin,ross_austin_9251,51.0,"""Measure dinner use month least: Low family alone, While different"""
Bryan Gutierrez,bryan_gutierrez_2567,19.0,"""Keep for: Loss successful despite, Campaign better"""
Connie Huffman,connie_huffman_2069,75.0,"""Tax peace somebody; Off could alone , Series themselves admit box blue"""
Jason Smith,jason_smith_2958,,"""Simple water; Outside watch hold control in , Heavy share way"""
Richard Adams,richard_adams_3264,73.0,"""Spend happen go government rather; Walk , Law rich spend suffer"""
James Bates,james_bates_5171,24.0,"""(Off) , Everything according employee party and Generation light education for"""
Courtney Martin,courtney_martin_3686,100.0,"""Throughout lay: Difficult whole, Development"""
Sheila Cruz,sheila_cruz_9815,90.0,"""Note: Especially rock from son consumer, then Peace"""
Carlos Martin,carlos_martin_9587,5.0,"""Note: Through choose, then Point strategy clear"""
James White,james_white_2373,53.0,"""Never bed, Exist customer Talk author"""
Jennifer Ballard,jennifer_ballard_6554,67.0,"""Enter prove, Since describe happen trade Couple"""
Brooke Miller,brooke_miller_2054,73.0,"""(Increase) , Movie later effect too cold and While pull charge"""
Chelsea Harris,chelsea_harris_7785,80.0,"""Fight him bed: Past child grow, Treatment gun statement grow"""
Michael Morris,michael_morris_6533,47.0,"""Sometimes recognize: Serve kitchen rest if, If"""
Susan Lloyd,susan_lloyd_5316,3.0,"""Right them: Student quickly low commercial, Help strategy question necessary"""
Nicholas Gibbs,nicholas_gibbs_7635,51.0,"""Top special; Result join according meeting , Sit again better"""
Bonnie Larson,bonnie_larson_1014,64.0,"""Note: Miss discover, then Sign country"""
Teresa Garza,teresa_garza_6429,74.0,"""Mrs leave score reveal: Sort hand environmental five night, Beautiful clearly because"""
Jennifer Dean,jennifer_dean_9126,71.0,"""Cover: Alone career leg condition agreement, Over for local"""
Douglas Hartman,douglas_hartman_0712,6.0,"""Street condition international position; Hand system east , Prepare center"""
D,jennifer_smith_8472,81.0,"""Identify study fire accept: Federal break specific great, Federal"""
Sheryl Moss,sheryl_moss_7943,27.0,"""Expect; Event yes continue you , Standard nearly common do"""
Matthew Daniels DVM,matthew_dvm_1492,88.0,"""Move them so, Green son nearly wind rest Exist have oil customer"""
Tammy Young,tammy_young_2522,99.0,"""Woman participant, Letter issue together Yourself only"""
Charles Harris,charles_harris_8012,51.0,"""Guess compare worry, Particularly family store Truth"""
Jason Riggs,jason_riggs_9871,41.0,"""(Service true likely color) , Total employee like several and Generation cut sea"""
