name;score;price;rating;comment;description
Leah Daniels;34.0;71.1;88.2;'''Accusamus officiis magnam a; Debitis corporis Numquam''';'''Aliquam temporibus vel ducimus laudantium; Eligendi perspiciatis ; Quas at atque'''
Lucy Saunders;31.0;97.1;10.2;'''Note: Architecto beatae tempore; then Vitae nisi dolore ratione''';'''Occaecati ex repellat; Expedita Debitis id numquam'''
Frank West-Griffin;81.0;31.1;49.2;'''Quam odit: Ratione quidem mollitia; Dignissimos''';'''(Beatae temporibus) ; Numquam repellendus and Iusto molestiae fugit animi'''
Mitchell Watson-James;49.0;46.1;8.2;'''Veniam aliquam nemo maxime harum illum: Est; Molestias tenetur''';'''Consequatur officia; Modi numquam animi nesciunt ; Dolor dolorem ullam'''
Ann Simpson;52.0;81.1;28.2;'''Eveniet repudiandae odit laudantium praesentium veritatis: Similique minus accusantium esse; Magnam qui porro explicabo nulla''';'''Sapiente minima eligendi; Modi dolore ; Fugit quaerat quos inventore'''
e;;57.1;97.2;'''Fugit voluptatem vel: Eaque quaerat; Voluptatem vel''';'''Aperiam aperiam; Quis vitae Voluptate odit modi'''
Elliott Richards;20.0;81.1;92.2;'''Id impedit; Ipsam nisi Suscipit dolor delectus natus''';'''Note: Cupiditate iure eius expedita illo; then Animi porro voluptatibus'''
Edward Hardy;23.0;73.1;88.2;'''Doloribus; Similique repudiandae Suscipit harum accusamus hic''';'''Itaque enim: Natus molestias at libero tempora; Numquam'''
Derek Wilson;24.0;19.1;;'''Ea delectus dicta amet: Doloremque ducimus asperiores; Sequi nisi doloribus veritatis''';'''Note: Expedita quasi; then Expedita pariatur alias accusantium'''
Victoria Turner-Clarke;26.0;33.1;24.2;'''Officiis sint suscipit; Fuga culpa eius reprehenderit quae ; Eaque debitis quod''';'''Eos dicta repellat; Culpa nesciunt amet in Odit laudantium'''
Dr Lee Rowe;4.0;81.1;15.2;'''Note: Veritatis; then Impedit ipsum eveniet totam''';'''Culpa unde cumque odit: Sit magni; Enim placeat totam'''
Jennifer Johnston;87.0;49.1;9.2;'''Odit culpa; Sapiente sed vitae placeat aliquam incidunt ; At similique''';'''Natus temporibus ex laborum rem: Blanditiis ab libero; Placeat veniam maiores'''
Mr Martin Read;40.0;99.1;37.2;'''Rerum: Laboriosam; Recusandae''';'''(Corporis voluptas placeat) ; Quasi consequatur impedit inventore ab and Nam dicta'''
Marcus Curtis;3.0;13.1;5.2;'''(Eius saepe rem sapiente vero vitae) ; Provident vitae itaque and Maiores iste''';'''Ab illum excepturi accusantium; Magni ipsum rem ea Laboriosam asperiores quo'''
Dr Danielle Johnston;23.0;98.1;4.2;'''Aliquid tenetur debitis; Nobis illo ut repellendus ; Non''';'''(Dolore odio provident commodi) ; Sapiente suscipit magni quo hic and Eum velit'''
Dr Damien Gallagher;2.0;90.1;57.2;'''Note: Recusandae provident; then Eveniet suscipit dicta eum illo inventore''';'''Eaque aliquam consectetur: Ab deserunt ipsum voluptas maxime; Neque'''
