name,username,salary,score,total_count,summary,note
Ross Bruce,ross_bruce_0289,44.0,9.1,25.2,"""Nulla est ad; Maiores officiis , Quo delectus nobis ducimus ut autem""","""(Libero aliquid eum) , Ab fuga vero fugit and Optio"""
Jill Smith-Shepherd,jill_shepherd_4653,62.0,65.1,33.2,"""Occaecati id cumque, Nesciunt aut provident libero molestiae quidem Unde nisi iste placeat""","""(Alias commodi) , Atque and Ratione ipsa molestias illo quibusdam"""
Darren Murphy-Hill,darren_hill_6864,2.0,23.1,54.2,"""(Debitis minus veritatis) , Deleniti and Voluptas magni eius doloribus""","""Totam; Quidem , Adipisci consectetur pariatur"""
Michael Newton,michael_newton_4102,82.0,82.1,82.2,"""(Consequuntur) , Cupiditate and Nam a""","""Ad alias repellendus ex numquam, Sed Doloribus unde"""
Gregory Smith,gregory_smith_6909,95.0,93.1,55.2,"""Porro corporis nulla sed accusamus animi; Deserunt excepturi quas illum eligendi officia , Harum dolorem""","""Officia vero, In voluptas animi Harum quis"""
Mr Leslie Law,mr_law_8746,42.0,42.1,84.2,"""Accusantium sequi et aperiam est blanditiis: Illo cumque possimus ullam, In minima odio architecto in""","""Magni sunt atque; Eum neque nesciunt sunt esse , Maxime beatae officiis tempora enim"""
Mr Russell Simmons,mr_simmons_0075,1.0,38.1,22.2,"""(Porro maiores quidem) , Distinctio mollitia provident quas and Aliquam vero""","""Saepe: Error vitae cumque optio, Vero rem"""
Kenneth Murray,kenneth_murray_0984,53.0,94.1,88.2,"""(Voluptates esse impedit nesciunt placeat) , Corrupti cupiditate corrupti aut aliquid and Iste iste vero dolorum""","""Note: Id porro id eligendi, then Consectetur sint totam sunt amet"""
Annette Wallace,annette_wallace_8931,75.0,21.1,74.2,"""(At animi iste iusto) , Debitis ullam and Sint iusto enim at perspiciatis""","""Ullam voluptatum nemo illo neque, Debitis neque a eius Ipsa sunt magnam laborum adipisci"""
Olivia Savage,olivia_savage_3034,96.0,63.1,55.2,"""Maiores cumque: Culpa quisquam officiis temporibus debitis possimus, Tempora""","""Iste reiciendis: At consectetur, Voluptas"""
Amelia Boyle,amelia_boyle_1245,85.0,50.1,46.2,"""Note: Voluptate mollitia optio eum sunt, then Consequatur explicabo saepe""","""Esse delectus asperiores: Dicta amet neque eaque quisquam, Maxime"""
Rosie Bennett,rosie_bennett_6728,17.0,45.1,26.2,"""Sint dolorum: Illum nihil hic aut repellendus inventore, Ipsam labore voluptatum""","""Provident exercitationem deserunt: Assumenda, Exercitationem"""
Mr Christopher Baxter,mr_baxter_3042,57.0,25.1,66.2,"""Note: Quia quasi debitis, then Possimus alias""","""Note: Qui occaecati soluta fuga fuga, then Ipsum blanditiis nemo dolorem iusto"""
Douglas Bailey,douglas_bailey_5537,34.0,29.1,29.2,"""Maxime ipsam; In praesentium voluptates , Provident neque eos""","""Eaque: Eos id delectus, Perspiciatis"""
Grace Adams,grace_adams_3674,76.0,16.1,77.2,"""Accusamus quis quaerat quae; Quos nostrum molestias , Quam""","""Tenetur dolore quasi ipsam qui; Quos repudiandae fugit rerum quas , Eligendi eius unde quas culpa"""
Duncan Jones,duncan_jones_5360,5.0,72.1,79.2,"""Illo deserunt aliquam quae tempora reprehenderit, Dignissimos Quidem""","""Ipsam error: Quae laudantium maxime quam molestiae nisi, Quisquam laborum"""
Anna Hopkins,anna_hopkins_1380,15.0,12.1,35.2,"""Note: Saepe nisi impedit, then Iste rerum""","""(Animi laboriosam eius) , Aspernatur iure a and Ullam ratione"""
Jack Davis,jack_davis_0921,4.0,69.1,37.2,"""Note: Nemo, then Officiis animi""","""Maxime nihil cumque, Harum Tempore laborum"""
Dr Dale Hunt,dr_hunt_8696,,1.1,68.2,"""Ducimus iusto: Occaecati dolores in quae, Deleniti iusto nostrum illo""","""Labore eum illo, Maiores ipsam occaecati Voluptates veritatis omnis placeat exercitationem"""
Shirley Phillips,shirley_phillips_6868,19.0,68.1,28.2,"""Officiis voluptatem corrupti excepturi: Blanditiis impedit eos, Temporibus vel""","""Ipsam consectetur officia maiores, Dignissimos suscipit inventore ipsam rerum Odio quos corrupti animi"""
A,mr_thomas_9851,43.0,5.1,30.2,"""Note: Non, then Consectetur deleniti assumenda culpa aperiam""","""Alias incidunt dolore iusto beatae eius animi; Officiis quae doloribus voluptatum sit aliquid , Necessitatibus"""
Mr Stuart Collins,mr_collins_8542,92.0,58.1,82.2,"""Note: Debitis, then Magni""","""Voluptatem accusantium molestiae: Ratione ullam voluptatem maxime officia, Quas"""
Jonathan Bray,jonathan_bray_0391,63.0,69.1,93.2,"""Note: Rem illo magnam molestiae, then Fugit asperiores illo""","""Consectetur quod deserunt aut quas; Architecto odit , Unde eum occaecati voluptatibus"""
Joanne Rogers,joanne_rogers_1206,36.0,7.1,34.2,"""Laudantium modi nobis: Eligendi necessitatibus, Mollitia dolorum""","""Natus reprehenderit quod adipisci accusantium: Asperiores sint, Atque recusandae sapiente occaecati"""
Mr Brian Palmer,mr_palmer_1334,16.0,76.1,28.2,"""Note: Dolore maiores molestias, then Totam voluptatum""","""Officia laboriosam consequatur ducimus, Aliquid voluptatem Autem soluta illo"""
Ms Leah James,ms_james_6439,15.0,,23.2,"""Magni dignissimos; Fuga molestiae consequuntur , Iusto dolore""","""Nobis cupiditate: Praesentium modi expedita, Aspernatur corporis explicabo"""
Jordan Jones,jordan_jones_7940,83.0,42.1,77.2,"""Tempora neque minima: Quam doloremque, Atque quis""","""Dolor, Assumenda Esse"""
Glenn Walsh-Begum,glenn_begum_2704,16.0,51.1,35.2,"""Laudantium corporis molestias; Distinctio , Ipsum placeat""","""(Dolor) , Explicabo and Minus"""
Miss Nicola Lewis,miss_lewis_8266,69.0,57.1,35.2,"""Possimus cum cumque: Veritatis, Ut asperiores dicta exercitationem molestiae in""","""Fuga eius esse; Modi inventore , Vero sit vitae maiores architecto"""
Brenda Walker,brenda_walker_9148,7.0,54.1,40.2,"""Note: Fuga eaque saepe rerum, then Velit saepe vel labore""","""Ab nulla: Quaerat expedita temporibus, Atque enim ea minus"""
Jacqueline Freeman,jacqueline_freeman_9374,25.0,60.1,64.2,"""Note: Error eos rerum dicta nesciunt laudantium, then Molestias magni ducimus""","""Note: Reiciendis soluta soluta maiores, then Tempore nihil velit"""
Mr Philip Francis,mr_francis_0059,14.0,86.1,48.2,"""Sequi ex veritatis dignissimos ad atque; Quasi culpa sunt tempore , Quae magni quaerat eum et""","""Accusantium illo, Accusamus autem Perspiciatis praesentium"""
Michael Marshall-Sutton,michael_sutton_4723,21.0,14.1,,"""Eius quaerat inventore quo optio, Fugiat Magnam asperiores amet omnis debitis dolorem""","""Note: Impedit aut, then Ad quibusdam"""
Michelle Holmes-Byrne,michelle_byrne_3265,58.0,91.1,57.2,"""(Autem quod non iste enim) , Molestiae beatae and Consequatur cumque""","""Note: Dolore id, then Optio aut fuga"""
Rebecca Matthews,rebecca_matthews_1382,57.0,24.1,29.2,"""Pariatur; Praesentium iure , Illum modi""","""Ratione doloribus: In, Voluptate ipsam magni iure dolore"""
Kimberley Vaughan-Smith,kimberley_smith_8513,86.0,46.1,86.2,"""Magnam asperiores; Tenetur placeat voluptatem accusamus eligendi accusantium , Similique cumque dignissimos""","""Vitae adipisci; Unde , Asperiores ad nobis reprehenderit et"""
Dr Valerie Clarke,dr_clarke_5186,70.0,61.1,26.2,"""Ipsa minima possimus; Officia necessitatibus quisquam possimus modi itaque , At eos suscipit""","""Occaecati; Dolorem , Incidunt aliquid"""
Mr Bradley Perry,mr_perry_5501,46.0,88.1,54.2,"""Sit at, Commodi Omnis praesentium fugit nulla sed""","""Quas nisi quas: Molestias, Quis consequatur voluptatem nostrum soluta"""
Gregory Begum,gregory_begum_9775,80.0,100.1,8.2,"""(Enim occaecati et dignissimos) , Perferendis debitis saepe deserunt and Rem maxime eum""","""Repellat quasi, Ullam asperiores voluptatem ullam Illo"""
Jemma Holmes,jemma_holmes_6324,89.0,57.1,2.2,"""Note: Optio animi ipsum, then Soluta voluptates soluta excepturi""","""Note: Incidunt eius, then Ea harum"""
Judith Duncan,judith_duncan_4576,13.0,61.1,55.2,"""(Ad itaque ratione numquam aliquam exercitationem) , Expedita explicabo and Necessitatibus nihil nostrum quibusdam""","""Note: Suscipit ut mollitia eius voluptatibus, then Culpa"""
