username	rating	score	salary	comment
daniel_king_0118	77.0		75.2	"""Note: Ab maiores rem a provident	 then Enim harum soluta non"""
ms_howells_6516	26.0	81.1	61.2	"""Magnam numquam iure	 Magni facere explicabo quos Nostrum animi quisquam"""
dawn_baker_5867	85.0	79.1	97.2	"""Enim ratione tempore molestiae natus	 Corporis aut aliquid Doloremque quibusdam"""
joan_hawkins_5006	81.0	8.1	93.2	"""Aperiam eligendi; Nisi aliquid recusandae 	 Odit"""
phillip_newton_1906	76.0	47.1	12.2	"""Note: Unde beatae a non	 then Dolore esse"""
mr_harvey_2335	77.0	19.1	3.2	"""Libero ab excepturi: Mollitia delectus repellendus a	 Occaecati aliquid nisi quis"""
nicola_carr_5046	50.0	80.1	54.2	"""Eveniet	 Saepe minus Quaerat fuga a quibusdam sed occaecati"""
mr_butcher_0123	29.0	58.1	47.2	"""(Suscipit quod fuga) 	 Ad error quisquam and Incidunt impedit minus assumenda rem illo"""
denise_smith_1361	14.0	30.1	58.2	"""Vitae	 Itaque nobis officia Reprehenderit ullam"""
frances_lyons_8568	100.0	17.1	45.2	"""(Reiciendis sit laudantium exercitationem aliquid) 	 Fuga illum et odit and Corrupti necessitatibus tempora earum consequatur in"""
neil_ferguson_4175	78.0	57.1	72.2	"""(Deserunt) 	 Mollitia consequatur incidunt and Tempore fugiat"""
samantha_hooper_3673	21.0	52.1		"""Note: Recusandae enim fugiat earum ut	 then Corrupti dolorem necessitatibus eum non"""
dominic_ward_2940	93.0	90.1	89.2	"""Voluptas hic reprehenderit	 Recusandae voluptatum corporis Numquam velit voluptatibus"""
nicholas_reynolds_5817		44.1	89.2	"""Ea recusandae consectetur sit: Mollitia	 Deserunt rem"""
albert_randall_1756	87.0	15.1	30.2	"""Quam maiores error accusantium aliquid impedit; Eaque qui recusandae tenetur sapiente 	 Commodi"""
matthew_barnes_8787	16.0	91.1	86.2	"""Laborum et similique unde doloremque; Modi nesciunt reprehenderit porro officia 	 Ipsam architecto"""
miss_davison_5444	32.0	46.1	62.2	"""Aperiam distinctio sit eligendi esse; Sunt placeat similique eius voluptas 	 Impedit facere"""
wayne_king_3665	46.0	93.1	39.2	"""Perspiciatis expedita veniam hic	 Enim voluptatem id Asperiores ipsam"""
lorraine_wilson_8484	80.0	13.1	84.2	"""Note: Quo	 then Ut laborum tempora eius"""
lucy_johnson_1296	68.0	80.1	91.2	"""(Cum quasi) 	 Nihil minus error facere and Harum"""
dr_kirk_0374	89.0	34.1	99.2	"""Note: Perferendis	 then Ab nostrum dolor"""
heather_bond_4490	20.0	67.1	87.2	"""(Nihil fuga nulla voluptate vero) 	 Impedit dolor and Totam impedit"""
sam_butcher_2657	22.0	18.1	55.2	"""Note: Voluptates illum	 then Ex ex laborum"""
dr_smith_4931	30.0	73.1	20.2	"""(Quis libero ratione) 	 Commodi maiores saepe and Veritatis tempora"""
luke_robinson_7232	33.0	35.1	50.2	"""Itaque unde; Quae quam 	 Cumque"""
alexandra_patel_2491	55.0	76.1	99.2	"""Aut: Magni quidem facilis	 Itaque"""
paige_edwards_4899	17.0	47.1	19.2	"""(Architecto eius) 	 Fugit aspernatur and Corporis doloremque placeat"""
dr_scott_8761	58.0	16.1	23.2	"""Asperiores hic ducimus fuga accusantium	 Magni deserunt hic Vitae nihil"""
dr_miller_1799	97.0	65.1	6.2	"""Veritatis qui	 Commodi veritatis eveniet quia Repudiandae aliquam laborum non fugit"""
stanley_dale_9100	97.0	5.1	70.2	"""Animi consectetur: Numquam dolores quidem quisquam explicabo	 Error ipsum"""
ms_marshall_5682	11.0	9.1	85.2	"""Note: Voluptates tempore ea quaerat	 then Dicta adipisci"""
barbara_akhtar_2748	11.0	88.1	87.2	"""Note: Sapiente tempora	 then Quo"""
rosie_brown_9564	65.0	54.1	11.2	"""Exercitationem doloremque culpa	 Odio velit earum ex tempora Non natus necessitatibus placeat fugiat"""
harry_scott_6712	37.0	26.1	44.2	"""Note: Magni	 then Provident necessitatibus"""
