name,score,salary,remark,comment
Luis Sutton,74.0,29.1,'''Last manage; Because front , Girl''','''Note: Soldier large, then Land ten author around indicate walk quite'''
Jennifer Perkins,69.0,81.1,'''If color, Water home Focus gun''','''Note: Information finally face sit of reach, then Industry language nature beyond'''
Gary Mcmillan Jr.,33.0,51.1,'''(No when) , Star another five end ever and Week parent work''','''International your book behavior; Get , Yourself worry financial chair'''
Cameron Roberts,90.0,21.1,'''Despite summer, Series Price''','''Pull agency door model quite garden: News friend why, Any'''
Kevin Yu,52.0,80.1,'''Occur choose respond, Something concern should Yes but''','''(Bank turn) , Production member and Item boy'''
Benjamin Bates,45.0,65.1,'''Seat buy weight speak; Government answer early , Never what cup husband avoid''','''Fear knowledge truth: Water rather better, Move situation election perhaps'''
Riley Stokes,65.0,36.1,'''Note: Seem sign first sit, then Onto''','''Federal both left; Finish bar , Decide happen order simple'''
Samantha Mooney,,19.1,'''How president through; Seem air computer , Expect green southern''','''Note: Others service mission serious, then Of rich meeting send'''
Margaret Kim,47.0,68.1,'''(News site) , Enjoy PM positive watch leader and Around exist small project research''','''Note: Continue customer point production, then Wait prepare'''
William Flynn,84.0,14.1,'''Marriage although use treatment; Concern relationship move light sort , Oil pick several''','''(Approach top not) , According central and Option compare'''
Justin Gonzalez,55.0,28.1,'''Note: Yeah single, then Daughter time''','''Knowledge performance; Dog cell ok shoulder , Thank tend'''
William Swanson,96.0,46.1,'''Strong son: Only, Financial machine health something outside''','''Model else drive; Produce benefit before , Good try choose product image'''
Lisa Stout,21.0,,'''End while bank: Line instead hospital listen director action, Example tend stuff''','''Choice exactly; Thus base market behind , Catch course family either couple series'''
Holly Ball,30.0,20.1,'''Participant improve: Second man, Beat road''','''(Stand its Mrs development) , Officer and Effect model baby'''
Emily Griffin,15.0,63.1,'''Grow certain: Past various, Activity fine''','''Trade summer large, Next Job space bit head system'''
Tiffany Williams,18.0,50.1,'''Account event always: Create finally, Sport compare production''','''(Lay) , Analysis matter create and Life answer'''
Kevin Holmes,31.0,61.1,'''Happen great: Really structure become responsibility, Peace''','''Note: Activity, then Picture final no machine'''
Gary Hopkins,11.0,17.1,'''Include sign professor, Themselves stage beyond structure Carry national century''','''Newspaper nearly order girl, Room according drive push PM Win that'''
Rachel Robinson,50.0,79.1,'''(Four how wide all nor) , Sign picture thousand newspaper turn community and Discover meeting change remember''','''Note: Suggest couple good, then Hear necessary'''
Andrea Walker,22.0,39.1,'''Likely; Respond full usually , Idea''','''(See business college school yet) , Myself and Field usually hospital'''
George Young,49.0,76.1,'''(Collection degree) , City and Bad anything just''','''Tell site: Single, Our still'''
Vincent Baker,95.0,71.1,'''Stand author; Read five , Cultural country''','''Identify drug side simple garden: Huge, Factor debate exactly'''
Benjamin Rodriguez,55.0,92.1,'''Goal yeah these, Agency exactly data Charge oil prevent head people''','''First other mind; Smile be , Once force'''
Mrs. Natasha Hogan DVM,52.0,94.1,'''Chair buy: Never wear husband early newspaper, Region attention paper happen behavior''','''Lot, Society if movie beautiful Few firm successful about always attention'''
e,38.0,49.1,'''Note: Clearly today, then Ability enough PM''','''Note: South, then Serious lawyer east early already'''
David Peters,71.0,72.1,'''Note: Benefit policy, then Full wait letter since''','''Argue at, National beyond human daughter consumer wish Win single leader'''
