username	name	rating	salary	score	comment	summary
christian_brown_3133	Christian Brown	76.0	96.1	8.2	'''Term answer sound know general can	 Would tree Stop certainly phone'''	'''Four live national	 Most minute rest thank office Offer term'''
richard_riley_2587	Richard Riley	40.0	53.1	19.2	'''Crime benefit: Fight drug field	 Mention college stock final'''	'''Way; When prepare 	 Majority professional'''
jeffrey_thomas_7458	Jeffrey Thomas	88.0	11.1	66.2	'''Take technology: Local song off	 Manager'''	'''Station address	 Everybody despite Doctor'''
francis_matthews_8247	Francis Matthews	81.0	12.1	1.2	'''Few; Question allow continue hour 	 Finish'''	'''Note: Economic theory and away	 then Represent door current his hear'''
ryan_miller_5459	Ryan Miller	61.0	12.1	9.2	'''Send nothing	 Heart Season land director dog wrong'''	'''New fill this: Anything focus increase	 Your high no star'''
benjamin_moreno_5441	Benjamin Moreno	48.0	80.1	11.2	'''Between record; Ready also 	 Low alone security simply'''	'''Election number card	 Popular career yeah everything follow Amount why'''
michael_robinson_1168	Michael Robinson	94.0	40.1	93.2	'''Modern land visit almost apply: Pressure their finally	 Sure'''	'''Child current trip like	 Statement hand seem allow job Education question section'''
philip_blackwell_5725	Philip Blackwell	32.0	75.1		'''Note: Poor house remain	 then Bank base position even reflect'''	'''(Early impact pressure instead social) 	 Close bed and Short many on'''
cathy_myers_6196	Cathy Myers		81.1	99.2	'''Note: Morning somebody issue my	 then Young example'''	'''Production learn learn that: Ask with	 Develop because'''
kevin_williams_8292	Kevin Williams	48.0	11.1	19.2	'''Attack study sometimes: Medical	 Teacher health'''	'''(Last people goal its two) 	 Force identify already discuss and Song put'''
charles_gonzalez_8354	Charles Gonzalez	59.0	100.1	92.2	'''Practice more peace forget especially	 Help mother Hundred'''	'''(Produce) 	 Author nature and Remember activity us claim true'''
brandon_sullivan_7202	Brandon Sullivan	18.0	62.1	1.2	'''Security evidence record; Many 	 Without small call'''	'''Large majority; Almost call 	 Peace themselves'''
laura_rodriguez_9017	Laura Rodriguez	98.0	52.1	57.2	'''Note: Ok approach between	 then Light to'''	'''Note: Smile region	 then Sense avoid fly continue'''
jennifer_rodriguez_5472	Jennifer Rodriguez	92.0	35.1	24.2	'''(Should political class) 	 Media clear and Seem hundred'''	'''Election: Wall make north	 Last tell safe'''
wanda_hutchinson_8064	Wanda Hutchinson	73.0	57.1	84.2	'''Build report traditional Congress; Likely way 	 Fight believe'''	'''(Avoid true every) 	 Program past big and Boy bad beyond direction car'''
mary_gonzalez_9981	Mary Gonzalez	84.0	43.1	7.2	'''Force ability: Road yet growth somebody investment	 Kind'''	'''Play rise: Under range smile standard	 Garden'''
elizabeth_bush_4280	Elizabeth Bush	96.0	11.1	85.2	'''Show good performance; Better shoulder but art 	 Interest drop'''	'''Show meet; Include fall task 	 Fine our argue'''
april_miller_9124	April Miller	26.0	98.1	4.2	'''(Peace glass) 	 Television challenge behind commercial reach and Evidence provide'''	'''(Here art join) 	 Southern keep Congress and Exactly strong sport'''
katherine_mack_5671	Katherine Mack	9.0	39.1	45.2	'''Note: Carry imagine street	 then Later office tax manager nice pick'''	'''Town turn: Them	 Nearly recognize claim'''
kimberly_reyes_0277	e	64.0	25.1	10.2	'''Note: One wear	 then Into structure close cause'''	'''Whatever position level financial tell; Radio raise arrive cut 	 During art new rest kind affect'''
gabriel_warren_6507	Gabriel Warren	8.0	16.1	21.2	'''(Land still technology statement) 	 Several and Food little'''	'''Federal very coach nice: Both lot behind	 Put opportunity manage'''
daniel_md_5327	Daniel Peters MD	19.0	83.1	53.2	'''Could those suffer drug: Piece	 Full somebody'''	'''Two bed: About laugh member	 In line'''
misty_frank_7975	Misty Frank	44.0	51.1	27.2	'''Note: Than miss	 then Cold point'''	'''(Start person now set father loss) 	 While own own and Term them consider'''
kimberly_walsh_0312	Kimberly Walsh	34.0	68.1	28.2	'''Middle: Sea allow gun example improve source	 Officer buy friend consumer movement'''	'''Foot remember already; Million conference 	 Heart measure follow especially me'''
patricia_morris_6988	Patricia Morris	23.0	48.1	23.2	'''(Hit entire believe never) 	 Eat and Dream physical watch'''	'''Two thus until less: Should	 Send'''
mary_rosales_8309	Mary Rosales	21.0	70.1	6.2	'''Example science house; Argue ahead open 	 Off scene hospital near ahead walk'''	'''(Require pick similar coach) 	 Life each product agreement whom partner and Police any light radio we'''
