name	score	review	comment
Mr Howard Edwards	70.0	'''Note: Commodi magnam debitis dolorum	 then Veniam'''	'''(Cupiditate eius maiores) 	 Omnis omnis fuga iste quaerat and Earum iusto id rerum qui non'''
Jay Morris	90.0	'''Dolorem minima dolorum ad; Laborum culpa qui 	 Ducimus in voluptate magni'''	'''(Modi minima ducimus provident) 	 Mollitia and Sed id'''
Antony Newton-White	83.0	'''(Facere nesciunt) 	 Sunt and Deserunt'''	'''(Id tenetur magni) 	 Quam labore voluptates maiores and Quis delectus tenetur'''
Derek McDonald		'''Note: Voluptatem dolorem ullam	 then Similique ipsa accusamus'''	'''Repudiandae aliquam earum culpa; Doloremque mollitia sunt 	 Omnis quibusdam itaque dolorum'''
Lewis Hayward	49.0	'''(Quam eveniet) 	 Iste reprehenderit ducimus omnis and Laboriosam sequi porro quia'''	'''Laudantium saepe molestias	 Numquam ipsa enim Enim'''
Gareth Slater	12.0	'''(Quae possimus ea libero quos) 	 Vero ipsum and Sunt officiis'''	'''Nihil autem repellat odit nisi soluta	 Cupiditate eaque deleniti vero Temporibus'''
Emma Gardiner	32.0	'''Note: Laborum at a	 then Quasi enim'''	'''Note: Vel voluptas saepe	 then Repudiandae dolorum sint sapiente'''
Martin Dixon	16.0	'''Unde ipsum odit: Ullam fugiat	 Quos adipisci iure'''	'''Animi quidem in	 Unde vitae Sint perferendis'''
Adrian Collier	54.0	'''Nam autem; Rerum repellat quam sed laboriosam 	 Expedita distinctio'''	'''Neque ratione illum: Nesciunt	 Animi doloribus'''
Dr Kevin Stewart	88.0	'''(Excepturi voluptate aspernatur) 	 Occaecati molestiae illo fugiat and Cum'''	'''Tempora fugit atque quaerat in: Laborum	 Mollitia recusandae doloremque hic'''
Ms Suzanne Williamson	72.0	'''Note: Nihil pariatur ratione	 then Saepe'''	'''Illo reiciendis; Hic accusantium 	 Eum recusandae'''
x	73.0	'''Note: Sequi quos	 then Quam'''	'''Sint voluptatum quae laudantium magnam	 Nulla reprehenderit nesciunt inventore vero necessitatibus Ea sint neque'''
Gareth Woods	66.0	'''(Officiis ea) 	 Quis and Dolorem praesentium itaque'''	'''Quam	 Voluptatibus Exercitationem numquam perferendis vitae maxime'''
Dr Denise Bradley	27.0	'''Officiis dolores repellendus repellendus dolorum; Vero sequi illum nulla perspiciatis quos 	 Repudiandae'''	'''Explicabo praesentium quibusdam voluptatum: Nesciunt magni alias	 Veritatis incidunt'''
William Johnson	17.0	'''Note: Magni perferendis	 then Consequuntur aliquam'''	'''(Placeat neque cupiditate) 	 Pariatur iste fuga explicabo and Distinctio'''
Dr Alan Collins	70.0	'''Adipisci similique rerum eligendi	 Eveniet autem eos aspernatur Id'''	'''(Voluptatem) 	 Quae sunt iste excepturi and Aperiam animi'''
Ms Francesca Simpson	79.0	'''At ad: Cupiditate dolor	 Ducimus perspiciatis est'''	'''Accusantium fuga corporis quia placeat: Quod	 Soluta suscipit cumque impedit saepe'''
June Stevenson-Hargreaves	65.0	'''Soluta	 Culpa Perspiciatis impedit amet'''	'''Magni magnam repellendus	 Consequuntur Architecto iusto'''
Mr Frank Barnes	77.0	'''Voluptas a sint; Quaerat aut quia 	 Assumenda expedita ipsam distinctio provident'''	'''(Ad dicta sint iste et) 	 Occaecati tenetur est officia distinctio and Quia rerum'''
Dr Bradley Quinn	16.0	'''Aperiam similique	 Maiores adipisci deserunt animi Est optio'''	'''Id consectetur sapiente	 Praesentium cum Vel voluptatem voluptas'''
John Graham	91.0	'''Note: Beatae natus possimus earum	 then Possimus itaque dolores nam fuga'''	'''Repudiandae	 Veritatis Asperiores et placeat enim illo'''
