# This is a comment line to skip
username	name	price	score	age	note	remark
matthew_doherty_8874	Matthew Doherty	31.0	94.1	21.2	"""Voluptatibus modi iusto; Neque quam 	 Assumenda atque"""	"""Note: Dolorum quasi quae aspernatur	 then Itaque delectus"""
anthony_kelly_7125	Anthony Kelly	85.0	41.1	46.2	"""Dicta illo minima harum; Libero distinctio labore dicta 	 Consectetur"""	"""Aliquam sequi	 Voluptas ratione Delectus ex fugit"""
yvonne_young_4276	Yvonne Ashton-Young	98.0	64.1	98.2	"""Note: Totam inventore architecto	 then Impedit"""	"""Iusto	 Quibusdam magnam Itaque nemo provident quisquam"""
mr_kemp_0262	Mr Howard Kemp	36.0	38.1	25.2	"""(Amet quia) 	 Accusamus vel and Eos doloribus"""	"""Ipsam; Quis harum 	 Rem labore sequi"""
howard_doyle_5107	Howard Skinner-Doyle	60.0	45.1	36.2	"""Note: Accusamus at	 then Doloribus fuga"""	"""Ipsa accusamus est nulla porro; Officia esse 	 Facere ex eligendi incidunt"""
zoe_ball_5265	Zoe Farrell-Ball	16.0	59.1	39.2	"""Note: Sit sint modi esse	 then Sed soluta dolore assumenda"""	"""Note: Dolorum	 then Incidunt"""
angela_wilson_2317	Angela Owen-Wilson	31.0	64.1	81.2	"""Adipisci illum; Nesciunt eaque id 	 Temporibus molestias odit magni"""	"""(Porro fugiat) 	 Laboriosam ex ex totam adipisci vel and Fugiat minima"""
rachael_gilbert_5718	Rachael Hussain-Gilbert		36.1	8.2	"""Enim voluptas	 Alias Impedit"""	"""(In eaque neque) 	 Ipsa amet and Velit voluptates doloribus modi eveniet"""
brandon_sims_4146	Brandon Sims	66.0	7.1		"""Note: Architecto suscipit	 then Iusto"""	"""Voluptas alias unde	 Ipsam nam ea Ex dolores odio"""
katie_payne_3166	Katie Payne	86.0	64.1	40.2	"""Eos; At occaecati aperiam facere optio nam 	 Dicta"""	"""Officiis quo nihil accusantium quod	 Enim expedita assumenda Eveniet natus nostrum"""
mathew_clark_6803	D	29.0	6.1	21.2	"""Numquam cum fugiat	 Ab quam quod Deserunt"""	"""Totam ullam; Dolorum non enim reprehenderit 	 Deleniti voluptatibus consequuntur doloribus possimus"""
rachel_hill_1119	Rachel Hill	2.0	44.1	40.2	"""Officiis consequuntur sapiente	 Dignissimos nobis Deserunt ipsam numquam assumenda a"""	"""Officiis sit excepturi: Eaque in	 Maiores"""
henry_hall_5765	Henry Hall	33.0	44.1	73.2	"""Quod: Accusantium sed	 Vitae vero dolorum"""	"""Est non	 Nulla eum animi Fugit commodi"""
stewart_clark_0247	Stewart Clark	66.0		61.2	"""Perferendis; Facere 	 Culpa laboriosam voluptatibus"""	"""Dicta dolorum soluta: Provident optio	 Eveniet illo"""
malcolm_hawkins_5361	Malcolm Hawkins	59.0	32.1	24.2	"""Note: Iure eos iusto	 then Error illum minus"""	"""Note: Rerum quo qui	 then Dignissimos"""
duncan_kent_8132	Duncan Kent	81.0	8.1	72.2	"""Mollitia modi sed: Et	 Veritatis illum"""	"""Consectetur maxime: Harum earum facere aperiam	 Culpa repudiandae porro praesentium"""
judith_smith_7652	Judith Smith	52.0	23.1	24.2	"""Omnis eius esse aperiam officia repellat	 Ut iste Tempora aperiam recusandae"""	"""(In molestias nemo repellendus non) 	 Veritatis and Expedita cupiditate"""
catherine_booth_8505	Catherine Stevenson-Booth	59.0	46.1	90.2	"""Corporis id labore perspiciatis praesentium hic	 Numquam suscipit Praesentium provident"""	"""Atque: Quaerat non sunt aut	 Assumenda exercitationem recusandae"""
charlotte_jenkins_2122	Charlotte Jenkins	10.0	94.1	11.2	"""(Quam facilis fuga sequi) 	 Occaecati quam placeat and Ullam quia quam ipsa quos voluptates"""	"""Accusantium eveniet dolorem	 Repellendus inventore delectus Nemo commodi"""
kerry_spencer_1569	Kerry Spencer	57.0	48.1	19.2	"""Fugit veritatis; Non molestiae labore odio 	 Sed"""	"""Necessitatibus quasi alias quae facilis; Dicta 	 Animi temporibus"""
maurice_mitchell_8909	Maurice Mitchell	49.0	77.1	27.2	"""Omnis esse	 Et alias Inventore optio temporibus reiciendis magnam"""	"""At; Veritatis 	 Voluptatem natus itaque"""
