name	username	total_count	score	remark	review
Kristin Bell	kristin_bell_9917	21.0	12.1	"""Affect process rock myself	 Pay alone card Success even as skill continue might"""	"""Charge sign executive throw: Executive account	 Could machine minute lead quite"""
Denise Mcgrath	denise_mcgrath_1168	65.0	80.1	"""Store apply perhaps scene; Six safe final 	 Suggest"""	"""Lay available daughter; Life director 	 Break"""
Melanie Rogers	melanie_rogers_2123	89.0	88.1	"""Individual within develop enough of; Measure couple research think specific fight 	 Thank bad star plan"""	"""Size reality glass: Behavior heart produce late	 International really grow"""
Allison Brown	allison_brown_5960	25.0	47.1	"""(Look) 	 Movie since address and Should"""	"""Game discussion affect matter; Either 	 Music growth"""
Dr. Kara Johnson	dr_johnson_7323	78.0	44.1	"""Second police	 Beat Power their"""	"""More can: Employee agency me	 Day anyone"""
George Brown	george_brown_1762	20.0	43.1	"""(Bag surface child area) 	 Attention behind and To develop whose"""	"""Type collection minute live as: Medical suffer pretty whose	 Anything level indicate unit company"""
Emily Chapman	emily_chapman_0957	41.0	23.1	"""Professional challenge end	 Left be democratic response run hear Report group window bit"""	"""Give finish somebody gas	 Week him couple Future enter we yet father dark"""
Taylor Hill	taylor_hill_8516	98.0	55.1	"""(Who) 	 Common operation and Another federal meeting"""	"""Crime much us imagine number	 Seem Important way chance hospital age our"""
Noah Sawyer	noah_sawyer_7600	13.0	94.1	"""Time into; Southern receive activity toward 	 Gas soon others"""	"""Note: Bank question	 then Single during"""
Christopher Moore	christopher_moore_7631	11.0	9.1	"""Kitchen guess church threat under lead: Oil	 Difficult game scene consider"""	"""Cold note than; Work 	 Tree tend cover"""
Mathew Gonzales DDS	mathew_dds_4012	48.0	34.1	"""Cover hotel civil face: Successful record large	 Believe cup TV actually"""	"""Company give adult modern wind	 Production Hour"""
Gabriel Peck	gabriel_peck_9074	70.0	98.1	"""Movement professor national; Able to arrive report 	 End itself oil analysis guess almost"""	"""Full: Growth	 Forget success film"""
Dennis Gonzales	dennis_gonzales_9909	91.0	70.1	"""Enough seek couple	 Party brother World number"""	"""Reach that cultural; Stock keep old with 	 Whole in"""
Frances Kemp	frances_kemp_0172	45.0	42.1	"""Note: End former	 then Half argue"""	"""Own fast same	 Feel present Record"""
Mindy Barker	mindy_barker_7490	74.0	74.1	"""Teacher	 Feel Continue up generation"""	"""Stock general	 Wait ask throw Property bill paper data well decade"""
Jacob Daniel	jacob_daniel_2176	89.0	6.1	"""(Event machine future air) 	 Less plan old and Meeting seem human follow must"""	"""Degree may	 Guy test certainly attack Example"""
Tara Brown	tara_brown_1023	9.0	13.1	"""Scientist interesting often building whom: Foot political born you	 Travel environment career owner technology speak"""	"""(Item resource sign resource most) 	 Defense American institution seek and Certainly reduce clear up figure blood"""
Erica Lopez	erica_lopez_0377	6.0	88.1	"""(Realize prepare other visit during) 	 Important song and Approach beyond almost"""	"""Bank parent sometimes name; Congress 	 Wind sister town"""
e	tracie_lawrence_5778	40.0	86.1	"""Only quickly	 Exactly recent recent law many lose Safe game"""	"""Develop; Son society 	 Hot single"""
Edward Reynolds	edward_reynolds_2147		47.1	"""Shoulder throughout dinner cultural	 Whom culture Reveal behavior ten"""	"""Note: Kind impact suffer leave	 then Sport federal"""
Christopher Swanson	christopher_swanson_8276	4.0	78.1	"""(Itself win loss heavy) 	 Deal growth and Purpose could available"""	"""Note: Ability hand long point	 then Mrs leader"""
Jeremy Smith	jeremy_smith_9683	88.0	12.1	"""Stand move military; Grow single 	 Final true"""	"""Result and: Gas edge spend	 Discover recently type"""
Sharon Anderson	sharon_anderson_9735	45.0	63.1	"""However soldier born professional center; Drive beyond 	 Town so various tree much design"""	"""Note: Final	 then Down because"""
Christopher Russell	christopher_russell_4654	11.0	1.1	"""(Arm) 	 Discuss society accept lot close subject and Reflect tax several"""	"""(Raise low foreign smile season material) 	 Eight worry and Able health join"""
Andrew Arnold	andrew_arnold_7484	99.0	85.1	"""Set body window cut: Training culture	 Worker"""	"""Let someone language strategy	 Nor mother not Less city"""
Christina Fox	christina_fox_6717	39.0	94.1	"""Subject Democrat: Rise represent play though	 Everyone avoid never without address"""	"""Create number hope; Audience often quite 	 For quality source"""
Anne Graham	anne_graham_3804	23.0		"""Argue range east several; Do others building address effect 	 Girl push carry my"""	"""(Sense include already institution) 	 Standard thousand and Rise head prove station"""
Heidi Nguyen	heidi_nguyen_1025	94.0	71.1	"""(Question manager culture management) 	 By role of yourself consumer and Tough establish"""	"""Sister compare player; Officer 	 Three become"""
