name	rating	total_count	salary	comment
Kayla Pratt	9.0	99.1	17.2	'''Morning indicate: Century final wish	 Us just everyone recently'''
Nicole Le	75.0	95.1	52.2	'''Sometimes amount may page: Red suddenly by	 Outside move kitchen its'''
Daniel Skinner	46.0	65.1	70.2	'''Nature guess	 Participant each Then former beyond full wife own'''
Adam Brown	26.0	27.1	31.2	'''Not smile cover: Under loss rich	 Decision book'''
Duane Montes MD	85.0		52.2	'''Herself issue: Describe late	 Or free'''
Julia Ramirez	84.0	39.1	74.2	'''Note: Box season	 then Act usually'''
Christian Howell	99.0	67.1	35.2	'''Many among special company	 Coach laugh Admit if'''
Kevin Villarreal	94.0	49.1	33.2	'''Director	 Exist then significant hard lot Maybe picture Mr song'''
Nicole Bennett	16.0	6.1	86.2	'''(Although want both event particularly somebody) 	 Other explain by western choice economy and Investment'''
Cameron Bush	65.0	18.1	99.2	'''(Other themselves less action) 	 Big board and Surface trade leader'''
Morgan James	36.0	38.1	38.2	'''(Kind) 	 Head and Pm'''
Joseph Johnson	83.0	27.1	83.2	'''Since industry quickly several	 From party glass pass interview Term push fly mouth'''
D	28.0	58.1	78.2	'''Charge nearly	 Space all Single action'''
Scott Rodriguez	34.0	22.1	38.2	'''Social again professional: Claim carry	 Live rise'''
Elizabeth Flowers	72.0	4.1	31.2	'''Any early difficult; Example onto us 	 Stock hour per message front benefit'''
Justin Keller	26.0	88.1	62.2	'''Happy look involve city	 Marriage bad Recognize generation exactly'''
Steven Evans	52.0	68.1	93.2	'''(Which despite its) 	 Provide top and Adult picture officer'''
Jeremy Olsen	45.0	86.1	9.2	'''(News ago) 	 Try college drive great expect career and Catch onto'''
Christopher Rogers	87.0	97.1	16.2	'''(Four describe) 	 Course owner and Leader wide'''
Nicholas Case	49.0	73.1		'''Quality: Share	 Detail'''
Bruce Garcia	26.0	68.1	49.2	'''Rather end during particularly power; Air natural office 	 Short our as'''
Theodore Rodriguez	31.0	80.1	1.2	'''Score modern; Continue against 	 Mother its once knowledge'''
Erika Herman	50.0	85.1	23.2	'''Range: Page economic	 Throw trial'''
Janet Love	21.0	3.1	34.2	'''Course control next another article; Itself discussion hit 	 Doctor majority assume certain'''
Adam Reyes	14.0	87.1	40.2	'''Note: Mr	 then Fine reach road'''
Jesse Martinez	40.0	81.1	55.2	'''Note: Discussion whom	 then Build loss finally which decade answer'''
Lori Taylor	43.0	43.1	36.2	'''Tv result physical dog than; Just down feel 	 Process'''
Amy Vargas	66.0	87.1	95.2	'''Address; Chance realize south 	 Fear fight'''
Katherine Jones	5.0	76.1	71.2	'''(Stop their suggest manage) 	 Child away something child produce their and Film help under college role authority'''
Bailey Delgado	51.0	45.1	65.2	'''Note: Factor pass south	 then Campaign'''
Lindsey Hays	47.0	29.1	72.2	'''Imagine; Place morning career 	 Federal total economic'''
James Miller	42.0	97.1	14.2	'''(Name occur process interview) 	 Production civil analysis and There what discuss example'''
Charles Johnson	24.0	20.1	95.2	'''Note: Property ability maintain	 then Trouble individual'''
Michael Allen		21.1	63.2	'''Note: Speak heart shake	 then Identify student hotel'''
Michael Coleman	54.0	14.1	98.2	'''Note: Officer other design seek both born	 then Enough against'''
William Lin	93.0	83.1	91.2	'''Half: See	 Myself'''
