# This is a comment line to skip
name;score;rating;price;review
Mrs. Jessica Perez;50.0;8.1;88.2;'''Bag the between: Arm; Article behavior continue'''
Micheal Osborne;;83.1;49.2;'''Table two couple; Special process Design firm'''
Mckenzie Parrish;40.0;61.1;75.2;'''Performance because reason evening; Power likely Training'''
Steven Henderson;45.0;75.1;47.2;'''Practice new: Cell manage customer; This through'''
Emily Padilla;39.0;74.1;21.2;'''(Pretty magazine) ; Film order and Green onto yourself'''
Thomas Wright;88.0;91.1;1.2;'''Note: Window method; then And ball out response act'''
Jenna Monroe;59.0;30.1;29.2;'''Back make: Rest pretty; Environmental development skill pass'''
Lisa Mcguire;84.0;10.1;;'''Note: Form only; then Animal situation room top degree interview'''
Maria Hoffman;77.0;96.1;73.2;'''Note: Art white Congress; then Imagine study'''
Jennifer Johnson;82.0;56.1;14.2;'''(Away course) ; Outside country get and Site line'''
Jacob Patton;2.0;80.1;37.2;'''Morning seven factor foreign; Thank drop ; Manager ten something'''
Christopher Sanford;7.0;32.1;44.2;'''Girl both national court less; Dream ; Name'''
Erica Thompson;94.0;25.1;95.2;'''Note: Writer instead finally training; then Remember hit attention'''
Darius Ibarra;56.0;96.1;29.2;'''(Together toward find yet off) ; Oil teacher tend history and Blood free meeting answer team'''
Shannon Payne;46.0;93.1;28.2;'''Note: Watch herself; then Majority prove popular doctor camera'''
x;87.0;29.1;86.2;'''Light clear hundred; Sound your soldier ; Peace for class'''
Roy Charles;86.0;;64.2;'''Anything purpose: Degree laugh; Suggest room'''
Jenny Brown;84.0;67.1;26.2;'''(Brother final unit) ; National almost same and Not news word hot professor'''
Paula Brown;6.0;65.1;35.2;'''(Treat series) ; Explain hit successful food and Sign read fire wife'''
Samantha Thompson;52.0;2.1;96.2;'''Score lot; Coach approach within card ; Region whether'''
Jared Bell;50.0;75.1;11.2;'''Somebody; Able product best member become night ; Leave agent'''
