username;name;price;total_count;salary;comment
tammy_taylor_5644;Tammy Taylor;53.0;10.1;6.2;'''Note: Test require huge onto indicate view; then Maintain draw'''
david_palmer_0303;David Palmer;96.0;86.1;49.2;'''Note: School; then So various'''
hector_morales_7782;Hector Morales;26.0;76.1;31.2;'''(Simply) ; Everyone and Owner clear'''
carolyn_powell_4884;Carolyn Powell;24.0;73.1;17.2;'''Watch something; Such scientist training ; Next area'''
jeremy_sandoval_7472;Jeremy Sandoval;11.0;9.1;31.2;'''Pattern if agency seem than movie; Relationship analysis home student ; Color enough before'''
matthew_miller_8482;Matthew Miller;82.0;15.1;42.2;'''There must painting; Door art Total director'''
william_perez_4035;William Perez;23.0;12.1;39.2;'''Beyond: Picture; This'''
ian_marshall_7031;Ian Marshall;29.0;22.1;31.2;'''Garden trip: Make material behind; History right only'''
gary_gomez_1061;Gary Gomez;41.0;67.1;78.2;'''Success nearly soldier edge night beautiful; Popular visit High'''
jason_walker_4952;Jason Walker;55.0;37.1;43.2;'''Note: Artist own; then Phone'''
robert_johnson_0360;Robert Johnson;72.0;17.1;82.2;'''White option; Area recently board special Reflect huge after'''
patrick_campbell_8978;A;79.0;84.1;33.2;'''Note: Break thought; then Return southern job'''
jennifer_fisher_4174;Jennifer Fisher;70.0;;;'''(Child though weight end will window) ; Together and Later myself or while weight fast'''
nicole_rose_0449;Nicole Rose;72.0;28.1;19.2;'''Serve; Method main strong ; Economy ever year support'''
robert_allen_3009;Robert Allen;13.0;59.1;39.2;'''Open just very however; Study learn south behind everybody ; Role performance term'''
cameron_mercer_9263;Cameron Mercer;81.0;93.1;22.2;'''(Provide whether apply interview) ; Action box building and According'''
sharon_young_8998;Sharon Young;65.0;45.1;86.2;'''Note: Big; then Strong executive wall factor bank'''
shelley_anderson_2565;Shelley Anderson;29.0;57.1;26.2;'''Note: Effect enjoy human decade hear minute; then Agent develop evidence'''
cathy_bruce_2661;Cathy Bruce;;67.1;24.2;'''Wall thousand capital really mission; Than film word Might blue'''
shannon_schneider_7577;Shannon Schneider;78.0;6.1;74.2;'''Note: Class couple alone nice; then Party'''
paige_smith_8888;Paige Smith;81.0;86.1;94.2;'''Media believe stuff mean argue; Vote notice right ; Kitchen out'''
joan_smith_4064;Joan Smith;60.0;48.1;13.2;'''Note: Have; then Citizen'''
sara_gray_2151;Sara Gray;59.0;77.1;35.2;'''(Success fund) ; Green and Situation base specific kind'''
miguel_romero_5872;Miguel Romero;34.0;16.1;65.2;'''Which lose else; Media ; Building may loss detail'''
karen_edwards_2405;Karen Edwards;10.0;33.1;83.2;'''(Center future) ; Foot later personal everyone individual allow and Camera change seem better door likely'''
krystal_stanley_8920;Krystal Stanley;59.0;58.1;20.2;'''(Born term just policy) ; Skin poor sit worry final and Network executive'''
marcus_knight_9769;Marcus Knight;15.0;22.1;51.2;'''Full discussion really; Person six Social under'''
kathleen_ingram_3876;Kathleen Ingram;71.0;9.1;27.2;'''National; Us activity day ; Watch six research'''
rita_watkins_4909;Rita Watkins;74.0;17.1;1.2;'''Store top: Prove its; Eat decide'''
thomas_braun_2216;Thomas Braun;2.0;54.1;48.2;'''Once arrive media: Him impact there mention; Including room daughter majority'''
mariah_robinson_0833;Mariah Robinson;18.0;63.1;17.2;'''(Unit hotel under) ; Issue training election compare and Lawyer brother'''
anthony_shepard_9692;Anthony Shepard;80.0;53.1;61.2;'''Service practice; Half ; Least buy'''
george_nguyen_6577;George Nguyen;86.0;87.1;86.2;'''One truth those: Suggest section; Order fight'''
jason_hill_7739;Jason Hill;98.0;22.1;10.2;'''Note: Population expect; then Wear cause job win evidence'''
frederick_jones_0054;Frederick Jones;95.0;42.1;7.2;'''Interesting wide: Eye require section behavior student; Like some place reduce population'''
