# This is a comment line to skip
username,name,total_count,age,score,description,message
george_nelson_3328,George Nelson,43.0,93.1,19.2,'''Federal region camera smile; Late already building , Moment then''','''Modern design data talk: Performance parent future man father, Film'''
shannon_hernandez_1416,Shannon Hernandez,95.0,37.1,48.2,'''She one, Must rest education Herself truth''','''Heart about; Specific north police probably , Central certain its begin'''
donna_serrano_3057,Donna Serrano,23.0,59.1,84.2,'''(Man both kid) , Nice loss and Poor air at go''','''(Produce appear next) , Head sport easy point good and Quite stop relate'''
jennifer_randall_7175,Jennifer Randall,56.0,37.1,95.2,'''(Brother) , Short and Away live''','''Note: Song always culture not, then We lead draw'''
cody_ramirez_5696,Cody Ramirez,59.0,46.1,65.2,'''From pattern: Fine there total, Six across its fish''','''Subject themselves: Community life, Produce husband mind'''
sarah_frost_9993,Sarah Frost,44.0,37.1,97.2,'''Wear eat down way; Receive catch prepare , People radio range''','''Election child article, Happen order security Western nothing'''
robert_mclean_6272,Robert Mclean,83.0,30.1,13.2,'''Note: Final serious, then Lose toward''','''Federal operation main grow turn; Office small food where teach professional , Magazine relate pattern'''
robin_gonzalez_7780,Robin Gonzalez,82.0,4.1,36.2,'''(Direction pick manager by lot) , Which mother allow and Professional forward president''','''(Far task culture) , Price seat like and Accept building less hospital state education management'''
alicia_rollins_5957,Alicia Rollins,100.0,45.1,85.2,'''For if: Than dark individual Democrat any, Trouble economy board''','''(Reduce role including) , Already every opportunity and Maintain'''
logan_perez_4966,Logan Perez,34.0,52.1,38.2,'''Behind we suddenly strategy cover, Mind send style measure dream student And technology''','''(Believe throughout simple old) , Sometimes center and Speak among'''
brittany_banks_5771,Brittany Banks,35.0,68.1,65.2,'''Type; Security present , Cup month measure''','''Food seem: Unit of, Environmental why bring daughter'''
timothy_love_2929,Timothy Love,82.0,55.1,55.2,'''Travel enjoy: Result center, Rule whole''','''(Major throughout almost) , Left offer cut cold own whose and Ago effect couple'''
jason_carroll_4695,Jason Carroll,15.0,31.1,49.2,'''Important source: Provide down south, Husband role''','''Note: Hear, then Focus fear'''
elizabeth_jackson_7568,Elizabeth Jackson,92.0,10.1,72.2,'''(Strategy) , Hospital and Know defense''','''Most yeah set machine: Population million, Computer simply traditional degree play'''
ryan_johns_2175,Ryan Johns,33.0,14.1,11.2,'''Note: Happy shoulder receive site, then Marriage system''','''That; Follow worry , Strong election all'''
mrs_ferguson_8816,Mrs. Tricia Ferguson,81.0,,6.2,'''Able consumer remain manager though, Reflect modern Painting''','''Child look: Else, What plan'''
james_austin_3054,James Austin,,34.1,7.2,'''Up either organization attack: Ball, Most''','''One security today allow, Future purpose design Figure hold scene'''
ashley_johnson_7265,x,79.0,31.1,39.2,'''Against treat apply whose; Decide recent increase agent it , Nature turn''','''(Again in perhaps ask then) , Your and Choose test after'''
richard_cruz_7208,Richard Cruz,93.0,51.1,,'''Blue produce ask; Business resource president , Low threat commercial instead so''','''Note: Position some likely issue, then Not involve certain begin positive'''
paul_marquez_2692,Paul Marquez,38.0,73.1,12.2,'''Mention enough word different machine; Choose wind operation which according , Area''','''Note: We alone detail, then Face television though organization'''
timothy_calderon_3023,Timothy Calderon,80.0,92.1,8.2,'''(World or) , People lawyer and Author Congress''','''Your pass since hear, Mr to must name crime Often occur TV prepare when'''
gina_jordan_3855,Gina Jordan,3.0,93.1,74.2,'''(Less believe worker direction remain) , Worker it leader traditional those and The military''','''Watch soon enter, If Executive tough'''
patrick_simmons_5886,Patrick Simmons,11.0,29.1,95.2,'''Miss figure spend: Any night society, Civil bit chance rather''','''Note: Marriage develop per group, then Agreement get too'''
john_moore_2976,John Moore,17.0,85.1,75.2,'''Choice forward price audience: Happy special from think let, Vote scene important true''','''Note: Travel just, then Another trade wife'''
allison_santiago_6509,Allison Santiago,56.0,17.1,23.2,'''Magazine tend; Lot attention laugh past drop dream , Situation whose''','''Note: Family near, then Against behavior fill product'''
lindsey_dixon_2418,Lindsey Dixon,2.0,38.1,78.2,'''(Tonight population sometimes reveal particular speak) , Half purpose and Letter similar key letter up''','''Note: Personal serious necessary, then Much cost'''
zachary_gray_6100,Zachary Gray,52.0,36.1,5.2,'''Account recent whatever college item: According, Although stay machine far''','''Reduce discuss who take technology, End natural imagine Out exist air responsibility show'''
erica_medina_0253,Erica Medina,87.0,44.1,31.2,'''Wear themselves these have: Room nor politics weight large, These beyond break plan''','''Chance: Red method, They too left'''
john_smith_5220,John Smith,11.0,87.1,9.2,'''Note: Street trip, then Western model common''','''Source benefit relate; Tv result , Early since'''
