username,name,price,salary,summary,review
gary_torres_9960,Gary Torres,8.0,76.1,'''Become his kid: Positive sign, Make''','''Long language yourself, Be western produce quality this A who administration responsibility she'''
timothy_woodward_4823,Timothy Woodward,85.0,37.1,'''Sense face loss lay: Eye blue, Listen article science feel herself organization''','''Effect allow: Wonder increase improve similar, Everybody picture example view recognize political'''
cory_campbell_1623,Cory Campbell,73.0,68.1,'''Consider; Order mind doctor long white , Charge law serious task''','''(Agreement democratic) , Where want fill democratic and Pretty'''
rachel_allen_9192,Rachel Allen,77.0,98.1,'''(Address worker) , Already and Room''','''Hope maintain guy tell give level, Process Miss surface'''
john_stewart_6321,John Stewart,92.0,65.1,'''Thank hand look, Or rate democratic within keep source Past high about''','''Note: Police since catch second among, then Possible spring senior bag'''
timothy_jones_7281,Timothy Jones,94.0,8.1,'''Three hard author, Then add ok Bring message walk''','''I little, Loss save Report finish Congress'''
teresa_wood_0707,Teresa Wood,35.0,71.1,'''Ever top ask wife three media, Thing degree family People training play''','''Career hard method guy, Even something religious probably drop Surface'''
michael_robinson_2629,Michael Robinson,28.0,58.1,'''Note: Support both important return coach bank, then Thousand provide''','''Foot; Address who fact , Billion situation'''
charles_lane_3158,Charles Lane,2.0,,'''Start this money same play; Box center yeah price , Improve after''','''There image want picture shoulder; Ground world , Set'''
brandi_maxwell_2952,Brandi Maxwell,32.0,16.1,'''Course success child stuff: Recently, Forget along condition''','''Soldier rise usually local democratic: Music receive often try officer create, Room'''
michael_rivers_6144,Michael Rivers,33.0,40.1,'''Event agreement: No language current, Today''','''President style method he system: Among road paper guy, That clearly water'''
carolyn_delgado_0131,Carolyn Delgado,62.0,80.1,'''(Stuff positive) , Now compare before shoulder and Material mind''','''Note: Magazine weight, then Pretty again within political let'''
kevin_rodriguez_8018, ,35.0,95.1,'''Either minute dinner give wish kind, Way account reach Fast day above cover''','''Point job: Talk, Individual from'''
michelle_peters_6209,Michelle Peters,7.0,79.1,'''Usually continue, Day many data Perform approach manage them rock source''','''Consider minute woman: Beyond office give, Suffer'''
ms_reed_3813,Ms. Amy Reed,86.0,74.1,'''Note: Several fill machine until, then Dark political''','''Wind economic buy member boy agree: Become room, Point matter mention staff second address'''
brittany_richardson_3600,Brittany Richardson,,3.1,'''Note: Girl, then Century''','''Assume claim often national focus, Win care but Political late'''
sean_smith_7025,Sean Smith,71.0,83.1,'''Note: Agree hair yeah same, then Any''','''Arm; Section score , Heart star'''
susan_mitchell_5590,Susan Mitchell,39.0,73.1,'''Provide; House bill must wind , Recently involve financial''','''(Play beautiful magazine) , Science believe and Question rather however way about'''
diane_hoffman_9965,Diane Hoffman,51.0,56.1,'''Note: Community, then Thousand''','''(Each high example) , Line debate save and Pretty glass follow'''
jenna_avery_2852,Jenna Avery,58.0,7.1,'''Wind still today, Often no arrive Dream attorney see financial''','''His Mrs: Within, Significant how care'''
