name	total_count	price	review	comment
Allan Newman	85.0	34.1	"""Perspiciatis: Sunt neque	 Vitae"""	"""Note: Consectetur cum vel amet	 then Voluptatibus id"""
Dr Allan Owens	55.0	43.1	"""(Officiis) 	 In illum vel et and Quos"""	"""Blanditiis labore amet: Excepturi perspiciatis illum consectetur itaque	 Officia eveniet"""
Jane Wilson	33.0	6.1	"""Dolore: Aperiam quos cum a odio mollitia	 Nisi officiis"""	"""(Nostrum nihil commodi quos consectetur) 	 Recusandae eveniet laboriosam and Molestias consequuntur"""
Tracey James	25.0	1.1	"""Inventore laboriosam qui optio; Magni laudantium enim recusandae 	 Similique iure adipisci sequi nihil fugit"""	"""Note: Tenetur perferendis debitis officia consequuntur	 then Labore maxime"""
e	48.0	84.1	"""Cum animi modi tenetur alias: Dolores	 Magni nesciunt voluptatum expedita earum"""	"""Id ratione laudantium optio nisi; Veritatis ex 	 Iure dicta repellendus"""
Ms Molly Chambers	40.0	27.1	"""Animi in; Quo aliquam assumenda 	 Ullam earum dolorum dolore"""	"""(Iste earum in a) 	 Animi and Explicabo ad nihil aspernatur quisquam"""
Dr Kirsty Henderson	87.0	94.1	"""Impedit veritatis voluptate nam similique ut	 Commodi assumenda Numquam"""	"""Quaerat: At vel omnis explicabo	 Ipsam quibusdam praesentium facere error rerum"""
Dr Guy Macdonald	20.0	40.1	"""(Minus iure est eius ea in) 	 Cumque odit and Eius neque odit doloremque"""	"""Beatae	 Expedita optio iste quos natus Nam optio blanditiis hic placeat"""
Phillip Green	50.0	77.1	"""Impedit commodi	 Accusamus Debitis"""	"""(Sint tenetur incidunt) 	 Doloremque enim in sapiente and Consequatur sequi beatae corporis mollitia"""
Colin Scott	46.0	50.1	"""Vitae illum ea: Voluptates voluptate non saepe	 Illo nam"""	"""(Quisquam iure in accusamus) 	 Eveniet inventore sapiente labore quae and Distinctio tempora"""
Leanne Rowe	2.0	5.1	"""Note: Est aliquid	 then Quaerat illo impedit dolore eius"""	"""Reprehenderit earum non temporibus accusantium	 Eum unde distinctio Commodi officiis veniam"""
Graham Duncan	50.0	33.1	"""Note: Blanditiis sed	 then Earum voluptatibus aliquam eius"""	"""Quo ea iusto consequuntur; Repellat ab 	 Tenetur voluptatum quos et fuga quibusdam"""
Dr Elliot Harvey	94.0		"""Iure soluta; Consequatur magnam 	 Delectus accusamus perspiciatis"""	"""Sit voluptas quos quo	 Consequatur animi Delectus dolores"""
Kathryn Cameron	80.0	59.1	"""(Eius unde iure) 	 Iure molestiae nemo adipisci and Est nulla deleniti ab"""	"""Note: Sit	 then Nihil facilis sed"""
Christopher Burgess-Griffin	17.0	25.1	"""Aliquam officia in velit: Officiis eius praesentium	 Dolore cumque enim ab id deserunt"""	"""Molestias adipisci possimus perspiciatis et; Harum ducimus voluptas 	 Autem molestiae excepturi dicta"""
Ms Deborah Williams	55.0	80.1	"""Doloribus odit dicta velit dolore saepe	 Deleniti amet eius officiis suscipit Atque tenetur doloremque distinctio"""	"""Delectus quis	 Occaecati aliquam praesentium Cumque omnis necessitatibus quae"""
Stephanie Simpson	95.0	86.1	"""Note: Nesciunt alias nihil nulla	 then Fugit necessitatibus"""	"""Tenetur; Quod doloremque 	 Quaerat veritatis"""
Aaron Fletcher	15.0	100.1	"""Explicabo laudantium magnam excepturi ex tempore; Quia natus maiores architecto cumque recusandae 	 Nisi dolor sint"""	"""Consectetur doloribus ea doloribus; Dolorum dolore odio 	 Earum"""
Hazel Long	58.0	81.1	"""Illum dolore ut ab; Cum veniam culpa 	 Sunt sint odit sint iusto"""	"""Dignissimos fugiat repudiandae nesciunt	 Adipisci Ipsam natus"""
Dr Maria Jones	85.0	83.1	"""Sed quos temporibus	 Nihil possimus minus Nam provident tempora deleniti impedit"""	"""Note: Vel ab	 then Occaecati rem quas illum"""
Jane Lamb	45.0	60.1	"""Note: Perspiciatis	 then Odit fugit"""	"""Note: Placeat enim totam	 then Occaecati voluptates reprehenderit"""
Miss Zoe Lawrence	74.0	69.1	"""Rem delectus minus; Aut 	 Facere unde repellendus officia"""	"""Voluptates: Repellat architecto	 Vero"""
Dr Edward Heath	52.0	67.1	"""(Facere natus nulla modi eos corporis) 	 Officiis suscipit and Libero nihil commodi hic"""	"""Et tempora maiores perspiciatis; Asperiores nobis rerum libero laborum 	 Quibusdam delectus"""
Norman Holt	91.0	8.1	"""Soluta minima iste sit	 Sed tenetur unde doloribus provident Reprehenderit quaerat non"""	"""Note: Officiis fugiat quae	 then Praesentium sequi cum"""
Jemma Powell	86.0	52.1	"""(Ipsam eveniet veniam) 	 Neque neque voluptas est and Reiciendis sit qui consequuntur inventore"""	"""Voluptatem voluptates odit optio voluptatibus; Ullam placeat omnis consectetur 	 Optio"""
Catherine Miles		62.1	"""Nihil beatae iste: Dignissimos at libero repellat iste	 Ratione maxime"""	"""Note: Assumenda	 then Nostrum assumenda aut quos"""
Sarah Cole-Richardson	92.0	58.1	"""Note: Doloremque hic similique quos deleniti veritatis	 then Ullam rerum quod quos"""	"""(Beatae laboriosam) 	 Consequatur and Cumque aliquam quibusdam velit dolores"""
Marilyn Holden-Walsh	37.0	21.1	"""(Vero quas velit dolorem rerum reiciendis) 	 At nisi and Enim deserunt"""	"""Fuga iure nihil: Perspiciatis possimus repudiandae ratione	 Nam fuga distinctio voluptates fugit"""
Damien Davies	89.0	94.1	"""(Numquam quis) 	 Labore vero illum tempora and Impedit hic"""	"""(Alias doloremque) 	 Tempora quod expedita and Sequi natus iusto"""
Malcolm Dixon	98.0	91.1	"""Quas incidunt; Optio adipisci et iure 	 Dolores"""	"""Deserunt sit	 Dignissimos vero eius Molestias"""
Mr Bruce Smith	51.0	17.1	"""Aut architecto nesciunt adipisci odio fugiat; Asperiores ab corrupti 	 Laboriosam velit"""	"""Note: Ex est officia	 then Quod explicabo architecto sunt"""
Mr Kieran Taylor	50.0	55.1	"""Quaerat mollitia quos	 Ex voluptates Nemo"""	"""(Perspiciatis culpa) 	 Quo dicta doloremque tempora quasi and Odio laborum suscipit hic placeat culpa"""
