name;username;total_count;rating;review;summary
Jeffrey Rose;jeffrey_rose_0975;47.0;31.1;"""Spend he bag; Development throughout ; These low""";"""(Million meeting) ; Company read and Article"""
Anthony Lopez;anthony_lopez_1757;72.0;62.1;"""Win tax author senior medical sort; Clear Someone""";"""Note: Program; then Within its"""
Adam Berger;adam_berger_7738;96.0;37.1;"""(Important kitchen deep each) ; Watch successful action and Down""";"""Nearly mission like put will; Old agree history ; Production past"""
David Jenkins;david_jenkins_1790;82.0;51.1;"""Friend; Force newspaper trouble ; Director turn night""";"""Letter usually continue medical: Property respond; Significant cause ever near let"""
Justin Vang;justin_vang_4836;82.0;72.1;"""(Information few) ; Respond station investment and Conference film surface amount""";"""We: Town; Its natural level you"""
Scott Parker;scott_parker_2861;68.0;30.1;"""(Actually seven mean) ; Account and Unit series""";"""(Chance player produce) ; Capital since natural and Concern"""
Scott Scott;scott_scott_6124;53.0;10.1;"""Pay bill: Million town product situation deep; Entire money""";"""Owner along truth need government: Indeed whose sign; Recent whether manage"""
Angela Soto;angela_soto_0985;7.0;2.1;"""(Out analysis fine memory operation including) ; Need and Get college""";"""(Across fund) ; Spring house eight later and Together but process draw"""
Brandon Mendoza;brandon_mendoza_7799;38.0;44.1;"""(Case) ; Son win agree heavy and Land standard still doctor trip""";"""(Sport position mouth something evening peace) ; Power action and Eight beyond"""
Jeremy Powell;jeremy_powell_7696;41.0;21.1;"""(Road paper) ; Remain professor choice and Learn thousand over network""";"""In; Site Campaign fact market"""
Jaclyn Moore;jaclyn_moore_0679;31.0;15.1;"""Loss movie off; Adult five Appear call school experience""";"""Particular effort media under leave certainly: Middle traditional turn; Eat seven sign"""
Richard Ortiz;richard_ortiz_6619;73.0;93.1;"""Suggest: Want network whole rate dinner probably; Lot second policy hundred""";"""Note: Player popular ever according; then Black poor rise where hand"""
A;paige_fisher_9503;76.0;6.1;"""Community understand; Pay yourself Range stay""";"""Note: Age message; then Development with get mission"""
Michael Walter;michael_walter_1424;70.0;79.1;"""Note: Whether dinner different computer have; then Fly beyond station successful want""";"""Score; Which deep human yeah soldier prove Up ok"""
Calvin Smith;calvin_smith_1018;33.0;55.1;"""Note: Surface; then Open""";"""Major happy; Can blood tend wrong ; Born keep"""
Thomas Foster;thomas_foster_6767;36.0;23.1;"""Note: Share pass government create; then Heavy none""";"""Stand ten work: Camera; Nothing floor"""
David Quinn;david_quinn_9088;;17.1;"""Light meeting teach; Behind heart Marriage painting best""";"""Drop deep live character; Society already but politics analysis Go tell fight"""
Lisa Fowler;lisa_fowler_3531;27.0;28.1;"""Commercial particularly everyone at: Make edge fish arrive; Result night enjoy""";"""Note: Will decide amount coach; then Country mind meet"""
Ryan Dorsey;ryan_dorsey_9505;85.0;87.1;"""(Language phone) ; Seem and Budget college everything it""";"""Country bit: Before arm feeling rather head middle; Total manager camera"""
Caleb Hansen;caleb_hansen_1125;38.0;76.1;"""(Possible prevent fine) ; Law eight and Beautiful during international""";"""(Their big matter happy) ; Someone and Bit shake"""
Laura Flores;laura_flores_2624;85.0;17.1;"""(Stage rule) ; Buy girl point magazine almost and Forward not find positive""";"""Magazine buy remain instead; Themselves policy happen I government we ; Store human"""
Susan Hammond;susan_hammond_6383;49.0;44.1;"""Trade step car party: Quite defense ready water forget bring; Quality learn vote""";"""Note: Morning read focus push hospital nearly; then Listen quite result experience spend"""
Jamie Maxwell;jamie_maxwell_3414;44.0;;"""Source bank: Late health measure; Light everybody often reason""";"""(A body fear) ; Specific discover receive and Never summer"""
Brett Mendez;brett_mendez_9731;37.0;78.1;"""Article financial city standard bring trouble: Nice news; Side have somebody""";"""Continue; His service dream Between likely door"""
Ryan Pierce;ryan_pierce_1982;76.0;76.1;"""Less own leave pressure real; Them information ; Issue wrong standard""";"""Technology even usually; Not which start none red ; Until follow"""
Michael Gross;michael_gross_4909;72.0;38.1;"""(Last note buy stay) ; Group support Republican and Personal almost century audience star meet""";"""Determine visit culture near; Area room consumer ; Little board"""
Elizabeth Morales;elizabeth_morales_9969;46.0;17.1;"""Foot western material: Best deal any; Reach response plan base""";"""Summer official part difference history: Allow paper performance without; Practice teacher"""
Karen Lawson;karen_lawson_3708;27.0;18.1;"""Well actually hot; Strong ; Concern thus""";"""Kid; Action fear physical ; Other"""
Kim Kim DDS;kim_dds_4325;78.0;78.1;"""Young now discussion; Until although follow answer Administration food picture""";"""Billion today; Deal Pick eat true forget past"""
Nichole Beck;nichole_beck_4876;74.0;92.1;"""Note: Way fear onto official; then Tough win""";"""Scientist she rich get side; Respond price item first news ; Suggest assume say partner"""
Jacqueline Wilson;jacqueline_wilson_3303;34.0;37.1;"""Stage; Science at science tree Wonder animal""";"""Yourself mention; Break ; Particularly drop"""
Logan Le;logan_le_1347;26.0;4.1;"""War point song; Arrive quality ; Truth serve current""";"""Central difficult war; Relate necessary real American land not ; Become seek either call"""
Mark Watson;mark_watson_1829;38.0;91.1;"""(War with place yard cost) ; Network start and Once fight""";"""Next between anything; Check single Attention would shake production"""
