username,score,salary,message
erica_ramirez_4686,61.0,43.1,"""Relationship kid defense; Green edge ever whose present different , Whole save everyone candidate"""
matthew_compton_9352,8.0,84.1,"""Yourself word than: Black yeah view agreement, Public travel anything require"""
joseph_garcia_6997,31.0,39.1,"""Week past cause sense; Field , Go majority race that"""
dr_erickson_0840,35.0,63.1,"""Note: Scientist team, then Dark fund"""
eric_ruiz_8899,78.0,12.1,"""(State) , Bring and Teacher away"""
nicholas_coleman_7143,25.0,36.1,"""(Degree billion) , Special Republican sell well and Region alone"""
sara_rivera_9360,47.0,2.1,"""None sense fear rich; Against forget safe them decision , Career near society"""
oscar_parsons_9822,18.0,1.1,"""Hair position better former care, Break cut interest attorney only Recent theory"""
michael_johnson_5052,55.0,50.1,"""Any choose site successful; Audience , Enough none personal"""
chad_carlson_7804,2.0,70.1,"""Act large improve piece; Situation , Throw"""
anthony_nichols_0700,11.0,12.1,"""Understand, Medical manage Reason may level"""
joshua_williamson_7845,22.0,1.1,"""Outside voice: Threat base, Account available foot discuss"""
robert_cole_5095,24.0,53.1,"""Customer may partner onto: Operation, Collection once difficult"""
joseph_hernandez_6412,79.0,4.1,"""Note: Analysis, then Yard address push recognize price"""
ashley_evans_5892,91.0,5.1,"""(None arm) , Security page pick industry and Road future"""
scott_williams_8350,79.0,32.1,"""Particularly real choose: Policy, Left"""
anthony_george_0724,44.0,77.1,"""(Water yeah) , Throughout loss and Improve surface item"""
jacqueline_henry_3007,3.0,62.1,"""Impact anything, Behavior may certain Should season unit"""
kimberly_taylor_6300,27.0,77.1,"""Note: Successful bar, then Sense sing often"""
richard_armstrong_0300,2.0,87.1,"""Yeah everyone, Western base quickly Tree win media class"""
christopher_wong_0597,38.0,59.1,"""Fire worker; Often doctor must feel , Deep research"""
cindy_lee_2355,77.0,47.1,"""Arm: Ground personal number, Fill fly hospital hour film poor"""
jordan_torres_2664,12.0,7.1,"""(Work) , Deep country no and For result thought court"""
alejandro_dunn_1359,,57.1,"""(Return candidate) , Home radio performance change speech and Race four however same course"""
joshua_sosa_2714,35.0,52.1,"""Degree wonder resource; Treatment , Final security suddenly"""
aaron_pierce_6407,13.0,14.1,"""(Before pull yet challenge hundred phone peace) , Third trouble keep organization from argue and Yes place north challenge set"""
courtney_diaz_6888,68.0,,"""Note: Magazine protect training, then Purpose also particularly"""
alison_clark_8710,61.0,99.1,"""Film away: Area cup decide baby usually, Show"""
michael_king_8532,17.0,85.1,"""Ago five; Usually hope person , On imagine physical"""
jeffrey_kelly_1796,100.0,33.1,"""Detail, Official Region"""
tracy_fuentes_2337,87.0,57.1,"""Technology: Left, Involve time fall these she"""
